Date,Adj Close_MGL.NS,Close_MGL.NS,High_MGL.NS,Low_MGL.NS,Open_MGL.NS,Volume_MGL.NS,Date
2020-07-13,894.5037841796875,993.9000244140625,1003.25,959.0,1000.0,2749031,2020-07-13
2020-07-20,925.1035766601562,1027.9000244140625,1036.9000244140625,985.5,998.4000244140625,4094061,2020-07-20
2020-07-27,876.9988403320312,974.4500122070312,1032.5,970.0499877929688,1027.9000244140625,2963800,2020-07-27
2020-08-03,872.0939331054688,969.0,991.9500122070312,959.0,970.0,3065394,2020-08-03
2020-08-10,874.6588745117188,971.8499755859375,1004.7999877929688,946.0,964.0,3942675,2020-08-10
2020-08-17,938.783447265625,1043.0999755859375,1056.0,952.0,978.0,7169644,2020-08-17
2020-08-24,893.0187377929688,992.25,1074.9000244140625,987.6500244140625,1049.0,5120165,2020-08-24
2020-08-31,821.1543579101562,912.4000244140625,1009.0,893.3499755859375,999.0,7052488,2020-08-31
2020-09-07,815.4843139648438,906.0999755859375,923.6500244140625,876.1500244140625,914.9500122070312,3678240,2020-09-07
2020-09-14,827.229248046875,919.1500244140625,949.0,904.0499877929688,911.0,4583816,2020-09-14
2020-09-21,739.1648559570312,821.2999877929688,941.0,812.2000122070312,923.7000122070312,7512005,2020-09-21
2020-09-28,777.6395263671875,864.0499877929688,874.7000122070312,823.4000244140625,827.0,3677624,2020-09-28
2020-10-05,741.5498046875,823.9500122070312,872.9500122070312,818.0,864.0,4953539,2020-10-05
2020-10-12,738.7598876953125,820.8499755859375,835.9000244140625,779.6500244140625,823.9500122070312,7642854,2020-10-12
2020-10-19,739.0298461914062,821.1500244140625,839.9000244140625,812.0,827.9000244140625,3688141,2020-10-19
2020-10-26,733.4049072265625,814.9000244140625,850.0,807.0499877929688,824.7000122070312,3895380,2020-10-26
2020-11-02,753.8347778320312,837.5999755859375,849.5999755859375,809.0999755859375,816.5,2605379,2020-11-02
2020-11-09,776.8746337890625,863.2000122070312,892.7000122070312,838.7000122070312,843.0,6318016,2020-11-09
2020-11-16,838.2991943359375,931.4500122070312,939.0,856.25,859.9500122070312,7251639,2020-11-16
2020-11-23,957.50341796875,1063.9000244140625,1068.4000244140625,921.1500244140625,930.0,12507116,2020-11-23
2020-11-30,933.7884521484375,1037.550048828125,1084.5,1022.0,1063.9000244140625,4820553,2020-11-30
2020-12-07,953.2733154296875,1059.199951171875,1064.5,1020.2999877929688,1040.0,3448804,2020-12-07
2020-12-14,938.42333984375,1042.699951171875,1098.699951171875,1026.0999755859375,1065.0,5589313,2020-12-14
2020-12-21,945.893310546875,1051.0,1072.199951171875,989.7000122070312,1040.0,3519069,2020-12-21
2020-12-28,953.9483032226562,1059.949951171875,1095.0,1048.050048828125,1060.0,4219283,2020-12-28
2021-01-04,1004.8880615234375,1116.550048828125,1147.3499755859375,1060.0999755859375,1065.0,7476388,2021-01-04
2021-01-11,981.7133178710938,1090.800048828125,1146.0,1073.300048828125,1118.0999755859375,3252797,2021-01-11
2021-01-18,936.9383544921875,1041.050048828125,1095.0,1019.0,1082.5,4072992,2021-01-18
2021-01-25,931.58349609375,1035.0999755859375,1080.0,1011.3499755859375,1046.1500244140625,3102580,2021-01-25
2021-02-01,974.6932373046875,1083.0,1121.0,1022.4500122070312,1035.0999755859375,2709689,2021-02-01
2021-02-08,1026.4879150390625,1140.550048828125,1184.699951171875,1090.0,1090.0,6400737,2021-02-08
2021-02-15,1064.7376708984375,1183.050048828125,1234.0,1125.0,1141.0999755859375,7022916,2021-02-15
2021-02-22,1050.7701416015625,1158.4000244140625,1207.0,1121.0,1170.0,3219947,2021-02-22
2021-03-01,1105.7852783203125,1219.050048828125,1257.0,1141.699951171875,1161.0,4225147,2021-03-01
2021-03-08,1095.8524169921875,1208.0999755859375,1238.0,1161.5,1229.9000244140625,2746686,2021-03-08
2021-03-15,1009.3161010742188,1112.699951171875,1230.0,1078.0,1202.300048828125,3048767,2021-03-15
2021-03-22,1030.9501953125,1136.550048828125,1179.9000244140625,1112.800048828125,1122.4000244140625,2789860,2021-03-22
2021-03-29,1071.7237548828125,1181.5,1199.9000244140625,1136.550048828125,1136.550048828125,1304889,2021-03-29
2021-04-05,1030.360595703125,1135.9000244140625,1180.0,1090.0,1180.0,3233477,2021-04-05
2021-04-12,1001.1069946289062,1103.6500244140625,1126.550048828125,1063.3499755859375,1126.0,2281206,2021-04-12
2021-04-19,1005.8238525390625,1108.8499755859375,1112.699951171875,1055.300048828125,1070.5,1265011,2021-04-19
2021-04-26,1020.790771484375,1125.3499755859375,1143.75,1087.5999755859375,1115.8499755859375,1605899,2021-04-26
2021-05-03,1050.3619384765625,1157.949951171875,1179.0,1117.199951171875,1126.25,2083961,2021-05-03
2021-05-10,991.67333984375,1093.25,1188.9000244140625,1090.25,1159.949951171875,1383340,2021-05-10
2021-05-17,1025.77978515625,1130.8499755859375,1142.9000244140625,1084.550048828125,1104.0,1830499,2021-05-17
2021-05-24,1065.91845703125,1175.0999755859375,1223.800048828125,1131.0,1146.5,7453188,2021-05-24
2021-05-31,1072.2679443359375,1182.0999755859375,1214.6500244140625,1148.0,1182.0,2067008,2021-05-31
2021-06-07,1112.9056396484375,1226.9000244140625,1234.5999755859375,1171.75,1192.0,3674422,2021-06-07
2021-06-14,1077.80126953125,1188.199951171875,1284.4000244140625,1160.5,1232.949951171875,5542610,2021-06-14
2021-06-21,1022.0606079101562,1126.75,1203.4000244140625,1125.0,1165.5,2359448,2021-06-21
2021-06-28,1035.4857177734375,1141.550048828125,1171.0,1125.4000244140625,1134.0,2932589,2021-06-28
2021-07-05,1066.6439208984375,1175.9000244140625,1182.800048828125,1145.550048828125,1148.449951171875,2726835,2021-07-05
2021-07-12,1045.64501953125,1152.75,1212.0,1146.699951171875,1182.0999755859375,2062612,2021-07-12
2021-07-19,1037.934814453125,1144.25,1166.5,1128.1500244140625,1154.0,1216966,2021-07-19
2021-07-26,1058.888427734375,1167.3499755859375,1185.0,1102.3499755859375,1144.0,5003620,2021-07-26
2021-08-02,1060.2491455078125,1168.8499755859375,1198.0,1166.0,1170.0,1389692,2021-08-02
2021-08-09,1035.123046875,1141.1500244140625,1169.8499755859375,1093.75,1169.0,1927782,2021-08-09
2021-08-16,996.8438110351562,1098.949951171875,1140.550048828125,1095.0,1135.0,1241212,2021-08-16
2021-08-23,1026.7322998046875,1131.9000244140625,1135.0,1079.8499755859375,1106.9000244140625,1952035,2021-08-23
2021-08-30,1064.37646484375,1173.4000244140625,1194.9000244140625,1129.050048828125,1143.0,1498283,2021-08-30
2021-09-06,1060.203857421875,1168.800048828125,1201.8499755859375,1165.4000244140625,1173.4000244140625,1078559,2021-09-06
2021-09-13,1030.360595703125,1135.9000244140625,1206.300048828125,1130.0,1166.0,1690111,2021-09-13
2021-09-20,1007.1217041015625,1097.050048828125,1143.6500244140625,1083.0999755859375,1130.0,2172691,2021-09-20
2021-09-27,1009.5543212890625,1099.699951171875,1109.0,1058.75,1100.0,3256882,2021-09-27
2021-10-04,980.4068603515625,1067.949951171875,1107.699951171875,1063.800048828125,1100.050048828125,2472861,2021-10-04
2021-10-11,979.5807495117188,1067.050048828125,1092.0,1051.0999755859375,1071.0999755859375,1500760,2021-10-11
2021-10-18,918.2106323242188,1000.2000122070312,1088.449951171875,994.0,1070.0999755859375,2616667,2021-10-18
2021-10-25,920.9187622070312,1003.1500244140625,1013.2000122070312,963.5,1000.0,2469742,2021-10-25
2021-11-01,930.2367553710938,1013.2999877929688,1032.4000244140625,1002.2000122070312,1018.0499877929688,1092973,2021-11-01
2021-11-08,926.4728393554688,1009.2000122070312,1024.5999755859375,1000.2000122070312,1018.0,1586205,2021-11-08
2021-11-15,884.7025756835938,963.7000122070312,1023.5999755859375,959.0,1010.0,1176522,2021-11-15
2021-11-22,849.450439453125,925.2999877929688,978.5,916.5,978.5,3348020,2021-11-22
2021-11-29,842.243896484375,917.4500122070312,938.0,900.9000244140625,928.0,2533981,2021-11-29
2021-12-06,840.3159790039062,915.3499755859375,922.9500122070312,887.0999755859375,918.0,3845233,2021-12-06
2021-12-13,800.4736938476562,871.9500122070312,929.0,869.2999877929688,929.0,2932737,2021-12-13
2021-12-20,779.3589477539062,848.9500122070312,872.0,834.0,872.0,3033101,2021-12-20
2021-12-27,792.21142578125,862.9500122070312,871.5499877929688,838.0999755859375,848.9500122070312,1680009,2021-12-27
2022-01-03,811.8112182617188,884.2999877929688,891.0,863.0,863.0,3215915,2022-01-03
2022-01-10,811.1227416992188,883.5499877929688,893.9000244140625,874.2000122070312,893.9000244140625,2258196,2022-01-10
2022-01-17,782.8934326171875,852.7999877929688,893.5,849.0,885.0,3229513,2022-01-17
2022-01-24,747.8247680664062,814.5999755859375,852.0,793.2999877929688,850.0,2578898,2022-01-24
2022-01-31,773.4376831054688,842.5,858.9000244140625,816.0,820.0,1443466,2022-01-31
2022-02-07,733.4118041992188,798.9000244140625,849.0999755859375,781.0499877929688,848.0,4727777,2022-02-07
2022-02-14,705.5037231445312,768.5,813.7999877929688,763.6500244140625,795.0,2485360,2022-02-14
2022-02-21,652.1419067382812,701.9000244140625,775.0,680.0,766.0,2916966,2022-02-21
2022-02-28,665.5674438476562,716.3499755859375,743.4000244140625,690.5999755859375,699.0,1846965,2022-02-28
2022-03-07,696.8319702148438,750.0,778.7999877929688,696.2999877929688,712.0,4915897,2022-03-07
2022-03-14,714.0669555664062,768.5499877929688,797.0,751.2000122070312,760.9000244140625,5074600,2022-03-14
2022-03-21,702.964111328125,756.5999755859375,794.9000244140625,746.3499755859375,770.0,3400821,2022-03-21
