Date,Adj Close_SAILIFE.NS,Close_SAILIFE.NS,High_SAILIFE.NS,Low_SAILIFE.NS,Open_SAILIFE.NS,Volume_SAILIFE.NS,Date
2024-12-16,703.6500244140625,703.6500244140625,802.0,650.0,650.0,71126185,2024-12-16
2024-12-23,722.0499877929688,722.0499877929688,808.7999877929688,695.1500244140625,705.0,18095840,2024-12-23
2024-12-30,779.9000244140625,779.9000244140625,803.7000122070312,719.5999755859375,722.0499877929688,11235553,2024-12-30
2025-01-06,719.6500244140625,719.6500244140625,784.4000244140625,700.0499877929688,784.4000244140625,5062963,2025-01-06
2025-01-13,716.4500122070312,716.4500122070312,734.3499755859375,696.2999877929688,702.2000122070312,3006268,2025-01-13
2025-01-20,674.3499755859375,674.3499755859375,746.7000122070312,671.6500244140625,715.2999877929688,1807571,2025-01-20
2025-01-27,655.4000244140625,655.4000244140625,683.0999755859375,646.9500122070312,673.9000244140625,1628516,2025-01-27
2025-02-03,750.5999755859375,750.5999755859375,765.0,645.0,645.5499877929688,3760316,2025-02-03
2025-02-10,662.2000122070312,662.2000122070312,753.0,639.1500244140625,748.9500122070312,2081301,2025-02-10
2025-02-17,705.75,705.75,752.0,645.0499877929688,662.0,3104317,2025-02-17
2025-02-24,689.9000244140625,689.9000244140625,745.9500122070312,679.4000244140625,690.0,1321476,2025-02-24
2025-03-03,684.75,684.75,762.0,675.75,680.0,2255325,2025-03-03
2025-03-10,700.2999877929688,700.2999877929688,727.7000122070312,677.2999877929688,690.0999755859375,1180494,2025-03-10
2025-03-17,726.4500122070312,726.4500122070312,736.0,677.7999877929688,694.0,1859433,2025-03-17
2025-03-24,760.8499755859375,760.8499755859375,783.0,720.5499877929688,726.4000244140625,2060346,2025-03-24
2025-03-31,716.9500122070312,716.9500122070312,775.0,710.0999755859375,760.8499755859375,1414418,2025-03-31
2025-04-07,669.5,669.5,688.9500122070312,636.0999755859375,679.5,1592043,2025-04-07
2025-04-14,721.5,721.5,792.0,669.5,669.5,9269549,2025-04-14
2025-04-21,687.7000122070312,687.7000122070312,734.0,684.0,723.9500122070312,1866829,2025-04-21
2025-04-28,715.75,715.75,726.0,675.4000244140625,680.0,1907475,2025-04-28
2025-05-05,704.9000244140625,704.9000244140625,739.0,687.0499877929688,720.0,1240642,2025-05-05
2025-05-12,750.6500244140625,750.6500244140625,785.0,708.9000244140625,720.0,3756327,2025-05-12
2025-05-19,719.2000122070312,719.2000122070312,759.8499755859375,711.0999755859375,755.0,1713413,2025-05-19
2025-05-26,756.9500122070312,756.9500122070312,784.4000244140625,707.0,723.0499877929688,5256110,2025-05-26
2025-06-02,737.2000122070312,737.2000122070312,748.0,717.0,748.0,1745634,2025-06-02
2025-06-09,770.0,770.0,802.0,726.0,743.0,2321868,2025-06-09
2025-06-16,765.25,765.25,794.4000244140625,716.5999755859375,766.1500244140625,5036662,2025-06-16
2025-06-23,764.4500122070312,764.4500122070312,777.25,736.5,766.8499755859375,2817794,2025-06-23
2025-06-30,792.75,792.75,838.5,762.25,770.0,9554028,2025-06-30
2025-07-07,782.1500244140625,782.1500244140625,808.6500244140625,776.25,792.75,3362028,2025-07-07
2025-07-14,811.0999755859375,811.0999755859375,828.0,783.0,783.0,2548305,2025-07-14
