Date,Adj Close_SAFARI.NS,Close_SAFARI.NS,High_SAFARI.NS,Low_SAFARI.NS,Open_SAFARI.NS,Volume_SAFARI.NS,Date
2020-07-13,182.65988159179688,183.4250030517578,187.9499969482422,178.52499389648438,184.8000030517578,31570,2020-07-13
2020-07-20,191.5725555419922,192.375,200.0,179.9499969482422,183.22500610351562,75718,2020-07-20
2020-07-27,182.03749084472656,182.8000030517578,192.64999389648438,180.0500030517578,189.02499389648438,62316,2020-07-27
2020-08-03,179.3736572265625,180.125,187.8000030517578,161.9499969482422,182.8000030517578,89636,2020-08-03
2020-08-10,179.1744842529297,179.9250030517578,183.47500610351562,178.77499389648438,181.64999389648438,276096,2020-08-10
2020-08-17,185.19924926757812,185.97500610351562,198.0,171.97500610351562,181.39999389648438,1288572,2020-08-17
2020-08-24,211.1654815673828,212.0500030517578,242.35000610351562,187.0500030517578,187.35000610351562,1857014,2020-08-24
2020-08-31,200.4603271484375,201.3000030517578,219.5,193.97500610351562,219.5,314930,2020-08-31
2020-09-07,189.78005981445312,190.5749969482422,205.0,185.5,201.5,165056,2020-09-07
2020-09-14,197.92095947265625,198.75,207.0,188.77499389648438,194.5,147696,2020-09-14
2020-09-21,195.6056671142578,196.4250030517578,201.125,178.0,198.97500610351562,145686,2020-09-21
2020-09-28,201.6304168701172,202.47500610351562,203.60000610351562,194.1999969482422,198.0,70190,2020-09-28
2020-10-05,204.12001037597656,204.97500610351562,210.0,198.0,204.5,90082,2020-10-05
2020-10-12,204.1947021484375,205.0500030517578,208.5,199.0,206.85000610351562,134124,2020-10-12
2020-10-19,208.52651977539062,209.39999389648438,213.5,201.97500610351562,205.1999969482422,79912,2020-10-19
2020-10-26,205.2900848388672,206.14999389648438,213.0,202.625,206.8249969482422,51052,2020-10-26
2020-11-02,232.79986572265625,233.77499389648438,261.0,204.25,205.35000610351562,351134,2020-11-02
2020-11-09,234.9657745361328,235.9499969482422,237.5,220.625,233.8249969482422,138336,2020-11-09
2020-11-16,270.09368896484375,271.2250061035156,294.0,230.875,230.875,221186,2020-11-16
2020-11-23,269.44635009765625,270.57501220703125,277.5,254.5,273.9750061035156,85222,2020-11-23
2020-11-30,264.61663818359375,265.7250061035156,277.54998779296875,257.0,270.57501220703125,61512,2020-11-30
2020-12-07,280.8236999511719,282.0,322.0,265.4750061035156,267.5,267184,2020-12-07
2020-12-14,276.94000244140625,278.1000061035156,283.95001220703125,260.6000061035156,283.0,80838,2020-12-14
2020-12-21,259.5627746582031,260.6499938964844,282.5,226.14999389648438,282.5,145448,2020-12-21
