Date,Adj Close_TIMETECHNO.NS,Close_TIMETECHNO.NS,High_TIMETECHNO.NS,Low_TIMETECHNO.NS,Open_TIMETECHNO.NS,Volume_TIMETECHNO.NS,Date
2020-07-13,35.65793228149414,37.70000076293945,38.75,37.20000076293945,37.900001525878906,594399,2020-07-13
2020-07-20,37.5023078918457,39.650001525878906,43.25,37.150001525878906,38.400001525878906,5773386,2020-07-20
2020-07-27,34.61751174926758,36.599998474121094,39.95000076293945,36.150001525878906,39.5,1739901,2020-07-27
2020-08-03,37.21855163574219,39.349998474121094,41.0,35.79999923706055,37.0,2173765,2020-08-03
2020-08-10,36.32001495361328,38.400001525878906,40.900001525878906,38.0,39.900001525878906,1546299,2020-08-10
2020-08-17,42.751686096191406,45.20000076293945,47.400001525878906,38.5,38.79999923706055,11961052,2020-08-17
2020-08-24,42.373348236083984,44.79999923706055,48.5,44.54999923706055,46.45000076293945,4534661,2020-08-24
2020-08-31,38.826473236083984,41.04999923706055,46.5,39.04999923706055,46.20000076293945,1886256,2020-08-31
2020-09-07,36.74563980102539,38.849998474121094,41.849998474121094,38.25,41.849998474121094,1268532,2020-09-07
2020-09-14,37.54959487915039,39.70000076293945,42.79999923706055,38.599998474121094,40.04999923706055,3210851,2020-09-14
2020-09-21,34.47563552856445,36.45000076293945,40.0,35.25,39.70000076293945,1503841,2020-09-21
2020-09-28,36.096065521240234,37.25,37.79999923706055,36.25,37.0,1164520,2020-09-28
2020-10-05,40.40821075439453,41.70000076293945,43.900001525878906,38.25,39.0,5007140,2020-10-05
2020-10-12,36.725929260253906,37.900001525878906,42.650001525878906,37.599998474121094,41.70000076293945,1600721,2020-10-12
2020-10-19,37.84030532836914,39.04999923706055,39.599998474121094,37.5,37.70000076293945,2321389,2020-10-19
2020-10-26,36.24142074584961,37.400001525878906,39.95000076293945,37.04999923706055,39.5,1715332,2020-10-26
2020-11-02,37.64649200439453,38.849998474121094,39.400001525878906,37.25,37.5,2361174,2020-11-02
2020-11-09,39.58454132080078,40.849998474121094,41.25,37.650001525878906,39.20000076293945,3923701,2020-11-09
2020-11-16,43.12147521972656,44.5,46.0,40.5,40.5,3159874,2020-11-16
2020-11-23,43.896690368652344,45.29999923706055,47.0,43.70000076293945,44.900001525878906,3940642,2020-11-23
2020-11-30,47.675872802734375,49.20000076293945,52.0,45.29999923706055,45.29999923706055,6931046,2020-11-30
2020-12-07,46.561500549316406,48.04999923706055,50.75,47.0,50.0,3966931,2020-12-07
