Date,Adj Close_SAPPHIRE.NS,Close_SAPPHIRE.NS,High_SAPPHIRE.NS,Low_SAPPHIRE.NS,Open_SAPPHIRE.NS,Volume_SAPPHIRE.NS,Date
2021-11-15,242.30999755859375,242.30999755859375,276.010009765625,232.0,270.0,42980630,2021-11-15
2021-11-22,222.7100067138672,222.7100067138672,251.60000610351562,209.1300048828125,245.0,30071890,2021-11-22
2021-11-29,214.32000732421875,214.32000732421875,221.3000030517578,194.88999938964844,221.0,11256145,2021-11-29
2021-12-06,241.52999877929688,241.52999877929688,244.38999938964844,208.8300018310547,214.8000030517578,8976980,2021-12-06
2021-12-13,244.72000122070312,244.72000122070312,252.99000549316406,231.0,242.55999755859375,9241350,2021-12-13
2021-12-20,238.67999267578125,238.67999267578125,245.39999389648438,234.9600067138672,238.1999969482422,3828435,2021-12-20
2021-12-27,243.8300018310547,243.8300018310547,249.1999969482422,225.55999755859375,237.58999633789062,2332530,2021-12-27
2022-01-03,267.3699951171875,267.3699951171875,269.0,237.14999389648438,242.7100067138672,5768595,2022-01-03
2022-01-10,283.05999755859375,283.05999755859375,291.8800048828125,268.0400085449219,268.0400085449219,5894435,2022-01-10
2022-01-17,276.5400085449219,276.5400085449219,298.0,264.0,280.0,5375355,2022-01-17
2022-01-24,263.8299865722656,263.8299865722656,282.05999755859375,246.22000122070312,274.3999938964844,2893640,2022-01-24
2022-01-31,265.29998779296875,265.29998779296875,281.7300109863281,258.010009765625,265.0,3075205,2022-01-31
2022-02-07,288.1300048828125,288.1300048828125,307.7799987792969,249.8000030517578,266.79998779296875,4846045,2022-02-07
2022-02-14,283.07000732421875,283.07000732421875,308.0,276.3999938964844,297.79998779296875,6147035,2022-02-14
2022-02-21,259.0299987792969,259.0299987792969,280.0,250.00999450683594,280.0,4267410,2022-02-21
2022-02-28,247.66000366210938,247.66000366210938,262.6000061035156,244.0,261.989990234375,3050750,2022-02-28
2022-03-07,255.92999267578125,255.92999267578125,259.79998779296875,226.27999877929688,243.0,3553485,2022-03-07
2022-03-14,256.19000244140625,256.19000244140625,259.6000061035156,242.50999450683594,255.92999267578125,845895,2022-03-14
2022-03-21,262.42999267578125,262.42999267578125,276.0,248.74000549316406,258.79998779296875,2267320,2022-03-21
2022-03-28,289.0199890136719,289.0199890136719,299.79998779296875,258.7799987792969,262.3999938964844,3041020,2022-03-28
2022-04-04,270.6600036621094,270.6600036621094,290.79998779296875,269.0,289.0199890136719,1501780,2022-04-04
2022-04-11,254.3300018310547,254.3300018310547,268.3999938964844,245.41000366210938,266.0,2003455,2022-04-11
2022-04-18,252.52999877929688,252.52999877929688,258.3999938964844,245.00999450683594,250.4499969482422,2541700,2022-04-18
2022-04-25,265.489990234375,265.489990234375,267.30999755859375,245.0,248.0,1575465,2022-04-25
