Date,Adj Close_CEWATER.NS,Close_CEWATER.NS,High_CEWATER.NS,Low_CEWATER.NS,Open_CEWATER.NS,Volume_CEWATER.NS,Date
2024-12-23,827.0999755859375,827.0999755859375,860.0,801.0,826.0,9233701,2024-12-23
2024-12-30,789.25,789.25,824.2000122070312,730.5,821.7000122070312,6221498,2024-12-30
2025-01-06,700.25,700.25,789.0,695.0499877929688,788.0499877929688,2034136,2025-01-06
2025-01-13,680.9000244140625,680.9000244140625,736.0,632.2000122070312,685.25,1701779,2025-01-13
2025-01-20,644.9500122070312,644.9500122070312,773.5999755859375,637.0,769.0,3048257,2025-01-20
2025-01-27,669.5,669.5,723.4500122070312,559.75,636.0,2297670,2025-01-27
2025-02-03,665.9500122070312,665.9500122070312,703.4500122070312,635.2000122070312,654.9500122070312,898548,2025-02-03
2025-02-10,522.3499755859375,522.3499755859375,681.6500244140625,522.3499755859375,672.9500122070312,1805712,2025-02-10
2025-02-17,457.04998779296875,457.04998779296875,498.0,441.25,472.70001220703125,2049668,2025-02-17
2025-02-24,440.8999938964844,440.8999938964844,454.0,415.0,454.0,555483,2025-02-24
2025-03-03,504.79998779296875,504.79998779296875,519.4500122070312,421.79998779296875,448.3500061035156,611876,2025-03-03
2025-03-10,513.2999877929688,513.2999877929688,555.0,489.3999938964844,508.70001220703125,560589,2025-03-10
2025-03-17,538.0499877929688,538.0499877929688,547.3499755859375,501.20001220703125,515.9500122070312,271858,2025-03-17
2025-03-24,494.79998779296875,494.79998779296875,565.3499755859375,491.1000061035156,534.75,733176,2025-03-24
2025-03-31,541.0499877929688,541.0499877929688,585.0,478.54998779296875,494.79998779296875,977090,2025-03-31
2025-04-07,517.1500244140625,517.1500244140625,554.0,465.0,465.0,613777,2025-04-07
2025-04-14,554.2000122070312,554.2000122070312,559.5,520.2000122070312,529.0,358534,2025-04-14
2025-04-21,509.6499938964844,509.6499938964844,577.4500122070312,503.0,557.0,420054,2025-04-21
2025-04-28,495.70001220703125,495.70001220703125,526.5,495.3500061035156,506.25,187914,2025-04-28
2025-05-05,487.04998779296875,487.04998779296875,514.3499755859375,479.75,498.95001220703125,173075,2025-05-05
2025-05-12,586.75,586.75,592.3499755859375,502.04998779296875,504.3500061035156,616846,2025-05-12
2025-05-19,645.8499755859375,645.8499755859375,649.7000122070312,585.0,594.4000244140625,1004474,2025-05-19
2025-05-26,587.2999877929688,587.2999877929688,659.9000244140625,585.5,659.9000244140625,877306,2025-05-26
2025-06-02,580.25,580.25,603.9500122070312,578.0,594.9500122070312,566222,2025-06-02
2025-06-09,568.3499755859375,568.3499755859375,598.5999755859375,562.5499877929688,581.9500122070312,321161,2025-06-09
2025-06-16,553.8499755859375,553.8499755859375,577.4500122070312,537.8499755859375,576.7999877929688,188307,2025-06-16
2025-06-23,586.9500122070312,586.9500122070312,598.0,546.0499877929688,550.0,216334,2025-06-23
2025-06-30,568.0999755859375,568.0999755859375,590.4000244140625,561.5,588.0,142001,2025-06-30
2025-07-07,595.2000122070312,595.2000122070312,617.0,551.0999755859375,565.0,490972,2025-07-07
2025-07-14,579.4000244140625,579.4000244140625,592.5,572.1500244140625,590.0,82602,2025-07-14
