Date,Adj Close_ADANIPORTS.NS,Close_ADANIPORTS.NS,High_ADANIPORTS.NS,Low_ADANIPORTS.NS,Open_ADANIPORTS.NS,Volume_ADANIPORTS.NS,Date
2020-07-13,303.83453369140625,313.0,324.5,309.6000061035156,320.54998779296875,10292303,2020-07-13
2020-07-20,300.3399353027344,309.3999938964844,325.3500061035156,305.3500061035156,316.0,16951206,2020-07-20
2020-07-27,305.97015380859375,315.20001220703125,323.0,298.0,309.0,18882545,2020-07-27
2020-08-03,317.0848388671875,326.6499938964844,330.8999938964844,308.6499938964844,311.0,19894754,2020-08-03
2020-08-10,337.9067077636719,348.1000061035156,353.75,325.70001220703125,329.0,23450734,2020-08-10
2020-08-17,343.97369384765625,354.3500061035156,366.20001220703125,346.79998779296875,350.8500061035156,14803790,2020-08-17
2020-08-24,349.5068054199219,360.04998779296875,366.8999938964844,341.0,358.3999938964844,26993365,2020-08-24
2020-08-31,342.6632385253906,353.0,378.3500061035156,341.3999938964844,365.0,43714203,2020-08-31
2020-09-07,332.470703125,342.5,357.95001220703125,333.45001220703125,355.0,17645735,2020-09-07
2020-09-14,347.3711853027344,357.8500061035156,359.79998779296875,343.45001220703125,345.0,15658564,2020-09-14
2020-09-21,316.5994567871094,326.1499938964844,359.0,312.1000061035156,358.0,25167723,2020-09-21
2020-09-28,342.95440673828125,353.29998779296875,354.8999938964844,327.79998779296875,327.79998779296875,13501589,2020-09-28
2020-10-05,346.7402648925781,357.20001220703125,368.75,348.45001220703125,355.8999938964844,28429634,2020-10-05
2020-10-12,339.7025451660156,349.95001220703125,362.8500061035156,341.25,359.1000061035156,13893121,2020-10-12
2020-10-19,353.6808776855469,364.3500061035156,369.0,344.79998779296875,352.6000061035156,19443775,2020-10-19
2020-10-26,349.31268310546875,359.8500061035156,373.8999938964844,341.1499938964844,366.0,32665792,2020-10-26
2020-11-02,360.23321533203125,371.1000061035156,375.8999938964844,347.20001220703125,360.0,59487048,2020-11-02
2020-11-09,355.3796691894531,366.1000061035156,376.0,362.70001220703125,375.0,27619890,2020-11-09
2020-11-16,364.8441162109375,375.8500061035156,395.20001220703125,365.5,365.5,39163747,2020-11-16
2020-11-23,399.49871826171875,411.54998779296875,416.0,370.29998779296875,375.8500061035156,65238488,2020-11-23
2020-11-30,440.4144592285156,453.70001220703125,458.29998779296875,411.54998779296875,411.54998779296875,43300990,2020-11-30
2020-12-07,452.6455078125,466.29998779296875,475.0,457.0,461.0,40878264,2020-12-07
2020-12-14,449.73333740234375,463.29998779296875,480.45001220703125,458.5,468.6000061035156,35108274,2020-12-14
2020-12-21,464.53680419921875,478.54998779296875,482.8999938964844,427.20001220703125,459.0,33308533,2020-12-21
2020-12-28,489.095947265625,503.8500061035156,508.0,478.1499938964844,480.0,30178175,2020-12-28
2021-01-04,501.86090087890625,517.0,527.3499755859375,489.5,507.0,37905569,2021-01-04
2021-01-11,512.4902954101562,527.9500122070312,542.4500122070312,502.54998779296875,520.4500122070312,36447461,2021-01-11
2021-01-18,520.1103515625,535.7999877929688,562.5,503.79998779296875,531.0,43108109,2021-01-18
2021-01-25,494.774658203125,509.70001220703125,547.4500122070312,507.04998779296875,543.0,27225088,2021-01-25
2021-02-01,550.3482055664062,566.9500122070312,573.9500122070312,500.1000061035156,514.2999877929688,37319174,2021-02-01
2021-02-08,598.5443115234375,616.5999755859375,621.6500244140625,550.5,572.1500244140625,75342635,2021-02-08
2021-02-15,634.36376953125,653.5,676.6500244140625,610.7999877929688,617.9500122070312,95877036,2021-02-15
2021-02-22,656.1078491210938,675.9000244140625,711.3499755859375,649.0,658.7999877929688,70412138,2021-02-22
2021-03-01,727.018798828125,748.9500122070312,765.7000122070312,673.2999877929688,684.5999755859375,91321576,2021-03-01
2021-03-08,706.827880859375,728.1500244140625,767.7999877929688,723.0,762.7000122070312,40031340,2021-03-08
2021-03-15,666.1548461914062,686.25,735.7000122070312,657.0999755859375,727.7999877929688,57832854,2021-03-15
2021-03-22,682.4628295898438,703.0499877929688,755.0,681.0,686.0,103901296,2021-03-22
2021-03-29,714.690673828125,736.25,742.0,697.2999877929688,703.0499877929688,31878548,2021-03-29
2021-04-05,799.4828491210938,823.5999755859375,885.0,715.0,731.75,233726978,2021-04-05
2021-04-12,733.3770141601562,755.5,809.9000244140625,701.3499755859375,809.9000244140625,148824552,2021-04-12
