Date,Adj Close_RADIANTCMS.NS,Close_RADIANTCMS.NS,High_RADIANTCMS.NS,Low_RADIANTCMS.NS,Open_RADIANTCMS.NS,Volume_RADIANTCMS.NS,Date
2023-01-02,101.57654571533203,107.8499984741211,116.80000305175781,98.0999984741211,103.0,23701054,2023-01-02
2023-01-09,97.90340423583984,103.94999694824219,111.0999984741211,101.19999694824219,108.94999694824219,2930231,2023-01-09
2023-01-16,89.52111053466797,95.05000305175781,104.5,93.30000305175781,103.94999694824219,1400344,2023-01-16
2023-01-23,85.80086517333984,91.0999984741211,102.5999984741211,88.6500015258789,95.05000305175781,2587803,2023-01-23
2023-01-30,90.83966827392578,96.44999694824219,100.0,90.55000305175781,93.75,1635788,2023-01-30
2023-02-06,100.25798034667969,106.44999694824219,107.80000305175781,96.0,96.44999694824219,1933901,2023-02-06
2023-02-13,92.92085266113281,97.69999694824219,106.44999694824219,96.25,106.44999694824219,565663,2023-02-13
2023-02-20,92.2075424194336,96.94999694824219,100.69999694824219,94.5,99.6500015258789,358194,2023-02-20
2023-02-27,92.9684066772461,97.75,100.6500015258789,95.0,97.69999694824219,220500,2023-02-27
2023-03-06,91.54177856445312,96.25,99.0999984741211,93.30000305175781,98.5,222241,2023-03-06
2023-03-13,90.3529281616211,95.0,98.0,90.5999984741211,97.30000305175781,153542,2023-03-13
2023-03-20,88.35565948486328,92.9000015258789,98.75,91.0,93.30000305175781,171767,2023-03-20
2023-03-27,91.8746566772461,96.5999984741211,97.5999984741211,87.25,97.5999984741211,345078,2023-03-27
2023-04-03,91.16134643554688,95.8499984741211,98.0,94.6500015258789,97.4000015258789,96527,2023-04-03
2023-04-10,93.15862274169922,97.94999694824219,101.80000305175781,93.5999984741211,95.8499984741211,642832,2023-04-10
2023-04-17,90.68580627441406,95.3499984741211,99.9000015258789,94.5,96.0999984741211,188940,2023-04-17
2023-04-24,91.58934020996094,96.30000305175781,101.0,93.69999694824219,97.4000015258789,1434562,2023-04-24
2023-05-01,89.0689697265625,93.6500015258789,97.44999694824219,93.0999984741211,96.30000305175781,288131,2023-05-01
2023-05-08,89.63961791992188,94.25,97.5999984741211,91.44999694824219,94.9000015258789,419772,2023-05-08
2023-05-15,90.21025848388672,94.8499984741211,96.5999984741211,92.5,95.6500015258789,690669,2023-05-15
2023-05-22,88.97386169433594,93.55000305175781,98.75,93.0999984741211,95.1500015258789,2266809,2023-05-22
2023-05-29,88.78363800048828,93.3499984741211,94.8499984741211,91.5,94.3499984741211,627754,2023-05-29
2023-06-05,88.97386169433594,93.55000305175781,94.5999984741211,91.5999984741211,94.55000305175781,647191,2023-06-05
2023-06-12,89.0689697265625,93.6500015258789,97.0,90.94999694824219,93.9000015258789,1854912,2023-06-12
2023-06-19,88.49832153320312,93.05000305175781,95.5999984741211,91.19999694824219,93.6500015258789,1410283,2023-06-19
2023-06-26,88.26055145263672,92.80000305175781,95.0999984741211,92.55000305175781,93.69999694824219,593913,2023-06-26
2023-07-03,87.35700988769531,91.8499984741211,93.69999694824219,91.55000305175781,92.9000015258789,657781,2023-07-03
2023-07-10,89.21163177490234,93.80000305175781,94.9000015258789,88.0,92.44999694824219,1377211,2023-07-10
2023-07-17,90.73336029052734,95.4000015258789,96.75,91.55000305175781,94.55000305175781,2046582,2023-07-17
2023-07-24,94.20481872558594,99.05000305175781,103.19999694824219,95.5,96.19999694824219,3400983,2023-07-24
2023-07-31,104.52407836914062,109.9000015258789,112.94999694824219,98.05000305175781,99.05000305175781,11179377,2023-07-31
2023-08-07,99.05534362792969,104.1500015258789,114.30000305175781,98.55000305175781,110.80000305175781,30097208,2023-08-07
2023-08-14,92.58796691894531,97.3499984741211,102.9000015258789,94.9000015258789,102.69999694824219,7390242,2023-08-14
2023-08-21,91.01868438720703,95.69999694824219,102.5,95.05000305175781,97.55000305175781,7592584,2023-08-21
2023-08-28,90.78091430664062,95.44999694824219,97.9000015258789,94.30000305175781,96.69999694824219,3643220,2023-08-28
2023-09-04,90.3529281616211,95.0,101.69999694824219,94.05000305175781,94.69999694824219,5722035,2023-09-04
2023-09-11,91.65520477294922,94.3499984741211,98.5,91.5,95.69999694824219,3417627,2023-09-11
2023-09-18,90.48948669433594,93.1500015258789,98.19999694824219,92.9000015258789,95.25,2408719,2023-09-18
2023-09-25,90.2951889038086,92.94999694824219,94.25,92.25,93.5,1173206,2023-09-25
2023-10-02,90.34376525878906,93.0,94.5,88.94999694824219,92.94999694824219,2701703,2023-10-02
2023-10-09,96.41525268554688,99.25,102.5999984741211,91.6500015258789,93.1500015258789,5741480,2023-10-09
2023-10-16,96.7066879272461,99.55000305175781,104.4000015258789,97.8499984741211,99.4000015258789,6095648,2023-10-16
2023-10-23,90.82948303222656,93.5,100.19999694824219,89.6500015258789,100.0,2074008,2023-10-23
2023-10-30,95.44381713867188,98.25,99.0,92.5,93.5,1696647,2023-10-30
2023-11-06,88.15802764892578,90.75,102.0,89.5999984741211,98.55000305175781,3926871,2023-11-06
2023-11-13,88.20660400390625,90.80000305175781,93.6500015258789,90.5,93.25,1636332,2023-11-13
2023-11-20,86.45801544189453,89.0,93.5,88.5,91.69999694824219,2572090,2023-11-20
2023-11-27,86.0694351196289,88.5999984741211,90.80000305175781,88.0,89.0,1493663,2023-11-27
2023-12-04,87.86659240722656,90.44999694824219,92.0,88.3499984741211,89.30000305175781,2099803,2023-12-04
2023-12-11,84.9037094116211,87.4000015258789,91.55000305175781,87.0999984741211,91.0,1710758,2023-12-11
2023-12-18,86.70087432861328,89.25,93.75,87.0999984741211,88.0,5256928,2023-12-18
2023-12-25,86.50658416748047,89.05000305175781,91.5,88.69999694824219,89.25,1394124,2023-12-25
2024-01-01,86.65229797363281,89.19999694824219,90.9000015258789,88.05000305175781,89.69999694824219,1799722,2024-01-01
2024-01-08,88.8380355834961,91.44999694824219,97.0,87.5,90.0,5337847,2024-01-08
2024-01-15,86.94373321533203,89.5,91.94999694824219,87.5999984741211,91.44999694824219,1582636,2024-01-15
2024-01-22,87.23516845703125,89.80000305175781,91.80000305175781,88.19999694824219,89.5,901912,2024-01-22
2024-01-29,87.9637451171875,90.55000305175781,93.30000305175781,89.0999984741211,91.19999694824219,1911038,2024-01-29
2024-02-05,87.57516479492188,90.1500015258789,95.25,88.5,95.0,3565387,2024-02-05
2024-02-12,85.72943115234375,88.25,91.75,87.4000015258789,91.0,1769451,2024-02-12
2024-02-19,86.16658020019531,88.69999694824219,91.25,87.8499984741211,89.1500015258789,1542503,2024-02-19
2024-02-26,84.56371307373047,87.05000305175781,90.5,84.44999694824219,89.0,1892103,2024-02-26
2024-03-04,82.81511688232422,85.25,87.05000305175781,83.0,85.9000015258789,1575946,2024-03-04
2024-03-11,76.11219024658203,78.3499984741211,85.6500015258789,73.05000305175781,85.4000015258789,1863041,2024-03-11
