Date,Adj Close_IFBAGRO.NS,Close_IFBAGRO.NS,High_IFBAGRO.NS,Low_IFBAGRO.NS,Open_IFBAGRO.NS,Volume_IFBAGRO.NS,Date
2020-07-13,273.6499938964844,273.6499938964844,290.95001220703125,265.0,290.95001220703125,15449,2020-07-13
2020-07-20,283.75,283.75,290.0,260.0,281.8999938964844,16762,2020-07-20
2020-07-27,276.54998779296875,276.54998779296875,290.0,275.0,280.25,17288,2020-07-27
2020-08-03,291.25,291.25,295.95001220703125,273.20001220703125,274.0,49617,2020-08-03
2020-08-10,306.1499938964844,306.1499938964844,318.0,281.1000061035156,291.8999938964844,101110,2020-08-10
2020-08-17,310.79998779296875,310.79998779296875,321.3999938964844,301.0,313.6000061035156,63191,2020-08-17
2020-08-24,337.6499938964844,337.6499938964844,361.5,309.0,314.0,143402,2020-08-24
2020-08-31,319.95001220703125,319.95001220703125,351.0,301.1499938964844,342.0,46349,2020-08-31
2020-09-07,317.45001220703125,317.45001220703125,333.75,310.1000061035156,321.3500061035156,28528,2020-09-07
2020-09-14,345.29998779296875,345.29998779296875,377.0,318.54998779296875,320.95001220703125,93360,2020-09-14
2020-09-21,327.45001220703125,327.45001220703125,363.0,310.0,349.0,48642,2020-09-21
2020-09-28,325.3999938964844,325.3999938964844,338.75,324.04998779296875,335.0,22297,2020-09-28
2020-10-05,345.3500061035156,345.3500061035156,367.70001220703125,330.0,330.1499938964844,48203,2020-10-05
2020-10-12,327.6499938964844,327.6499938964844,349.5,320.0,345.54998779296875,20766,2020-10-12
2020-10-19,335.75,335.75,345.5,325.25,335.0,15274,2020-10-19
2020-10-26,326.70001220703125,326.70001220703125,352.70001220703125,324.8999938964844,341.5,49767,2020-10-26
2020-11-02,358.20001220703125,358.20001220703125,378.0,328.1499938964844,337.29998779296875,128002,2020-11-02
2020-11-09,349.1000061035156,349.1000061035156,372.29998779296875,341.20001220703125,371.79998779296875,62560,2020-11-09
2020-11-16,359.1499938964844,359.1499938964844,374.95001220703125,345.1499938964844,345.79998779296875,51295,2020-11-16
2020-11-23,497.95001220703125,497.95001220703125,524.7000122070312,361.25,368.0,645853,2020-11-23
2020-11-30,483.0,483.0,508.95001220703125,473.8999938964844,497.95001220703125,73581,2020-11-30
2020-12-07,482.6000061035156,482.6000061035156,500.0,467.04998779296875,476.0,79544,2020-12-07
2020-12-14,549.7000122070312,549.7000122070312,624.0,483.0,483.0,527851,2020-12-14
2020-12-21,465.29998779296875,465.29998779296875,568.9000244140625,458.04998779296875,545.5,181301,2020-12-21
2020-12-28,479.6499938964844,479.6499938964844,495.0,461.0,467.04998779296875,222811,2020-12-28
2021-01-04,483.3999938964844,483.3999938964844,490.0,455.20001220703125,488.0,144024,2021-01-04
