Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2021-03-22,6.050000190734863,6.050000190734863,6.050000190734863,4.849999904632568,4.949999809265137,26153,2021-03-22
2021-03-29,6.849999904632568,6.849999904632568,6.849999904632568,6.050000190734863,6.050000190734863,47592,2021-03-29
2021-04-05,6.800000190734863,6.800000190734863,7.849999904632568,6.800000190734863,7.150000095367432,57964,2021-04-05
2021-04-12,6.5,6.5,6.800000190734863,6.5,6.800000190734863,5507,2021-04-12
2021-04-19,5.400000095367432,5.400000095367432,6.199999809265137,5.400000095367432,6.199999809265137,1023,2021-04-19
2021-04-26,4.5,4.5,5.400000095367432,4.5,5.400000095367432,12763,2021-04-26
2021-05-03,4.300000190734863,4.300000190734863,4.5,4.300000190734863,4.5,3753,2021-05-03
2021-05-10,5.0,5.0,5.0,4.099999904632568,4.150000095367432,26432,2021-05-10
2021-05-17,5.199999809265137,5.199999809265137,5.550000190734863,4.849999904632568,5.25,42078,2021-05-17
2021-05-24,4.650000095367432,4.650000095367432,5.400000095367432,4.650000095367432,5.199999809265137,11950,2021-05-24
2021-05-31,5.5,5.5,5.5,4.449999809265137,4.849999904632568,18265,2021-05-31
2021-06-07,6.900000095367432,6.900000095367432,6.900000095367432,5.75,5.75,4916,2021-06-07
2021-06-14,7.25,7.25,8.25,7.199999809265137,7.199999809265137,130769,2021-06-14
2021-06-21,6.400000095367432,6.400000095367432,6.900000095367432,6.099999904632568,6.900000095367432,9215,2021-06-21
2021-06-28,6.050000190734863,6.050000190734863,6.400000095367432,5.75,6.400000095367432,36327,2021-06-28
2021-07-05,6.25,6.25,6.300000190734863,5.800000190734863,6.050000190734863,8807,2021-07-05
2021-07-12,5.699999809265137,5.699999809265137,6.25,5.699999809265137,6.25,1775,2021-07-12
2021-07-19,5.449999809265137,5.449999809265137,5.699999809265137,5.449999809265137,5.699999809265137,1002,2021-07-19
2021-07-26,4.550000190734863,4.550000190734863,5.199999809265137,4.550000190734863,5.199999809265137,1103,2021-07-26
2021-08-02,4.099999904632568,4.099999904632568,4.75,4.099999904632568,4.5,48462,2021-08-02
2021-08-09,4.900000095367432,4.900000095367432,4.900000095367432,4.099999904632568,4.099999904632568,997,2021-08-09
2021-08-16,5.849999904632568,5.849999904632568,5.849999904632568,5.099999904632568,5.099999904632568,6058,2021-08-16
2021-08-23,7.349999904632568,7.349999904632568,7.349999904632568,6.099999904632568,6.099999904632568,13174,2021-08-23
2021-08-30,7.900000095367432,7.900000095367432,8.25,7.349999904632568,7.699999809265137,102640,2021-08-30
2021-09-06,7.800000190734863,7.800000190734863,8.399999618530273,7.550000190734863,7.550000190734863,22931,2021-09-06
2021-09-13,8.350000381469727,8.350000381469727,8.800000190734863,7.949999809265137,8.0,38806,2021-09-13
2021-09-20,7.599999904632568,7.599999904632568,8.199999809265137,7.400000095367432,8.199999809265137,5320,2021-09-20
2021-09-27,6.349999904632568,6.349999904632568,7.599999904632568,6.349999904632568,7.599999904632568,6076,2021-09-27
2021-10-04,6.0,6.0,6.099999904632568,5.5,6.050000190734863,2072,2021-10-04
2021-10-11,7.199999809265137,7.199999809265137,7.199999809265137,6.300000190734863,6.300000190734863,952,2021-10-11
2021-10-18,8.949999809265137,8.949999809265137,8.949999809265137,7.550000190734863,7.550000190734863,55622,2021-10-18
2021-10-25,9.699999809265137,9.699999809265137,9.899999618530273,8.25,8.600000381469727,141323,2021-10-25
2021-11-01,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,2021-11-01
2021-11-08,9.350000381469727,9.350000381469727,9.399999618530273,9.25,9.399999618530273,13811,2021-11-08
