Date,Adj Close_SUNFLAG.NS,Close_SUNFLAG.NS,High_SUNFLAG.NS,Low_SUNFLAG.NS,Open_SUNFLAG.NS,Volume_SUNFLAG.NS,Date
2020-07-13,39.75,39.75,40.79999923706055,37.20000076293945,39.70000076293945,1010145,2020-07-13
2020-07-20,38.349998474121094,38.349998474121094,40.25,38.0,39.5,1176982,2020-07-20
2020-07-27,38.150001525878906,38.150001525878906,42.400001525878906,36.54999923706055,38.349998474121094,6747639,2020-07-27
2020-08-03,44.25,44.25,45.25,37.95000076293945,38.04999923706055,4610432,2020-08-03
2020-08-10,41.20000076293945,41.20000076293945,48.150001525878906,39.20000076293945,44.599998474121094,4734121,2020-08-10
2020-08-17,47.400001525878906,47.400001525878906,50.849998474121094,40.849998474121094,41.599998474121094,9883443,2020-08-17
2020-08-24,46.25,46.25,49.349998474121094,45.650001525878906,47.79999923706055,2134998,2020-08-24
2020-08-31,44.5,44.5,46.70000076293945,42.25,46.54999923706055,1296721,2020-08-31
2020-09-07,46.0,46.0,47.79999923706055,40.04999923706055,44.849998474121094,4889360,2020-09-07
2020-09-14,44.5,44.5,46.70000076293945,44.20000076293945,46.0,950415,2020-09-14
2020-09-21,41.45000076293945,41.45000076293945,45.599998474121094,39.099998474121094,44.5,1161745,2020-09-21
2020-09-28,42.5,42.5,44.25,41.45000076293945,41.45000076293945,525109,2020-09-28
2020-10-05,44.20000076293945,44.20000076293945,48.45000076293945,42.54999923706055,42.54999923706055,3041433,2020-10-05
2020-10-12,44.5,44.5,45.29999923706055,42.20000076293945,44.599998474121094,1450091,2020-10-12
2020-10-19,46.400001525878906,46.400001525878906,48.45000076293945,44.45000076293945,45.29999923706055,2976051,2020-10-19
2020-10-26,43.95000076293945,43.95000076293945,47.29999923706055,42.599998474121094,47.29999923706055,839531,2020-10-26
2020-11-02,47.150001525878906,47.150001525878906,47.79999923706055,42.599998474121094,43.400001525878906,2274875,2020-11-02
2020-11-09,55.150001525878906,55.150001525878906,56.0,46.150001525878906,47.20000076293945,6398527,2020-11-09
2020-11-16,54.5,54.5,59.150001525878906,52.25,52.25,4643364,2020-11-16
2020-11-23,56.0,56.0,58.599998474121094,53.150001525878906,55.0,3632815,2020-11-23
2020-11-30,60.25,60.25,63.04999923706055,55.099998474121094,56.0,5508500,2020-11-30
2020-12-07,59.04999923706055,59.04999923706055,62.70000076293945,57.45000076293945,60.95000076293945,2727185,2020-12-07
2020-12-14,59.400001525878906,59.400001525878906,61.95000076293945,58.25,59.70000076293945,2571426,2020-12-14
2020-12-21,57.0,57.0,60.25,48.900001525878906,59.79999923706055,1995080,2020-12-21
2020-12-28,64.05000305175781,64.05000305175781,65.0,57.599998474121094,57.599998474121094,3987830,2020-12-28
2021-01-04,68.05000305175781,68.05000305175781,72.5999984741211,64.5,64.94999694824219,13515647,2021-01-04
