Date,Adj Close_JUBLPHARMA.NS,Close_JUBLPHARMA.NS,High_JUBLPHARMA.NS,Low_JUBLPHARMA.NS,Open_JUBLPHARMA.NS,Volume_JUBLPHARMA.NS,Date
2020-07-13,489.1542663574219,509.21014404296875,529.0592651367188,490.03643798828125,520.8043823242188,1011592,2020-07-13
2020-07-20,542.5355224609375,564.7800903320312,570.3333740234375,505.6830749511719,511.79913330078125,6232845,2020-07-20
2020-07-27,573.1009521484375,596.5986938476562,611.2322387695312,547.4824829101562,564.7800903320312,5459417,2020-07-27
2020-08-03,605.0720825195312,629.8806762695312,682.1487426757812,593.5969848632812,597.34912109375,7675771,2020-08-03
2020-08-10,582.2921142578125,606.1668090820312,663.7254638671875,592.9215698242188,632.1319580078125,3641630,2020-08-10
2020-08-17,596.926025390625,621.4006958007812,633.3701782226562,586.843017578125,608.605712890625,5067529,2020-08-17
2020-08-24,587.4104614257812,611.4949340820312,660.385986328125,609.3561401367188,625.1153564453125,4502459,2020-08-24
2020-08-31,598.1515502929688,622.6764526367188,630.3684692382812,555.51220703125,617.3858642578125,5015357,2020-08-31
2020-09-07,532.3350830078125,554.161376953125,606.3544311523438,514.8009033203125,593.7845458984375,5540114,2020-09-07
2020-09-14,576.1646728515625,599.7880859375,618.3614501953125,557.575927734375,557.575927734375,4477483,2020-09-14
2020-09-21,518.4219970703125,539.6779174804688,604.7785034179688,520.9169921875,595.8482666015625,3921987,2020-09-21
2020-09-28,529.3433837890625,551.0470581054688,556.7504272460938,532.9614868164062,544.0679931640625,1389767,2020-09-28
2020-10-05,515.7908325195312,536.9388427734375,583.0157470703125,533.5618896484375,550.071533203125,1986225,2020-10-05
2020-10-12,498.0211486816406,518.4405517578125,542.19189453125,512.2119140625,542.19189453125,1372251,2020-10-12
2020-10-19,559.5844116210938,582.5280151367188,588.64404296875,514.0504760742188,523.6560668945312,2423365,2020-10-19
2020-10-26,525.1262817382812,546.6570434570312,583.466064453125,541.1412963867188,582.3403930664062,1255046,2020-10-26
2020-11-02,504.8334045410156,525.5321655273438,555.3245849609375,511.4239196777344,546.919677734375,1831006,2020-11-02
2020-11-09,506.7437744140625,527.5208129882812,535.7006225585938,509.5478210449219,531.310546875,1462006,2020-11-09
2020-11-16,502.31036376953125,522.9056396484375,530.4850463867188,514.0504760742188,524.5941162109375,947705,2020-11-16
2020-11-23,521.1974487304688,542.567138671875,560.5401611328125,518.9658203125,525.0819091796875,2347171,2020-11-23
2020-11-30,591.8077392578125,616.0725708007812,626.2410278320312,534.8751220703125,542.567138671875,4829966,2020-11-30
2020-12-07,574.0020141601562,597.5367431640625,664.8135986328125,585.3421020507812,622.8640747070312,3614364,2020-12-07
2020-12-14,557.7461547851562,580.6143798828125,625.077880859375,577.0872802734375,607.8552856445312,1366824,2020-12-14
2020-12-21,623.8870849609375,649.4671020507812,656.6337890625,548.0453491210938,589.0942993164062,4527796,2020-12-21
2020-12-28,614.0470581054688,639.2236328125,673.81884765625,629.5054321289062,655.8082885742188,3197633,2020-12-28
2021-01-04,669.554931640625,697.0073852539062,717.2692260742188,634.8335571289062,643.1259155273438,5414754,2021-01-04
2021-01-11,703.7246704101562,732.5781860351562,757.9429931640625,678.17138671875,705.4122924804688,4976703,2021-01-11
2021-01-18,673.303466796875,700.90966796875,748.1122436523438,688.8651123046875,731.6026000976562,3231380,2021-01-18
2021-01-25,642.5938720703125,668.9409790039062,712.1287231445312,657.0465698242188,708.8267822265625,1905516,2021-01-25
2021-02-01,879.826171875,915.9000244140625,947.8499755859375,652.881591796875,661.8869018554688,3194443,2021-02-01
2021-02-08,857.7320556640625,892.9000244140625,999.0,885.0,961.6500244140625,697532,2021-02-08
2021-02-15,742.2662963867188,772.7000122070312,905.0,742.0,892.9000244140625,524838,2021-02-15
2021-02-22,739.288330078125,769.5999755859375,785.3499755859375,638.2999877929688,775.0,449476,2021-02-22
2021-03-01,729.6821899414062,759.5999755859375,806.7000122070312,746.2000122070312,777.7000122070312,677156,2021-03-01
2021-03-08,753.1212158203125,784.0,799.7999877929688,745.0,764.0499877929688,351521,2021-03-08
2021-03-15,684.7255249023438,712.7999877929688,780.0,697.2000122070312,776.9000244140625,598753,2021-03-15
2021-03-22,638.2798461914062,664.4500122070312,724.0499877929688,634.0999755859375,723.9000244140625,1404198,2021-03-22
2021-03-29,684.6294555664062,712.7000122070312,722.0,664.4500122070312,664.4500122070312,458241,2021-03-29
2021-04-05,706.9636840820312,735.9500122070312,741.9500122070312,685.5999755859375,712.9000244140625,854827,2021-04-05
2021-04-12,694.763916015625,723.25,793.0499877929688,706.7000122070312,751.0,1086337,2021-04-12
2021-04-19,760.5179443359375,791.7000122070312,834.0,722.0,730.0,5409751,2021-04-19
2021-04-26,767.0501098632812,798.5,824.5,770.0,796.0,1417872,2021-04-26
