Date,Adj Close_AMRUTANJAN.NS,Close_AMRUTANJAN.NS,High_AMRUTANJAN.NS,Low_AMRUTANJAN.NS,Open_AMRUTANJAN.NS,Volume_AMRUTANJAN.NS,Date
2020-07-13,383.14422607421875,394.45001220703125,404.8999938964844,375.0,383.3500061035156,961477,2020-07-13
2020-07-20,383.775634765625,395.1000061035156,418.0,389.6499938964844,393.1000061035156,815096,2020-07-20
2020-07-27,417.86956787109375,430.20001220703125,446.6499938964844,382.0,397.0,2295763,2020-07-27
2020-08-03,438.9961853027344,451.95001220703125,461.6000061035156,420.6000061035156,434.75,1583634,2020-08-03
2020-08-10,465.0279846191406,478.75,525.0,441.3999938964844,454.0,2966238,2020-08-10
2020-08-17,463.57098388671875,477.25,494.54998779296875,470.29998779296875,482.79998779296875,743420,2020-08-17
2020-08-24,460.8512268066406,474.45001220703125,496.0,470.0,480.5,394277,2020-08-24
2020-08-31,429.7198486328125,442.3999938964844,478.0,440.04998779296875,476.1499938964844,293358,2020-08-31
2020-09-07,428.1171569824219,440.75,449.95001220703125,418.0,449.95001220703125,836729,2020-09-07
2020-09-14,453.031982421875,466.3999938964844,481.0,442.0,447.75,888812,2020-09-14
2020-09-21,411.9443664550781,424.1000061035156,473.75,419.5,466.0,444550,2020-09-21
2020-09-28,415.34405517578125,427.6000061035156,448.8999938964844,421.1000061035156,426.8999938964844,422820,2020-09-28
2020-10-05,407.0390930175781,419.04998779296875,436.0,416.6000061035156,430.0,284912,2020-10-05
2020-10-12,395.52880859375,407.20001220703125,423.0,400.25,422.95001220703125,199057,2020-10-12
2020-10-19,407.5733947753906,419.6000061035156,429.75,403.3999938964844,408.5,186394,2020-10-19
2020-10-26,406.6020202636719,418.6000061035156,425.45001220703125,404.0,420.0,229802,2020-10-26
2020-11-02,421.269287109375,433.70001220703125,441.5,409.5,420.70001220703125,274741,2020-11-02
2020-11-09,463.7652893066406,477.45001220703125,491.0,419.79998779296875,433.70001220703125,1805061,2020-11-09
