Date,Adj Close_IRMENERGY.NS,Close_IRMENERGY.NS,High_IRMENERGY.NS,Low_IRMENERGY.NS,Open_IRMENERGY.NS,Volume_IRMENERGY.NS,Date
2023-10-23,480.5613708496094,482.1499938964844,495.95001220703125,450.0,477.25,6701887,2023-10-23
2023-10-30,447.86944580078125,449.3500061035156,485.79998779296875,443.0,485.5,2309988,2023-10-30
2023-11-06,447.86944580078125,449.3500061035156,478.29998779296875,448.45001220703125,455.0,1525040,2023-11-06
2023-11-13,445.6268615722656,447.1000061035156,458.95001220703125,441.04998779296875,458.95001220703125,1314671,2023-11-13
2023-11-20,467.1058349609375,468.6499938964844,472.5,435.04998779296875,447.0,1235940,2023-11-20
2023-11-27,485.5448913574219,487.1499938964844,491.0,456.0,468.6499938964844,1464227,2023-11-27
2023-12-04,456.6903076171875,458.20001220703125,497.0,451.0,497.0,771685,2023-12-04
2023-12-11,477.52142333984375,479.1000061035156,489.3999938964844,455.25,459.95001220703125,1152100,2023-12-11
2023-12-18,520.977783203125,522.7000122070312,528.7999877929688,462.0,478.95001220703125,3634147,2023-12-18
2023-12-25,536.3768920898438,538.1500244140625,564.2999877929688,512.5499877929688,522.7000122070312,3480813,2023-12-25
2024-01-01,528.6524047851562,530.4000244140625,546.1500244140625,509.25,539.6500244140625,1235409,2024-01-01
2024-01-08,543.2042846679688,545.0,554.3499755859375,528.0,530.0,1035508,2024-01-08
2024-01-15,525.9114990234375,527.6500244140625,561.8499755859375,522.4500122070312,545.0,710656,2024-01-15
2024-01-22,506.5255432128906,508.20001220703125,535.0,500.0,527.6500244140625,511406,2024-01-22
2024-01-29,587.2586669921875,589.2000122070312,615.0,505.20001220703125,514.9000244140625,2765445,2024-01-29
2024-02-05,578.4378051757812,580.3499755859375,607.0,559.1500244140625,591.8499755859375,1202831,2024-02-05
2024-02-12,562.440673828125,564.2999877929688,588.5999755859375,512.5,564.0999755859375,996262,2024-02-12
2024-02-19,544.4501953125,546.25,579.4000244140625,532.9500122070312,564.75,550189,2024-02-19
2024-02-26,562.6400146484375,564.5,597.0,543.0,550.0,833987,2024-02-26
2024-03-04,516.7417602539062,518.4500122070312,570.75,487.20001220703125,555.0499877929688,863476,2024-03-04
2024-03-11,483.8006591796875,485.3999938964844,517.3499755859375,439.70001220703125,506.6499938964844,922910,2024-03-11
2024-03-18,491.4254455566406,493.04998779296875,504.0,468.29998779296875,489.70001220703125,340408,2024-03-18
2024-03-25,467.7536926269531,469.29998779296875,494.0,456.6499938964844,490.0,467699,2024-03-25
2024-04-01,498.60174560546875,500.25,508.79998779296875,473.1000061035156,476.3500061035156,334954,2024-04-01
