Date,Adj Close_AEGISLOG.NS,Close_AEGISLOG.NS,High_AEGISLOG.NS,Low_AEGISLOG.NS,Open_AEGISLOG.NS,Volume_AEGISLOG.NS,Date
2024-05-27,703.337890625,706.8499755859375,753.2999877929688,681.75,740.0999755859375,3120652,2024-05-27
2024-06-03,773.985107421875,777.8499755859375,869.5,625.0,723.0,10401371,2024-06-03
2024-06-10,812.5923461914062,816.6500244140625,887.6500244140625,745.25,780.0,7891945,2024-06-10
2024-06-17,802.5922241210938,806.5999755859375,845.0,791.0,828.7000122070312,2024768,2024-06-17
2024-06-24,868.5130615234375,872.8499755859375,914.0,761.2000122070312,800.0,4340988,2024-06-24
2024-07-01,919.6581420898438,922.0,925.0,844.2999877929688,878.0,1802411,2024-07-01
2024-07-08,843.7015380859375,845.8499755859375,970.0,840.0,927.9500122070312,3954173,2024-07-08
2024-07-15,852.2298583984375,854.4000244140625,904.5999755859375,822.0,852.9500122070312,1954682,2024-07-15
2024-07-22,892.0284423828125,894.2999877929688,899.9500122070312,811.0,839.0499877929688,1361303,2024-07-22
2024-07-29,733.482177734375,735.3499755859375,916.25,732.0,894.2999877929688,1765282,2024-07-29
2024-08-05,749.3418579101562,751.25,768.0,712.0,729.9000244140625,2662257,2024-08-05
2024-08-12,747.8456420898438,749.75,774.7999877929688,735.4000244140625,750.0,619411,2024-08-12
2024-08-19,795.6738891601562,797.7000122070312,836.7999877929688,752.2000122070312,755.25,4089689,2024-08-19
2024-08-26,750.6883544921875,752.5999755859375,803.0,735.25,803.0,1128003,2024-08-26
2024-09-02,814.9248046875,817.0,868.0,760.0,764.0,2979299,2024-09-02
2024-09-09,799.9130859375,801.9500122070312,859.5,799.0,817.0,1027138,2024-09-09
2024-09-16,743.9056396484375,745.7999877929688,815.0,741.0,808.4000244140625,1102804,2024-09-16
2024-09-23,736.9733276367188,738.8499755859375,775.2000122070312,735.5,744.0,820136,2024-09-23
2024-09-30,722.7096557617188,724.5499877929688,782.0,716.8499755859375,730.0,962441,2024-09-30
2024-10-07,681.2651977539062,683.0,729.9000244140625,647.7999877929688,729.5999755859375,1521343,2024-10-07
2024-10-14,723.4078979492188,725.25,739.0,674.0,680.0499877929688,2345255,2024-10-14
2024-10-21,745.551513671875,747.4500122070312,758.9500122070312,711.3499755859375,725.75,1559289,2024-10-21
2024-10-28,806.0973510742188,808.1500244140625,818.5499877929688,723.6500244140625,734.9500122070312,1972164,2024-10-28
2024-11-04,766.8472290039062,768.7999877929688,832.9500122070312,766.5499877929688,804.4000244140625,858230,2024-11-04
2024-11-11,803.0051879882812,805.0499877929688,819.5,747.25,767.0,1636179,2024-11-11
2024-11-18,798.16748046875,800.2000122070312,858.0,786.0499877929688,819.5,1867380,2024-11-18
2024-11-25,905.643798828125,907.9500122070312,920.0,803.0499877929688,803.2999877929688,2939779,2024-11-25
2024-12-02,812.1319580078125,814.2000122070312,906.9500122070312,805.1500244140625,891.0,3148867,2024-12-02
2024-12-09,777.5200805664062,779.5,809.8499755859375,749.0499877929688,805.0,2352718,2024-12-09
2024-12-16,823.7024536132812,825.7999877929688,855.2999877929688,748.2999877929688,779.5,13173683,2024-12-16
2024-12-23,811.0347290039062,813.0999755859375,854.75,786.5,840.0,3158229,2024-12-23
2024-12-30,809.388916015625,811.4500122070312,837.0,800.0,813.9500122070312,1169335,2024-12-30
2025-01-06,827.8917846679688,830.0,1037.0,805.0,807.5999755859375,83402785,2025-01-06
2025-01-13,798.9654541015625,801.0,871.2999877929688,778.0499877929688,834.6500244140625,32704300,2025-01-13
2025-01-20,673.4351196289062,675.1500244140625,809.75,666.3499755859375,803.5999755859375,16560774,2025-01-20
2025-01-27,681.3649291992188,683.0999755859375,720.1500244140625,609.8499755859375,670.0,11553070,2025-01-27
2025-02-03,825.5477905273438,827.6500244140625,838.3499755859375,657.0499877929688,682.0,24876706,2025-02-03
2025-02-10,715.4281616210938,717.25,846.75,689.25,827.9500122070312,10974619,2025-02-10
2025-02-17,747.9453735351562,749.8499755859375,787.2999877929688,640.2000122070312,704.0,30670845,2025-02-17
2025-02-24,758.2691040039062,760.2000122070312,782.4000244140625,722.4000244140625,740.0,6885437,2025-02-24
2025-03-03,748.1448364257812,750.0499877929688,798.0,720.5,764.5499877929688,5900794,2025-03-03
2025-03-10,735.1778564453125,737.0499877929688,767.25,704.0999755859375,749.9500122070312,4035783,2025-03-10
2025-03-17,793.678955078125,795.7000122070312,802.0,722.25,738.0,2870644,2025-03-17
2025-03-24,803.4041748046875,805.4500122070312,944.0,767.0,810.0,8764040,2025-03-24
2025-03-31,775.7745361328125,777.75,831.0,766.2999877929688,805.0,12110409,2025-03-31
2025-04-07,753.8303833007812,755.75,811.9500122070312,685.2999877929688,700.0,5094778,2025-04-07
2025-04-14,785.0010375976562,787.0,833.0,757.7999877929688,765.0,9170287,2025-04-14
2025-04-21,773.9791259765625,775.9500122070312,818.0,748.5,787.0,3471606,2025-04-21
2025-04-28,772.2335205078125,774.2000122070312,807.2000122070312,760.0999755859375,771.5499877929688,1945950,2025-04-28
2025-05-05,793.7786865234375,795.7999877929688,855.0,770.0,774.0,10807281,2025-05-05
2025-05-12,865.346435546875,867.5499877929688,880.9000244140625,802.7000122070312,812.0,4843814,2025-05-12
2025-05-19,829.88671875,832.0,946.5,826.0499877929688,867.5499877929688,7840752,2025-05-19
2025-05-26,794.8759155273438,796.9000244140625,843.7999877929688,783.0,835.9500122070312,4008495,2025-05-26
2025-06-02,797.9181518554688,799.9500122070312,812.5499877929688,782.0999755859375,800.0,2438240,2025-06-02
2025-06-09,788.2926025390625,790.2999877929688,820.8499755859375,782.0,800.0,1798435,2025-06-09
2025-06-16,785.4498901367188,787.4500122070312,814.9000244140625,771.2000122070312,790.9500122070312,5022568,2025-06-16
2025-06-23,779.1658935546875,781.1500244140625,845.5,770.5,780.6500244140625,5358846,2025-06-23
2025-06-30,754.0499877929688,754.0499877929688,796.9000244140625,730.0999755859375,785.0,4265079,2025-06-30
2025-07-07,738.7999877929688,738.7999877929688,766.7000122070312,735.0,755.8499755859375,1772740,2025-07-07
2025-07-14,751.0499877929688,751.0499877929688,753.0,723.2999877929688,740.5999755859375,797358,2025-07-14
