Date,Adj Close_JGCHEM.NS,Close_JGCHEM.NS,High_JGCHEM.NS,Low_JGCHEM.NS,Open_JGCHEM.NS,Volume_JGCHEM.NS,Date
2025-04-28,314.70001220703125,314.70001220703125,355.0,314.29998779296875,346.6499938964844,260521,2025-04-28
2025-05-05,312.75,312.75,328.45001220703125,303.75,314.70001220703125,300742,2025-05-05
2025-05-12,363.0,363.0,369.3999938964844,323.0,323.0,503368,2025-05-12
2025-05-19,347.1000061035156,347.1000061035156,367.29998779296875,335.1000061035156,363.0,777096,2025-05-19
2025-05-26,375.5,375.5,390.3500061035156,346.29998779296875,349.0,1237545,2025-05-26
2025-06-02,360.3500061035156,360.3500061035156,388.70001220703125,356.0,375.45001220703125,548216,2025-06-02
2025-06-09,386.04998779296875,386.04998779296875,395.8999938964844,363.0,363.0,735324,2025-06-09
2025-06-16,390.75,390.75,430.0,376.3500061035156,388.6000061035156,1859361,2025-06-16
2025-06-23,399.6499938964844,399.6499938964844,413.0,382.54998779296875,386.0,708621,2025-06-23
2025-06-30,459.3999938964844,459.3999938964844,466.79998779296875,391.25,400.0,4337665,2025-06-30
2025-07-07,500.54998779296875,500.54998779296875,557.0,460.25,469.95001220703125,17973160,2025-07-07
2025-07-14,504.70001220703125,504.70001220703125,522.2999877929688,486.0,500.79998779296875,1424629,2025-07-14
