Date,Adj Close_JGCHEM.NS,Close_JGCHEM.NS,High_JGCHEM.NS,Low_JGCHEM.NS,Open_JGCHEM.NS,Volume_JGCHEM.NS,Date
2024-03-11,194.75,194.75,213.75,180.0,209.0,11356837,2024-03-11
2024-03-18,186.5500030517578,186.5500030517578,204.35000610351562,185.8000030517578,197.1999969482422,2011169,2024-03-18
2024-03-25,172.25,172.25,186.89999389648438,171.35000610351562,186.5500030517578,1333036,2024-03-25
2024-04-01,232.4499969482422,232.4499969482422,242.9499969482422,172.25,172.25,7872458,2024-04-01
2024-04-08,225.35000610351562,225.35000610351562,236.89999389648438,217.39999389648438,235.89999389648438,1514737,2024-04-08
2024-04-15,221.25,221.25,227.0,205.0,220.0,1062091,2024-04-15
2024-04-22,250.60000610351562,250.60000610351562,273.79998779296875,223.0,224.60000610351562,5846867,2024-04-22
2024-04-29,258.3999938964844,258.3999938964844,274.5,251.14999389648438,252.64999389648438,1390420,2024-04-29
2024-05-06,230.75,230.75,262.95001220703125,221.1999969482422,258.3999938964844,1485279,2024-05-06
2024-05-13,240.10000610351562,240.10000610351562,253.75,223.6999969482422,231.0,763708,2024-05-13
2024-05-20,229.5,229.5,240.8000030517578,228.0,240.6999969482422,438869,2024-05-20
2024-05-27,215.4499969482422,215.4499969482422,232.5,213.8000030517578,231.4499969482422,505475,2024-05-27
2024-06-03,223.6999969482422,223.6999969482422,227.0,200.0500030517578,225.0,901894,2024-06-03
2024-06-10,232.86000061035156,232.86000061035156,242.5500030517578,224.39999389648438,227.0,637738,2024-06-10
2024-06-17,255.13999938964844,255.13999938964844,259.79998779296875,227.0,232.86000061035156,1366886,2024-06-17
2024-06-24,236.5399932861328,236.5399932861328,269.69000244140625,234.0,254.14999389648438,770824,2024-06-24
2024-07-01,260.2200012207031,260.2200012207031,274.1000061035156,234.3000030517578,238.47000122070312,2072479,2024-07-01
2024-07-08,244.16000366210938,244.16000366210938,261.8999938964844,241.0,261.8999938964844,789931,2024-07-08
2024-07-15,245.75,245.75,254.5,241.49000549316406,244.0,508065,2024-07-15
2024-07-22,264.05999755859375,264.05999755859375,275.79998779296875,225.14999389648438,245.75,1540888,2024-07-22
2024-07-29,300.0,300.0,309.0,255.0,265.8999938964844,4920310,2024-07-29
2024-08-05,333.3999938964844,333.3999938964844,347.95001220703125,280.0,285.0,3347021,2024-08-05
2024-08-12,325.95001220703125,325.95001220703125,349.8999938964844,312.6000061035156,333.0,1731887,2024-08-12
2024-08-19,380.8999938964844,380.8999938964844,429.0,326.79998779296875,332.0,6976208,2024-08-19
2024-08-26,387.6499938964844,387.6499938964844,414.5,370.0,383.0,2054685,2024-08-26
2024-09-02,410.04998779296875,410.04998779296875,459.5,384.29998779296875,384.29998779296875,3300208,2024-09-02
2024-09-09,425.1499938964844,425.1499938964844,455.0,400.3999938964844,411.8999938964844,1987117,2024-09-09
2024-09-16,412.8500061035156,412.8500061035156,464.0,402.6499938964844,426.8500061035156,2415752,2024-09-16
2024-09-23,402.5,402.5,420.79998779296875,390.0,414.8999938964844,875179,2024-09-23
2024-09-30,381.8999938964844,381.8999938964844,406.70001220703125,368.29998779296875,402.1000061035156,759628,2024-09-30
2024-10-07,406.54998779296875,406.54998779296875,408.8999938964844,361.0,379.1000061035156,922958,2024-10-07
2024-10-14,407.8999938964844,407.8999938964844,424.20001220703125,392.25,409.0,851943,2024-10-14
2024-10-21,337.25,337.25,406.04998779296875,332.3500061035156,406.04998779296875,1054097,2024-10-21
2024-10-28,357.1000061035156,357.1000061035156,360.0,328.8999938964844,337.25,554334,2024-10-28
2024-11-04,350.54998779296875,350.54998779296875,379.0,343.79998779296875,357.0,697910,2024-11-04
2024-11-11,397.0,397.0,397.0,323.79998779296875,350.54998779296875,1033876,2024-11-11
2024-11-18,431.75,431.75,467.20001220703125,400.54998779296875,415.0,3992428,2024-11-18
2024-11-25,435.04998779296875,435.04998779296875,484.5,428.1499938964844,436.70001220703125,2029435,2024-11-25
2024-12-02,437.1000061035156,437.1000061035156,467.79998779296875,428.0,433.95001220703125,1219321,2024-12-02
2024-12-09,422.1000061035156,422.1000061035156,477.45001220703125,413.0,437.1000061035156,2098459,2024-12-09
2024-12-16,407.8999938964844,407.8999938964844,446.45001220703125,405.0,422.1000061035156,1201448,2024-12-16
2024-12-23,409.8500061035156,409.8500061035156,428.95001220703125,398.1499938964844,414.95001220703125,805083,2024-12-23
2024-12-30,406.8999938964844,406.8999938964844,422.75,393.3500061035156,410.3500061035156,519918,2024-12-30
2025-01-06,369.04998779296875,369.04998779296875,405.8999938964844,364.8500061035156,402.0,456537,2025-01-06
2025-01-13,361.45001220703125,361.45001220703125,384.6499938964844,345.20001220703125,364.25,466163,2025-01-13
2025-01-20,345.5,345.5,368.20001220703125,331.70001220703125,366.70001220703125,522321,2025-01-20
2025-01-27,363.5,363.5,387.45001220703125,292.20001220703125,344.25,1424390,2025-01-27
2025-02-03,346.5,346.5,388.70001220703125,342.0,355.0,1150752,2025-02-03
2025-02-10,310.29998779296875,310.29998779296875,346.70001220703125,305.0,346.5,702255,2025-02-10
2025-02-17,324.54998779296875,324.54998779296875,336.8999938964844,301.29998779296875,310.0,449588,2025-02-17
2025-02-24,305.04998779296875,305.04998779296875,329.0,298.20001220703125,319.70001220703125,281730,2025-02-24
2025-03-03,323.8500061035156,323.8500061035156,330.5,295.3500061035156,304.8500061035156,380386,2025-03-03
2025-03-10,309.8999938964844,309.8999938964844,325.0,303.1499938964844,325.0,158573,2025-03-10
2025-03-17,338.20001220703125,338.20001220703125,345.8999938964844,302.1499938964844,311.70001220703125,369507,2025-03-17
2025-03-24,300.20001220703125,300.20001220703125,351.0,296.20001220703125,342.8999938964844,738136,2025-03-24
2025-03-31,322.95001220703125,322.95001220703125,345.0,300.20001220703125,300.20001220703125,557745,2025-03-31
2025-04-07,336.79998779296875,336.79998779296875,350.0,280.45001220703125,297.0,399234,2025-04-07
2025-04-14,348.6000061035156,348.6000061035156,359.25,336.79998779296875,336.79998779296875,303787,2025-04-14
2025-04-21,346.6499938964844,346.6499938964844,371.95001220703125,338.0,351.0,597507,2025-04-21
