Date,Adj Close_ASIANPAINT.NS,Close_ASIANPAINT.NS,High_ASIANPAINT.NS,Low_ASIANPAINT.NS,Open_ASIANPAINT.NS,Volume_ASIANPAINT.NS,Date
2020-07-13,1642.92578125,1717.9000244140625,1742.5,1645.0999755859375,1700.0,5362858,2020-07-13
2020-07-20,1637.331298828125,1712.050048828125,1771.75,1682.0,1727.0,11584251,2020-07-20
2020-07-27,1642.0833740234375,1715.5,1792.6500244140625,1710.4000244140625,1717.199951171875,14328216,2020-07-27
2020-08-03,1728.9493408203125,1806.25,1816.9000244140625,1697.5,1729.0,11750206,2020-08-03
2020-08-10,1725.4078369140625,1802.550048828125,1837.800048828125,1772.0,1810.0,9672123,2020-08-10
2020-08-17,1874.2049560546875,1958.0,1973.25,1801.8499755859375,1820.0,13394699,2020-08-17
2020-08-24,1874.3009033203125,1958.0999755859375,2016.8499755859375,1940.0,1958.0,14745379,2020-08-24
2020-08-31,1872.6256103515625,1956.3499755859375,1997.0,1881.25,1977.0,12238499,2020-08-31
2020-09-07,1948.81884765625,2035.949951171875,2069.949951171875,1948.0999755859375,1965.0,15713957,2020-09-07
2020-09-14,1941.59228515625,2028.4000244140625,2054.0,1994.1500244140625,2050.0,11295935,2020-09-14
2020-09-21,1843.1917724609375,1925.5999755859375,2057.0,1907.75,2036.4000244140625,11071632,2020-09-21
2020-09-28,1953.1263427734375,2040.449951171875,2049.35009765625,1930.0,1938.0,7635681,2020-09-28
2020-10-05,1962.8424072265625,2050.60009765625,2118.800048828125,2011.0,2040.449951171875,10201278,2020-10-05
2020-10-12,1972.988525390625,2061.199951171875,2124.0,2041.25,2067.89990234375,12352129,2020-10-12
2020-10-19,2029.5113525390625,2120.25,2143.85009765625,2056.5,2079.949951171875,12437949,2020-10-19
2020-10-26,2116.8564453125,2211.5,2242.85009765625,2070.050048828125,2116.35009765625,17211053,2020-10-26
2020-11-02,2117.73876953125,2209.050048828125,2248.0,2146.75,2198.0,10811799,2020-11-02
2020-11-09,2094.30029296875,2184.60009765625,2249.0,2157.300048828125,2249.0,9291837,2020-11-09
