Date,Adj Close_RAJTV.NS,Close_RAJTV.NS,High_RAJTV.NS,Low_RAJTV.NS,Open_RAJTV.NS,Volume_RAJTV.NS,Date
2021-03-22,31.899999618530273,31.899999618530273,34.79999923706055,30.5,33.900001525878906,27290,2021-03-22
2021-03-29,32.79999923706055,32.79999923706055,35.70000076293945,31.100000381469727,31.899999618530273,9409,2021-03-29
2021-04-05,32.54999923706055,32.54999923706055,33.25,31.850000381469727,32.650001525878906,20092,2021-04-05
2021-04-12,31.850000381469727,31.850000381469727,32.5,29.649999618530273,32.0,17577,2021-04-12
2021-04-19,36.70000076293945,36.70000076293945,38.0,31.0,32.349998474121094,186354,2021-04-19
2021-04-26,35.29999923706055,35.29999923706055,38.20000076293945,34.900001525878906,38.0,150071,2021-04-26
2021-05-03,35.29999923706055,35.29999923706055,41.79999923706055,35.0,35.29999923706055,228095,2021-05-03
2021-05-10,34.400001525878906,34.400001525878906,36.0,34.099998474121094,35.650001525878906,32443,2021-05-10
2021-05-17,36.0,36.0,37.0,34.20000076293945,34.400001525878906,41526,2021-05-17
2021-05-24,38.45000076293945,38.45000076293945,43.5,35.099998474121094,37.0,675522,2021-05-24
2021-05-31,40.650001525878906,40.650001525878906,42.900001525878906,36.599998474121094,38.29999923706055,208548,2021-05-31
2021-06-07,39.650001525878906,39.650001525878906,42.79999923706055,38.599998474121094,40.650001525878906,286714,2021-06-07
2021-06-14,38.04999923706055,38.04999923706055,40.20000076293945,36.20000076293945,40.0,79246,2021-06-14
2021-06-21,39.400001525878906,39.400001525878906,42.29999923706055,37.95000076293945,38.0,135373,2021-06-21
2021-06-28,56.04999923706055,56.04999923706055,66.69999694824219,39.150001525878906,39.349998474121094,2777502,2021-06-28
2021-07-05,53.45000076293945,53.45000076293945,60.79999923706055,51.29999923706055,55.5,360428,2021-07-05
2021-07-12,52.04999923706055,52.04999923706055,54.900001525878906,51.400001525878906,52.70000076293945,84924,2021-07-12
2021-07-19,47.70000076293945,47.70000076293945,52.5,46.20000076293945,51.599998474121094,51779,2021-07-19
2021-07-26,42.04999923706055,42.04999923706055,49.0,41.0,46.75,108798,2021-07-26
2021-08-02,40.5,40.5,43.599998474121094,39.25,42.04999923706055,40694,2021-08-02
2021-08-09,39.650001525878906,39.650001525878906,41.400001525878906,36.29999923706055,41.0,49641,2021-08-09
2021-08-16,35.650001525878906,35.650001525878906,40.04999923706055,35.54999923706055,38.900001525878906,24599,2021-08-16
2021-08-23,35.95000076293945,35.95000076293945,37.650001525878906,33.20000076293945,36.400001525878906,26307,2021-08-23
2021-08-30,34.95000076293945,34.95000076293945,38.099998474121094,33.04999923706055,35.25,44963,2021-08-30
