Date,Adj Close_AZAD.NS,Close_AZAD.NS,High_AZAD.NS,Low_AZAD.NS,Open_AZAD.NS,Volume_AZAD.NS,Date
2023-12-25,692.0499877929688,692.0499877929688,727.0,670.0,720.0,18554062,2023-12-25
2024-01-01,661.7000122070312,661.7000122070312,702.0,657.25,696.75,3088067,2024-01-01
2024-01-08,689.7999877929688,689.7999877929688,706.0499877929688,648.4000244140625,662.0,2870381,2024-01-08
2024-01-15,670.0499877929688,670.0499877929688,689.7999877929688,642.4000244140625,689.7999877929688,953681,2024-01-15
2024-01-22,676.1500244140625,676.1500244140625,687.75,665.0,670.0499877929688,713184,2024-01-22
2024-01-29,945.4000244140625,945.4000244140625,1013.4000244140625,681.0499877929688,683.6500244140625,18554737,2024-01-29
2024-02-05,970.25,970.25,1045.0,892.0,945.7000122070312,3568925,2024-02-05
2024-02-12,1113.4000244140625,1113.4000244140625,1144.0,899.9000244140625,978.6500244140625,2350358,2024-02-12
2024-02-19,1203.6500244140625,1203.6500244140625,1285.9000244140625,1116.050048828125,1123.0,2440997,2024-02-19
2024-02-26,1270.8499755859375,1270.8499755859375,1270.8499755859375,1164.0999755859375,1215.0,1438997,2024-02-26
2024-03-04,1356.4000244140625,1356.4000244140625,1465.0,1289.050048828125,1360.0,2407282,2024-03-04
2024-03-11,1214.0999755859375,1214.0999755859375,1360.0,1158.0,1360.0,1435859,2024-03-11
2024-03-18,1331.75,1331.75,1332.949951171875,1196.1500244140625,1229.9000244140625,836760,2024-03-18
2024-03-25,1367.8499755859375,1367.8499755859375,1388.0,1280.0,1331.75,758412,2024-03-25
2024-04-01,1320.0999755859375,1320.0999755859375,1410.0,1295.6500244140625,1390.0,1072417,2024-04-01
2024-04-08,1277.0,1277.0,1366.0,1272.050048828125,1327.0,472548,2024-04-08
2024-04-15,1261.4000244140625,1261.4000244140625,1309.050048828125,1213.1500244140625,1240.0,722246,2024-04-15
2024-04-22,1374.75,1374.75,1404.0,1280.0,1280.0,1248733,2024-04-22
2024-04-29,1316.6500244140625,1316.6500244140625,1385.0,1308.5999755859375,1384.949951171875,333284,2024-04-29
2024-05-06,1274.800048828125,1274.800048828125,1328.050048828125,1243.0,1325.0,448885,2024-05-06
2024-05-13,1470.699951171875,1470.699951171875,1497.5,1250.0999755859375,1274.0,880124,2024-05-13
2024-05-20,1433.4000244140625,1433.4000244140625,1544.199951171875,1382.050048828125,1442.949951171875,1693375,2024-05-20
2024-05-27,1495.5999755859375,1495.5999755859375,1504.9000244140625,1367.0,1443.300048828125,1243600,2024-05-27
2024-06-03,1539.0,1539.0,1570.3499755859375,1394.75,1570.3499755859375,1135386,2024-06-03
2024-06-10,1797.5999755859375,1797.5999755859375,1797.5999755859375,1539.0,1539.0,1445565,2024-06-10
2024-06-17,1874.300048828125,1874.300048828125,2080.0,1797.5999755859375,1797.5999755859375,1482300,2024-06-17
2024-06-24,1898.050048828125,1898.050048828125,2006.949951171875,1875.0,1894.0,648148,2024-06-24
2024-07-01,1839.0,1839.0,1930.0,1810.0,1930.0,473971,2024-07-01
