Date,Adj Close_SHANTI.NS,Close_SHANTI.NS,High_SHANTI.NS,Low_SHANTI.NS,Open_SHANTI.NS,Volume_SHANTI.NS,Date
2020-07-13,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,0,2020-07-13
2020-07-20,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,0,2020-07-20
2020-07-27,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,0,2020-07-27
2020-08-03,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,24.149999618530273,0,2020-08-03
2020-08-10,22.549999237060547,22.549999237060547,24.149999618530273,22.549999237060547,24.149999618530273,49500,2020-08-10
2020-08-17,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-08-17
2020-08-24,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-08-24
2020-08-31,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-08-31
2020-09-07,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-09-07
2020-09-14,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-09-14
2020-09-21,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-09-21
2020-09-28,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0,2020-09-28
2020-10-05,23.0,23.0,23.0,23.0,23.0,67500,2020-10-05
2020-10-12,23.0,23.0,23.0,23.0,23.0,0,2020-10-12
2020-10-19,23.0,23.0,23.0,23.0,23.0,0,2020-10-19
2020-10-26,23.0,23.0,23.0,23.0,23.0,0,2020-10-26
2020-11-02,23.0,23.0,23.0,23.0,23.0,0,2020-11-02
2020-11-09,23.0,23.0,23.0,23.0,23.0,0,2020-11-09
2020-11-16,23.0,23.0,23.0,23.0,23.0,0,2020-11-16
2020-11-23,23.0,23.0,23.0,23.0,23.0,0,2020-11-23
2020-11-30,23.0,23.0,23.0,23.0,23.0,0,2020-11-30
2020-12-07,23.0,23.0,23.0,23.0,23.0,0,2020-12-07
2020-12-14,23.0,23.0,23.0,23.0,23.0,0,2020-12-14
2020-12-21,23.0,23.0,23.0,23.0,23.0,0,2020-12-21
2020-12-28,23.0,23.0,23.0,23.0,23.0,0,2020-12-28
2021-01-04,21.850000381469727,21.850000381469727,23.0,21.850000381469727,23.0,4500,2021-01-04
2021-01-11,20.799999237060547,20.799999237060547,21.850000381469727,20.799999237060547,21.850000381469727,9000,2021-01-11
2021-01-18,23.100000381469727,23.100000381469727,23.100000381469727,20.5,20.75,40500,2021-01-18
2021-01-25,23.25,23.25,24.25,23.25,24.0,27000,2021-01-25
2021-02-01,23.25,23.25,23.25,23.0,23.25,9000,2021-02-01
2021-02-08,24.399999618530273,24.399999618530273,24.649999618530273,23.25,24.0,22500,2021-02-08
2021-02-15,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,0,2021-02-15
2021-02-22,24.0,24.0,24.399999618530273,23.950000762939453,24.399999618530273,22500,2021-02-22
