Date,Adj Close_THYROCARE.NS,Close_THYROCARE.NS,High_THYROCARE.NS,Low_THYROCARE.NS,Open_THYROCARE.NS,Volume_THYROCARE.NS,Date
2020-07-13,544.8016357421875,600.9000244140625,610.0,550.0,585.0499877929688,594065,2020-07-13
2020-07-20,551.1028442382812,607.8499755859375,627.0,586.0,604.7000122070312,475167,2020-07-20
2020-07-27,636.1005249023438,701.5999755859375,737.7000122070312,612.0,617.3499755859375,2763546,2020-07-27
2020-08-03,634.6045532226562,699.9500122070312,710.0499877929688,631.25,693.0,965926,2020-08-03
2020-08-10,639.1378173828125,704.9500122070312,720.0,686.0,701.0,641376,2020-08-10
2020-08-17,714.4344482421875,788.0,846.9000244140625,702.1500244140625,710.0,5110960,2020-08-17
2020-08-24,680.8887939453125,751.0,829.2999877929688,746.0999755859375,790.0499877929688,924183,2020-08-24
2020-08-31,680.3447265625,750.4000244140625,773.5,740.0,758.9000244140625,391605,2020-08-31
2020-09-07,710.4452514648438,783.5999755859375,809.9000244140625,722.3499755859375,755.0,756048,2020-09-07
2020-09-14,730.6634521484375,805.9000244140625,827.0,770.0,785.8499755859375,744126,2020-09-14
2020-09-21,690.9978637695312,762.1500244140625,815.3499755859375,711.1500244140625,804.0,572464,2020-09-21
2020-09-28,687.0086059570312,757.75,776.7000122070312,740.75,772.0,331368,2020-09-28
2020-10-05,969.0650634765625,1068.8499755859375,1150.0,761.1500244140625,761.5499877929688,11574392,2020-10-05
2020-10-12,918.565185546875,1013.1500244140625,1150.0,990.0,1071.9000244140625,1745107,2020-10-12
2020-10-19,960.1346435546875,1059.0,1110.0,1013.7000122070312,1034.449951171875,1569306,2020-10-19
2020-10-26,1041.4605712890625,1148.699951171875,1212.0,1064.0,1065.1500244140625,3225375,2020-10-26
2020-11-02,1020.0637817382812,1125.0999755859375,1180.0,1120.0999755859375,1161.0,967300,2020-11-02
2020-11-09,966.1639404296875,1065.6500244140625,1147.8499755859375,940.0,1137.699951171875,630209,2020-11-09
2020-11-16,954.1883544921875,1042.449951171875,1075.0,960.1500244140625,1052.550048828125,582995,2020-11-16
2020-11-23,1005.2638549804688,1098.25,1158.949951171875,1000.0,1033.0,1414650,2020-11-23
2020-11-30,960.7330322265625,1049.5999755859375,1103.699951171875,1040.1500244140625,1098.25,246931,2020-11-30
2020-12-07,941.6024780273438,1028.699951171875,1061.25,1005.5499877929688,1061.25,294033,2020-12-07
2020-12-14,878.35302734375,959.5999755859375,1039.0,952.7000122070312,1039.0,783679,2020-12-14
2020-12-21,852.95263671875,931.8499755859375,966.0,875.1500244140625,960.0,622150,2020-12-21
2020-12-28,858.5361328125,937.9500122070312,948.8499755859375,906.0,939.4500122070312,629202,2020-12-28
2021-01-04,887.5521240234375,969.6500244140625,1005.9000244140625,930.0,948.7999877929688,982677,2021-01-04
2021-01-11,867.5064086914062,947.75,998.7999877929688,942.3499755859375,977.2999877929688,644416,2021-01-11
2021-01-18,840.2752685546875,918.0,975.0,915.0,947.0999755859375,231856,2021-01-18
2021-01-25,827.0029907226562,903.5,938.5499877929688,888.1500244140625,921.0,231134,2021-01-25
2021-02-01,848.0555419921875,926.5,935.0,871.0,900.0,906646,2021-02-01
2021-02-08,823.844970703125,900.0499877929688,944.9500122070312,895.0,936.0,316890,2021-02-08
2021-02-15,851.7168579101562,930.5,960.0,895.0,904.9000244140625,1202520,2021-02-15
2021-02-22,831.21337890625,908.0999755859375,953.7999877929688,890.2000122070312,940.2000122070312,667151,2021-02-22
2021-03-01,828.3301391601562,904.9500122070312,929.0,900.0,910.0,874469,2021-03-01
2021-03-08,817.8495483398438,893.5,911.6500244140625,890.0499877929688,909.7000122070312,161433,2021-03-08
2021-03-15,777.9868774414062,849.9500122070312,897.9500122070312,831.0,895.0,412496,2021-03-15
2021-03-22,793.27294921875,866.6500244140625,907.0,832.2999877929688,900.0,1175284,2021-03-22
2021-03-29,865.3554077148438,945.4000244140625,950.0,866.4000244140625,866.6500244140625,1738191,2021-03-29
2021-04-05,954.64599609375,1042.949951171875,1070.0,946.0,946.0,5378980,2021-04-05
2021-04-12,924.9892578125,1010.5499877929688,1100.0,1002.9500122070312,1047.199951171875,3041835,2021-04-12
2021-04-19,931.4881591796875,1017.6500244140625,1070.0,1002.0,1010.5,1986510,2021-04-19
2021-04-26,938.3073120117188,1025.0999755859375,1083.800048828125,985.5999755859375,1028.5999755859375,2097787,2021-04-26
2021-05-03,969.7489624023438,1059.449951171875,1115.0,1020.0,1023.0,1959816,2021-05-03
2021-05-10,951.5338745117188,1039.550048828125,1093.050048828125,1025.550048828125,1091.300048828125,931316,2021-05-10
2021-05-17,945.67578125,1033.1500244140625,1052.5,1022.1500244140625,1044.0,705875,2021-05-17
2021-05-24,951.0762329101562,1039.050048828125,1068.0,993.25,1030.199951171875,1355100,2021-05-24
2021-05-31,961.8314208984375,1050.800048828125,1074.0,1030.0,1046.0,1168437,2021-05-31
2021-06-07,1124.8521728515625,1228.9000244140625,1244.949951171875,1050.75,1055.0,5246712,2021-06-07
2021-06-14,1178.76513671875,1287.800048828125,1368.5,1165.3499755859375,1238.0,8533990,2021-06-14
2021-06-21,1340.9927978515625,1448.0999755859375,1465.0,1269.5,1270.0,4436108,2021-06-21
2021-06-28,1220.5618896484375,1318.050048828125,1439.8499755859375,1280.0,1439.8499755859375,13441365,2021-06-28
2021-07-05,1231.67431640625,1330.050048828125,1349.0,1312.0,1326.0,2509221,2021-07-05
2021-07-12,1222.6453857421875,1320.300048828125,1369.699951171875,1318.0,1346.6500244140625,1712476,2021-07-12
2021-07-19,1214.86669921875,1311.9000244140625,1330.0,1308.0,1319.0,601009,2021-07-19
2021-07-26,1211.671875,1308.449951171875,1321.75,1300.0,1311.9000244140625,925989,2021-07-26
2021-08-02,1251.2598876953125,1351.199951171875,1364.9000244140625,1308.449951171875,1308.449951171875,1485913,2021-08-02
2021-08-09,1238.1566162109375,1337.050048828125,1374.9000244140625,1303.199951171875,1355.0,1023590,2021-08-09
2021-08-16,1192.966064453125,1288.25,1348.0,1286.199951171875,1338.0,1215350,2021-08-16
2021-08-23,1156.6190185546875,1249.0,1300.0,1221.300048828125,1291.050048828125,760833,2021-08-23
2021-08-30,1165.6942138671875,1258.800048828125,1319.0,1217.550048828125,1250.0,800494,2021-08-30
2021-09-06,1179.3995361328125,1273.5999755859375,1283.6500244140625,1228.1500244140625,1254.5999755859375,331917,2021-09-06
2021-09-13,1174.908203125,1268.75,1304.0,1255.0,1275.0,487903,2021-09-13
2021-09-20,1175.9732666015625,1269.9000244140625,1289.6500244140625,1237.8499755859375,1256.0,467811,2021-09-20
2021-09-27,1070.173583984375,1155.6500244140625,1310.9000244140625,1153.0,1288.9000244140625,689719,2021-09-27
2021-10-04,1079.294921875,1165.5,1199.75,1151.25,1174.0,270709,2021-10-04
2021-10-11,1056.5606689453125,1140.949951171875,1189.9000244140625,1120.0,1165.5,584361,2021-10-11
