Date,Adj Close_SANDHAR.NS,Close_SANDHAR.NS,High_SANDHAR.NS,Low_SANDHAR.NS,Open_SANDHAR.NS,Volume_SANDHAR.NS,Date
2020-07-13,207.02252197265625,214.0,231.60000610351562,193.1999969482422,210.39999389648438,110923,2020-07-13
2020-07-20,198.02578735351562,204.6999969482422,236.0,203.0,219.0,191537,2020-07-20
2020-07-27,199.7187042236328,206.4499969482422,224.64999389648438,196.0,204.9499969482422,126957,2020-07-27
2020-08-03,201.8469696044922,208.64999389648438,216.0,202.25,206.4499969482422,50609,2020-08-03
2020-08-10,208.23178100585938,215.25,223.6999969482422,201.5,208.64999389648438,95312,2020-08-10
2020-08-17,231.49761962890625,239.3000030517578,247.89999389648438,212.14999389648438,215.25,224349,2020-08-17
2020-08-24,222.69432067871094,230.1999969482422,244.0,224.39999389648438,239.5,153090,2020-08-24
2020-08-31,222.74269104003906,230.25,244.5,221.0,230.5500030517578,93269,2020-08-31
2020-09-07,240.88134765625,249.0,264.0,228.14999389648438,230.0500030517578,698909,2020-09-07
2020-09-14,234.44818115234375,242.35000610351562,259.6499938964844,241.10000610351562,249.0,114046,2020-09-14
2020-09-21,229.07057189941406,236.10000610351562,252.5,215.89999389648438,244.85000610351562,274276,2020-09-21
2020-09-28,240.76181030273438,248.14999389648438,255.0,236.5500030517578,236.8000030517578,548377,2020-09-28
2020-10-05,245.80702209472656,253.35000610351562,264.3999938964844,241.0,250.0,149422,2020-10-05
2020-10-12,238.5788116455078,245.89999389648438,257.0,237.1999969482422,257.0,36093,2020-10-12
2020-10-19,235.7166290283203,242.9499969482422,253.9499969482422,237.4499969482422,240.3000030517578,17329,2020-10-19
2020-10-26,216.36061096191406,223.0,247.5,221.25,247.5,747903,2020-10-26
2020-11-02,216.84571838378906,223.5,239.75,215.0,222.89999389648438,42273,2020-11-02
2020-11-09,224.0738983154297,230.9499969482422,235.60000610351562,216.25,224.60000610351562,54943,2020-11-09
2020-11-16,227.9063262939453,234.89999389648438,239.8000030517578,219.0500030517578,234.0,53877,2020-11-16
2020-11-23,260.6514587402344,268.6499938964844,279.95001220703125,230.0,234.9499969482422,153503,2020-11-23
2020-11-30,239.54904174804688,246.89999389648438,276.25,244.75,268.6499938964844,52875,2020-11-30
2020-12-07,231.78721618652344,238.89999389648438,254.9499969482422,234.0,248.10000610351562,167054,2020-12-07
2020-12-14,231.35061645507812,238.4499969482422,255.5500030517578,234.0500030517578,239.89999389648438,109719,2020-12-14
2020-12-21,229.4586639404297,236.5,242.9499969482422,224.0,238.5,60118,2020-12-21
2020-12-28,221.98793029785156,228.8000030517578,241.60000610351562,227.25,236.5,181486,2020-12-28
2021-01-04,232.36935424804688,239.5,246.89999389648438,226.0,232.0,238864,2021-01-04
2021-01-11,238.82135009765625,246.14999389648438,276.0,229.0500030517578,246.0,1297071,2021-01-11
2021-01-18,234.8434295654297,242.0500030517578,254.89999389648438,236.0,244.25,193147,2021-01-18
2021-01-25,224.60755920410156,231.5,248.0,230.89999389648438,248.0,69926,2021-01-25
2021-02-01,234.794921875,242.0,251.64999389648438,230.3000030517578,234.89999389648438,169206,2021-02-01
2021-02-08,250.51258850097656,258.20001220703125,260.0,237.0,243.9499969482422,249460,2021-02-08
2021-02-15,244.3031463623047,251.8000030517578,268.0,241.3000030517578,265.0,464093,2021-02-15
2021-02-22,232.41787719726562,239.5500030517578,255.6999969482422,237.0,254.85000610351562,243461,2021-02-22
2021-03-01,219.38409423828125,224.9499969482422,243.9499969482422,221.25,243.9499969482422,495448,2021-03-01
2021-03-08,213.1424560546875,218.5500030517578,229.0,216.5500030517578,228.0,213605,2021-03-08
2021-03-15,207.77854919433594,213.0500030517578,224.0,201.3000030517578,224.0,367869,2021-03-15
2021-03-22,204.2676239013672,209.4499969482422,226.85000610351562,204.1999969482422,216.14999389648438,1063609,2021-03-22
2021-03-29,205.48667907714844,210.6999969482422,212.0,204.10000610351562,209.4499969482422,56995,2021-03-29
2021-04-05,208.2174072265625,213.5,214.9499969482422,204.0500030517578,209.85000610351562,74739,2021-04-05
2021-04-12,199.68389892578125,204.75,214.0,198.0,214.0,129862,2021-04-12
2021-04-19,172.4742431640625,176.85000610351562,205.0,174.5,201.0,322134,2021-04-19
2021-04-26,184.95750427246094,189.64999389648438,214.6999969482422,178.0,185.0,264966,2021-04-26
2021-05-03,186.90805053710938,191.64999389648438,193.1999969482422,185.0,189.0,106447,2021-05-03
2021-05-10,196.8556671142578,201.85000610351562,208.60000610351562,190.0,190.0,208575,2021-05-10
