Date,Adj Close_MANGCHEFER.NS,Close_MANGCHEFER.NS,High_MANGCHEFER.NS,Low_MANGCHEFER.NS,Open_MANGCHEFER.NS,Volume_MANGCHEFER.NS,Date
2020-07-13,32.88772201538086,35.04999923706055,37.0,34.599998474121094,36.150001525878906,1389861,2020-07-13
2020-07-20,32.9815559387207,35.150001525878906,39.0,34.54999923706055,35.20000076293945,7285237,2020-07-20
2020-07-27,33.07538986206055,35.25,35.79999923706055,33.54999923706055,35.20000076293945,2699359,2020-07-27
2020-08-03,32.934635162353516,35.099998474121094,36.45000076293945,34.54999923706055,35.20000076293945,3050692,2020-08-03
2020-08-10,31.33951759338379,33.400001525878906,35.5,33.04999923706055,35.349998474121094,1410837,2020-08-10
2020-08-17,32.74698257446289,34.900001525878906,35.45000076293945,33.25,34.0,2163835,2020-08-17
2020-08-24,32.41857147216797,34.54999923706055,35.900001525878906,34.29999923706055,35.45000076293945,1447795,2020-08-24
2020-08-31,31.90250015258789,34.0,36.900001525878906,31.299999237060547,34.79999923706055,1096827,2020-08-31
2020-09-07,31.289051055908203,32.849998474121094,34.29999923706055,31.5,34.20000076293945,882263,2020-09-07
2020-09-14,30.717565536499023,32.25,33.20000076293945,32.099998474121094,33.099998474121094,937908,2020-09-14
2020-09-21,28.28873634338379,29.700000762939453,32.650001525878906,27.600000381469727,32.20000076293945,570374,2020-09-21
2020-09-28,28.90785026550293,30.350000381469727,31.299999237060547,29.100000381469727,30.299999237060547,463370,2020-09-28
2020-10-05,28.574478149414062,30.0,31.700000762939453,29.649999618530273,30.649999618530273,659800,2020-10-05
2020-10-12,26.62189292907715,27.950000762939453,30.600000381469727,27.25,30.149999618530273,491474,2020-10-12
2020-10-19,28.050615310668945,29.450000762939453,29.799999237060547,27.899999618530273,28.450000762939453,491325,2020-10-19
2020-10-26,27.860118865966797,29.25,29.799999237060547,28.049999237060547,29.649999618530273,207052,2020-10-26
2020-11-02,29.717458724975586,31.200000762939453,32.599998474121094,28.799999237060547,29.799999237060547,1896661,2020-11-02
2020-11-09,32.6701545715332,34.29999923706055,36.400001525878906,30.049999237060547,31.850000381469727,3333852,2020-11-09
2020-11-16,32.95589828491211,34.599998474121094,35.45000076293945,31.799999237060547,32.650001525878906,3269472,2020-11-16
2020-11-23,34.90848922729492,36.650001525878906,37.599998474121094,34.5,34.900001525878906,4624112,2020-11-23
2020-11-30,38.43267059326172,40.349998474121094,46.400001525878906,36.5,36.650001525878906,16085156,2020-11-30
2020-12-07,39.14703369140625,41.099998474121094,43.20000076293945,39.95000076293945,40.75,4989906,2020-12-07
2020-12-14,41.57586669921875,43.650001525878906,46.900001525878906,41.599998474121094,41.70000076293945,10710970,2020-12-14
2020-12-21,39.00416564941406,40.95000076293945,44.29999923706055,37.599998474121094,43.5,3927837,2020-12-21
2020-12-28,45.62392044067383,47.900001525878906,48.400001525878906,41.0,41.599998474121094,9016865,2020-12-28
2021-01-04,57.52995300292969,60.400001525878906,61.349998474121094,50.25,50.29999923706055,20586480,2021-01-04
2021-01-11,56.81559371948242,59.650001525878906,66.0,55.0,60.599998474121094,13529798,2021-01-11
2021-01-18,54.196266174316406,56.900001525878906,60.900001525878906,55.0,58.95000076293945,3951507,2021-01-18
2021-01-25,54.196266174316406,56.900001525878906,58.099998474121094,51.29999923706055,56.79999923706055,2550322,2021-01-25
2021-02-01,56.3869743347168,59.20000076293945,61.04999923706055,54.04999923706055,57.349998474121094,5649351,2021-02-01
2021-02-08,73.19828796386719,76.8499984741211,78.5,55.70000076293945,60.04999923706055,13938708,2021-02-08
2021-02-15,70.10272216796875,73.5999984741211,81.0,72.0999984741211,77.5999984741211,7022859,2021-02-15
2021-02-22,78.38932037353516,82.30000305175781,87.19999694824219,66.25,73.5,12772676,2021-02-22
2021-03-01,80.96102905273438,85.0,92.4000015258789,81.5,83.0,13533077,2021-03-01
2021-03-08,75.29376220703125,79.05000305175781,86.44999694824219,78.05000305175781,85.69999694824219,2319383,2021-03-08
2021-03-15,73.055419921875,76.69999694824219,83.19999694824219,74.9000015258789,79.3499984741211,2608165,2021-03-15
2021-03-22,69.10262298583984,72.55000305175781,80.0,64.4000015258789,76.0,1896445,2021-03-22
2021-03-29,70.72183990478516,74.25,75.5,71.44999694824219,72.55000305175781,829764,2021-03-29
2021-04-05,75.9128646850586,79.69999694824219,81.80000305175781,70.0,74.0,2761440,2021-04-05
2021-04-12,68.76924896240234,72.19999694824219,78.5,70.0,78.5,1442385,2021-04-12
2021-04-19,66.95953369140625,70.30000305175781,72.0999984741211,67.75,70.05000305175781,1031064,2021-04-19
2021-04-26,74.81752014160156,78.55000305175781,81.9000015258789,70.19999694824219,70.19999694824219,2515581,2021-04-26
2021-05-03,84.24708557128906,88.44999694824219,91.69999694824219,77.0,78.0,9964203,2021-05-03
2021-05-10,91.34308624267578,95.9000015258789,101.0,88.0,91.80000305175781,10999548,2021-05-10
2021-05-17,85.6758041381836,89.94999694824219,98.4000015258789,86.4000015258789,93.0,7106927,2021-05-17
2021-05-24,81.43726348876953,85.5,91.5,85.0,89.5,2869738,2021-05-24
2021-05-31,81.1515121459961,85.19999694824219,87.80000305175781,80.30000305175781,86.4000015258789,2181106,2021-05-31
2021-06-07,82.58023834228516,86.69999694824219,89.80000305175781,83.19999694824219,85.8499984741211,2974314,2021-06-07
2021-06-14,80.38954162597656,84.4000015258789,89.80000305175781,82.0999984741211,87.30000305175781,2930050,2021-06-14
2021-06-21,80.62765502929688,84.6500015258789,88.0,81.5999984741211,83.0,1545269,2021-06-21
2021-06-28,81.77063751220703,85.8499984741211,86.69999694824219,82.5999984741211,85.6500015258789,1118635,2021-06-28
2021-07-05,78.62744140625,82.55000305175781,88.0,82.3499984741211,86.80000305175781,1261140,2021-07-05
2021-07-12,83.29460144042969,87.44999694824219,93.0,81.69999694824219,82.9000015258789,5266669,2021-07-12
2021-07-19,79.81805419921875,83.80000305175781,89.94999694824219,82.0,86.0,1785658,2021-07-19
2021-07-26,75.4366226196289,79.19999694824219,88.5999984741211,78.30000305175781,82.55000305175781,7855147,2021-07-26
2021-08-02,72.0076904296875,75.5999984741211,85.0,74.69999694824219,79.94999694824219,5503225,2021-08-02
2021-08-09,69.9122314453125,73.4000015258789,77.4000015258789,68.19999694824219,75.80000305175781,1627429,2021-08-09
2021-08-16,63.38772964477539,66.55000305175781,73.69999694824219,65.30000305175781,73.0,1210238,2021-08-16
2021-08-23,69.62648010253906,73.0999984741211,74.5999984741211,62.75,67.5,1963447,2021-08-23
2021-08-30,72.91255187988281,76.55000305175781,79.5999984741211,73.0,74.5,2797624,2021-08-30
2021-09-06,71.24569702148438,74.80000305175781,77.30000305175781,72.9000015258789,77.30000305175781,674850,2021-09-06
2021-09-13,71.33583068847656,73.9000015258789,77.1500015258789,72.9000015258789,75.0,1295974,2021-09-13
2021-09-20,77.22416687011719,80.0,81.5,71.44999694824219,73.80000305175781,4618387,2021-09-20
2021-09-27,72.15632629394531,74.75,82.4000015258789,74.30000305175781,80.5,2919703,2021-09-27
2021-10-04,75.10050201416016,77.80000305175781,78.94999694824219,73.80000305175781,74.80000305175781,2087082,2021-10-04
2021-10-11,71.5771484375,74.1500015258789,78.25,73.5999984741211,78.0,1435054,2021-10-11
2021-10-18,68.97083282470703,71.44999694824219,75.8499984741211,70.5,74.1500015258789,1395325,2021-10-18
2021-10-25,67.76420593261719,70.19999694824219,73.9000015258789,69.9000015258789,72.30000305175781,753677,2021-10-25
2021-11-01,68.58470916748047,71.05000305175781,72.0,69.8499984741211,70.8499984741211,403344,2021-11-01
2021-11-08,66.75064086914062,69.1500015258789,74.0,68.0,71.05000305175781,860577,2021-11-08
2021-11-15,65.06135559082031,67.4000015258789,69.55000305175781,65.19999694824219,69.0,994827,2021-11-15
2021-11-22,63.99953079223633,66.30000305175781,70.25,64.0999984741211,68.0,1235327,2021-11-22
2021-11-29,65.737060546875,68.0999984741211,68.9000015258789,63.04999923706055,65.0999984741211,786185,2021-11-29
2021-12-06,67.23329162597656,69.6500015258789,73.94999694824219,66.44999694824219,68.0999984741211,904490,2021-12-06
2021-12-13,65.2544174194336,67.5999984741211,72.4000015258789,67.4000015258789,70.5999984741211,866872,2021-12-13
2021-12-20,63.85472869873047,66.1500015258789,68.5,61.5,67.5999984741211,730929,2021-12-20
2021-12-27,68.97083282470703,71.44999694824219,76.4000015258789,64.6500015258789,66.0,2983814,2021-12-27
2022-01-03,71.43235778808594,74.0,76.25,70.3499984741211,71.5999984741211,2349712,2022-01-03
2022-01-10,75.8244857788086,78.55000305175781,79.69999694824219,73.55000305175781,74.0,3599329,2022-01-10
