Date,Adj Close_TPLPLASTEH.NS,Close_TPLPLASTEH.NS,High_TPLPLASTEH.NS,Low_TPLPLASTEH.NS,Open_TPLPLASTEH.NS,Volume_TPLPLASTEH.NS,Date
2020-07-13,10.55296802520752,11.369999885559082,11.53499984741211,10.699999809265137,10.699999809265137,149690,2020-07-13
2020-07-20,10.464794158935547,11.274999618530273,12.039999961853027,10.949999809265137,11.399999618530273,214150,2020-07-20
2020-07-27,10.836051940917969,11.675000190734863,13.680000305175781,10.0,11.329999923706055,3566950,2020-07-27
2020-08-03,10.659703254699707,11.484999656677246,12.100000381469727,10.795000076293945,11.579999923706055,482400,2020-08-03
2020-08-10,11.08200740814209,11.9399995803833,12.239999771118164,11.395000457763672,11.470000267028809,517740,2020-08-10
2020-08-17,11.592486381530762,12.489999771118164,13.199999809265137,11.600000381469727,11.854999542236328,599300,2020-08-17
2020-08-24,12.181856155395508,13.125,14.789999961853027,12.609999656677246,13.279999732971191,1630330,2020-08-24
2020-08-31,11.01703929901123,11.869999885559082,13.380000114440918,11.510000228881836,13.125,310730,2020-08-31
2020-09-07,10.678267478942871,11.505000114440918,12.180000305175781,11.024999618530273,12.0600004196167,370770,2020-09-07
2020-09-14,11.10521125793457,11.96500015258789,12.520000457763672,11.5,11.5,199520,2020-09-14
2020-09-21,9.842939376831055,10.604999542236328,11.949999809265137,10.300000190734863,11.489999771118164,125120,2020-09-21
2020-09-28,10.923551559448242,11.425000190734863,12.074999809265137,10.5,10.895000457763672,242570,2020-09-28
2020-10-05,10.985697746276855,11.489999771118164,11.899999618530273,11.244999885559082,11.515000343322754,63350,2020-10-05
2020-10-12,10.077394485473633,10.539999961853027,11.505000114440918,10.3100004196167,11.5,123660,2020-10-12
2020-10-19,9.986563682556152,10.444999694824219,11.015000343322754,10.25,10.404999732971191,128870,2020-10-19
2020-10-26,10.134760856628418,10.600000381469727,11.055000305175781,10.414999961853027,10.46500015258789,68880,2020-10-26
2020-11-02,10.02958869934082,10.489999771118164,10.885000228881836,10.125,10.729999542236328,87070,2020-11-02
2020-11-09,11.334677696228027,11.854999542236328,12.100000381469727,10.015000343322754,10.8100004196167,305890,2020-11-09
2020-11-16,11.645413398742676,12.180000305175781,12.5,10.904999732971191,10.904999732971191,358900,2020-11-16
2020-11-23,13.658024787902832,14.28499984741211,15.239999771118164,11.944999694824219,12.1850004196167,4039900,2020-11-23
2020-11-30,14.413352012634277,15.074999809265137,15.920000076293945,14.03499984741211,14.28499984741211,3056040,2020-11-30
2020-12-07,15.288191795349121,15.989999771118164,16.649999618530273,14.050000190734863,15.59000015258789,767530,2020-12-07
2020-12-14,16.354251861572266,17.104999542236328,17.940000534057617,15.654999732971191,16.299999237060547,3552470,2020-12-14
2020-12-21,14.967894554138184,15.654999732971191,17.110000610351562,14.0,17.110000610351562,271160,2020-12-21
2020-12-28,15.790148735046387,16.514999389648438,16.885000228881836,14.729999542236328,15.899999618530273,373720,2020-12-28
2021-01-04,16.89923667907715,17.674999237060547,18.174999237060547,16.899999618530273,16.899999618530273,1046120,2021-01-04
2021-01-11,16.464204788208008,17.219999313354492,18.239999771118164,17.010000228881836,17.045000076293945,465860,2021-01-11
2021-01-18,15.096968650817871,15.789999961853027,17.3700008392334,15.350000381469727,17.1200008392334,325780,2021-01-18
2021-01-25,13.935295104980469,14.574999809265137,16.65999984741211,14.399999618530273,16.65999984741211,232300,2021-01-25
2021-02-01,14.862722396850586,15.545000076293945,15.979999542236328,14.305000305175781,14.994999885559082,253720,2021-02-01
2021-02-08,14.442033767700195,15.104999542236328,16.395000457763672,14.899999618530273,16.09000015258789,313080,2021-02-08
2021-02-15,14.064371109008789,14.710000038146973,15.420000076293945,14.074999809265137,14.649999618530273,354140,2021-02-15
2021-02-22,14.795794486999512,15.475000381469727,16.799999237060547,13.71500015258789,14.71500015258789,376170,2021-02-22
2021-03-01,15.732783317565918,16.454999923706055,17.299999237060547,15.425000190734863,16.399999618530273,687100,2021-03-01
2021-03-08,15.015700340270996,15.704999923706055,16.989999771118164,15.354999542236328,16.389999389648438,317310,2021-03-08
2021-03-15,14.222128868103027,14.875,16.649999618530273,14.015000343322754,16.5,384870,2021-03-15
2021-03-22,13.667585372924805,14.295000076293945,15.9350004196167,14.119999885559082,14.880000114440918,368770,2021-03-22
2021-03-29,14.781452178955078,15.460000038146973,16.149999618530273,14.100000381469727,14.295000076293945,427490,2021-03-29
2021-04-05,17.209972381591797,18.0,18.299999237060547,15.15999984741211,15.770000457763672,1050700,2021-04-05
2021-04-12,17.836223602294922,18.655000686645508,18.96500015258789,16.19499969482422,17.799999237060547,842160,2021-04-12
2021-04-19,21.158702850341797,22.1299991607666,22.1299991607666,17.850000381469727,18.600000381469727,3205200,2021-04-19
2021-04-26,21.110898971557617,22.079999923706055,24.799999237060547,20.704999923706055,23.399999618530273,5899870,2021-04-26
2021-05-03,21.4503173828125,22.434999465942383,23.399999618530273,21.34000015258789,21.5,992830,2021-05-03
2021-05-10,21.0391902923584,22.0049991607666,23.395000457763672,21.979999542236328,22.899999618530273,470730,2021-05-10
2021-05-17,22.568965911865234,23.604999542236328,24.299999237060547,22.040000915527344,22.735000610351562,1152010,2021-05-17
2021-05-24,24.576793670654297,25.704999923706055,29.674999237060547,22.795000076293945,24.19499969482422,4803060,2021-05-24
2021-05-31,23.075702667236328,24.135000228881836,26.915000915527344,23.950000762939453,25.559999465942383,1179690,2021-05-31
2021-06-07,23.448583602905273,24.524999618530273,25.405000686645508,23.5,25.329999923706055,3094550,2021-06-07
2021-06-14,22.607210159301758,23.645000457763672,25.184999465942383,23.165000915527344,24.524999618530273,777810,2021-06-14
2021-06-21,23.056583404541016,24.114999771118164,24.979999542236328,23.174999237060547,23.299999237060547,360110,2021-06-21
2021-06-28,23.166532516479492,24.229999542236328,25.68000030517578,23.559999465942383,24.895000457763672,895230,2021-06-28
2021-07-05,22.82233428955078,23.8700008392334,24.700000762939453,23.235000610351562,24.399999618530273,366030,2021-07-05
2021-07-12,24.892311096191406,26.03499984741211,27.899999618530273,23.299999237060547,23.56999969482422,3292360,2021-07-12
2021-07-19,25.6046142578125,26.780000686645508,28.5,25.31999969482422,25.690000534057617,2024790,2021-07-19
2021-07-26,32.87104797363281,34.380001068115234,36.040000915527344,26.604999542236328,26.7549991607666,9698990,2021-07-26
2021-08-02,32.861480712890625,34.369998931884766,37.994998931884766,32.584999084472656,34.9900016784668,6233640,2021-08-02
2021-08-09,32.42167282104492,33.90999984741211,36.39500045776367,30.405000686645508,34.400001525878906,2372770,2021-08-09
2021-08-16,29.046606063842773,30.3799991607666,34.01499938964844,30.0,33.755001068115234,395680,2021-08-16
2021-08-23,28.807579040527344,30.1299991607666,31.040000915527344,28.700000762939453,30.385000228881836,1013470,2021-08-23
2021-08-30,31.16916847229004,32.599998474121094,33.0,30.25,30.5,1114140,2021-08-30
2021-09-06,33.91347122192383,35.08000183105469,36.29999923706055,32.599998474121094,33.09000015258789,1298860,2021-09-06
2021-09-13,42.3531608581543,43.810001373291016,45.7400016784668,33.665000915527344,35.70000076293945,4779525,2021-09-13
2021-09-20,37.857791900634766,39.15999984741211,43.5,38.459999084472656,43.5,1406870,2021-09-20
2021-09-27,36.920047760009766,38.189998626708984,41.380001068115234,37.060001373291016,40.939998626708984,488360,2021-09-27
2021-10-04,34.00047302246094,35.16999816894531,38.72999954223633,35.0,37.900001525878906,961895,2021-10-04
2021-10-11,33.43009567260742,34.58000183105469,35.970001220703125,34.16999816894531,35.75,432285,2021-10-11
2021-10-18,33.381752014160156,34.529998779296875,36.77000045776367,33.060001373291016,35.02000045776367,1504870,2021-10-18
2021-10-25,33.72978210449219,34.88999938964844,37.54999923706055,32.9900016784668,34.540000915527344,1774505,2021-10-25
2021-11-01,37.741783142089844,39.040000915527344,40.7599983215332,34.439998626708984,35.0,2676005,2021-11-01
2021-11-08,36.620357513427734,37.880001068115234,40.65999984741211,37.599998474121094,39.20000076293945,1082420,2021-11-08
2021-11-15,36.43667221069336,37.689998626708984,41.59000015258789,37.06999969482422,38.0,1557785,2021-11-15
2021-11-22,35.66327667236328,36.88999938964844,39.380001068115234,33.79999923706055,37.709999084472656,1845195,2021-11-22
2021-11-29,33.14006805419922,34.279998779296875,36.79999923706055,32.970001220703125,36.5,453880,2021-11-29
2021-12-06,32.763038635253906,33.88999938964844,35.349998474121094,31.309999465942383,35.06999969482422,254685,2021-12-06
2021-12-13,31.177574157714844,32.25,34.97999954223633,32.06999969482422,34.97999954223633,213555,2021-12-13
2021-12-20,31.419260025024414,32.5,34.29999923706055,29.600000381469727,33.20000076293945,246590,2021-12-20
2021-12-27,32.10565185546875,33.209999084472656,34.68000030517578,31.899999618530273,33.959999084472656,507100,2021-12-27
2022-01-03,30.520185470581055,31.56999969482422,34.400001525878906,31.200000762939453,33.369998931884766,302565,2022-01-03
2022-01-10,32.79203796386719,33.91999816894531,34.79999923706055,31.799999237060547,32.380001068115234,631925,2022-01-10
2022-01-17,32.04764938354492,33.150001525878906,35.0,32.599998474121094,34.0,356660,2022-01-17
2022-01-24,29.766124725341797,30.790000915527344,33.150001525878906,30.0,32.29999923706055,175720,2022-01-24
2022-01-31,30.278499603271484,31.31999969482422,32.86000061035156,30.850000381469727,31.700000762939453,293405,2022-01-31
2022-02-07,28.43201446533203,29.40999984741211,31.3799991607666,28.549999237060547,30.06999969482422,957035,2022-02-07
2022-02-14,25.377094268798828,26.25,28.989999771118164,26.040000915527344,27.6299991607666,485980,2022-02-14
2022-02-21,22.718542098999023,23.5,26.6200008392334,21.799999237060547,26.110000610351562,381695,2022-02-21
2022-02-28,23.366262435913086,24.170000076293945,27.899999618530273,22.0,23.56999969482422,595160,2022-02-28
2022-03-07,24.323341369628906,25.15999984741211,25.700000762939453,22.549999237060547,23.799999237060547,215025,2022-03-07
2022-03-14,24.342674255371094,25.18000030517578,25.450000762939453,24.0,25.450000762939453,205625,2022-03-14
