Date,Adj Close_3MINDIA.NS,Close_3MINDIA.NS,High_3MINDIA.NS,Low_3MINDIA.NS,Open_3MINDIA.NS,Volume_3MINDIA.NS,Date
2020-07-13,20233.720703125,21041.150390625,21100.0,20038.0,20200.0,28641,2020-07-13
2020-07-20,20667.4609375,21492.19921875,21700.0,20887.05078125,21100.0,15172,2020-07-20
2020-07-27,20269.15625,21078.0,21900.0,20750.0,21360.0,26451,2020-07-27
2020-08-03,20654.43359375,21478.650390625,21650.0,20361.05078125,21396.75,12979,2020-08-03
2020-08-10,20101.498046875,20903.650390625,22500.0,20800.0,21608.650390625,27286,2020-08-10
2020-08-17,19822.818359375,20613.849609375,21089.94921875,20455.44921875,20903.69921875,13250,2020-08-17
2020-08-24,20105.0546875,20907.349609375,21510.05078125,20615.05078125,20799.849609375,17358,2020-08-24
2020-08-31,18895.521484375,19649.55078125,21000.0,19600.0,20907.349609375,14902,2020-08-31
2020-09-07,17856.4375,18569.0,19739.650390625,18350.0,19700.0,17821,2020-09-07
2020-09-14,18028.0859375,18747.5,19500.0,18424.0,18600.0,36363,2020-09-14
2020-09-21,17506.30859375,18204.900390625,18949.900390625,18024.25,18750.0,22891,2020-09-21
2020-09-28,17531.310546875,18230.900390625,18550.0,18100.0,18400.0,11929,2020-09-28
2020-10-05,18743.44140625,19491.400390625,19549.94921875,18230.900390625,18450.0,16701,2020-10-05
2020-10-12,17978.466796875,18695.900390625,19539.0,18501.599609375,19491.400390625,15178,2020-10-12
2020-10-19,18173.052734375,18898.25,19265.0,18698.75,18800.0,13750,2020-10-19
2020-10-26,17958.705078125,18675.349609375,19100.0,18350.0,18910.599609375,12008,2020-10-26
2020-11-02,19408.595703125,20183.099609375,20500.0,18400.0,18675.30078125,29487,2020-11-02
2020-11-09,19709.39453125,20495.900390625,21200.0,19800.0,20250.0,26603,2020-11-09
2020-11-16,20948.833984375,21784.80078125,21800.0,20561.599609375,20681.400390625,23243,2020-11-16
2020-11-23,21027.783203125,21866.900390625,22894.0,20837.30078125,21785.0,103038,2020-11-23
2020-11-30,21562.494140625,22422.94921875,22800.0,21427.849609375,21866.900390625,29914,2020-11-30
2020-12-07,21753.810546875,22621.900390625,23200.0,22073.150390625,22390.0,16922,2020-12-07
2020-12-14,21136.9296875,21980.400390625,23100.0,21800.0,22634.0,27207,2020-12-14
2020-12-21,20341.470703125,21153.19921875,22499.0,20800.0,22000.150390625,18504,2020-12-21
2020-12-28,20316.853515625,21127.599609375,21786.25,20711.0,21265.0,15192,2020-12-28
2021-01-04,20901.330078125,21735.400390625,22100.0,21011.0,21288.0,33599,2021-01-04
2021-01-11,19969.9453125,20766.849609375,21935.0,20700.0,21910.0,33578,2021-01-11
2021-01-18,19688.044921875,20473.69921875,21634.19921875,20410.05078125,20874.0,29946,2021-01-18
2021-01-25,18426.19921875,19161.5,20744.0,18928.75,20688.0,46531,2021-01-25
2021-02-01,20105.439453125,20907.75,21375.0,18777.0,19388.0,70481,2021-02-01
2021-02-08,19916.14453125,20710.900390625,21744.0,20675.0,20907.75,48287,2021-02-08
2021-02-15,20874.35546875,21707.349609375,22000.0,20695.400390625,20939.0,41430,2021-02-15
2021-02-22,21956.5703125,22832.75,23223.75,20866.44921875,21707.0,37035,2021-02-22
2021-03-01,24714.9453125,25701.19921875,26532.650390625,23174.900390625,23175.0,49010,2021-03-01
2021-03-08,26286.388671875,27335.349609375,27749.849609375,25635.400390625,26149.75,21927,2021-03-08
2021-03-15,26526.5546875,27585.099609375,28640.099609375,26675.0,27811.0,41280,2021-03-15
2021-03-22,27632.232421875,28734.900390625,29207.55078125,26601.0,27585.0,45627,2021-03-22
2021-03-29,28466.970703125,29602.94921875,31000.0,28734.900390625,28734.900390625,30111,2021-03-29
2021-04-05,26564.056640625,27624.099609375,29880.0,27001.0,29880.0,21831,2021-04-05
2021-04-12,25994.91796875,27032.25,27368.0,25251.94921875,26602.0,23972,2021-04-12
2021-04-19,25365.775390625,26378.0,27970.0,26100.05078125,26351.0,25300,2021-04-19
2021-04-26,24557.9609375,25537.94921875,26900.0,25100.099609375,26378.0,23264,2021-04-26
2021-05-03,23781.927734375,24730.94921875,26441.650390625,24650.0,25500.0,10875,2021-05-03
2021-05-10,24092.677734375,25054.099609375,25500.0,24186.0,24775.0,15805,2021-05-10
2021-05-17,25091.421875,26092.69921875,26481.099609375,24869.94921875,25055.0,17267,2021-05-17
2021-05-24,24341.98046875,25313.349609375,27200.0,24948.05078125,26288.0,29707,2021-05-24
2021-05-31,25108.490234375,26110.44921875,26648.69921875,25295.349609375,25499.0,17970,2021-05-31
2021-06-07,25149.50390625,26153.099609375,26544.0,25640.25,26299.0,8982,2021-06-07
2021-06-14,24468.962890625,25445.400390625,26623.849609375,24861.0,25981.0,20179,2021-06-14
2021-06-21,24098.783203125,25060.44921875,25725.5,24999.80078125,25205.0,6576,2021-06-21
2021-06-28,23269.669921875,24198.25,25298.0,24011.0,25298.0,11681,2021-06-28
2021-07-05,23534.068359375,24473.19921875,24898.0,23905.0,24350.0,19146,2021-07-05
2021-07-12,23784.525390625,24733.650390625,24899.0,24135.30078125,24600.0,8250,2021-07-12
2021-07-19,23287.65234375,24216.94921875,24720.55078125,23932.94921875,24665.0,11105,2021-07-19
2021-07-26,23714.56640625,24660.900390625,25011.05078125,24090.05078125,24217.0,9795,2021-07-26
2021-08-02,23508.68359375,24446.80078125,24874.0,24110.0,24874.0,6278,2021-08-02
2021-08-09,23152.302734375,24076.19921875,24966.150390625,23500.0,24400.0,29241,2021-08-09
2021-08-16,21963.205078125,22839.650390625,24399.400390625,22700.0,24076.0,28329,2021-08-16
2021-08-23,21774.4375,22643.349609375,23389.94921875,22575.25,23199.650390625,38526,2021-08-23
2021-08-30,23595.470703125,24537.05078125,25368.0,22618.0,22688.150390625,53260,2021-08-30
2021-09-06,23289.0,24218.349609375,24989.94921875,24001.25,24603.0,8112,2021-09-06
2021-09-13,24267.501953125,25235.900390625,26000.0,24134.05078125,24218.349609375,50141,2021-09-13
2021-09-20,23849.435546875,24801.150390625,25570.0,24567.05078125,25347.0,29426,2021-09-20
2021-09-27,23909.1015625,24863.19921875,25349.0,24462.5,25100.0,8595,2021-09-27
2021-10-04,24669.365234375,25653.80078125,25995.0,24850.150390625,25200.0,61462,2021-10-04
2021-10-11,25014.876953125,26013.099609375,26500.0,25350.0,25670.0,47875,2021-10-11
2021-10-18,25183.015625,26187.94921875,26549.75,25283.69921875,26282.0,23441,2021-10-18
2021-10-25,24425.9765625,25400.69921875,26350.0,25290.0,26017.0,11601,2021-10-25
2021-11-01,25645.609375,26669.0,26999.0,25000.0,25522.0,12058,2021-11-01
2021-11-08,25690.61328125,26715.80078125,27800.0,26400.0,26700.0,20954,2021-11-08
