Date,Adj Close_RELIANCE.NS,Close_RELIANCE.NS,High_RELIANCE.NS,Low_RELIANCE.NS,Open_RELIANCE.NS,Volume_RELIANCE.NS,Date
2020-07-13,870.2865600585938,882.249267578125,913.2158813476562,829.7767333984375,894.3635864257812,250358262,2020-07-13
2020-07-20,977.01806640625,990.4478759765625,998.22412109375,876.6881713867188,885.0643920898438,317468889,2020-07-20
2020-07-27,941.0311279296875,953.96630859375,1014.745849609375,947.3668823242188,1005.515869140625,355898153,2020-07-27
2020-08-03,977.1546630859375,990.5863037109375,1013.45361328125,923.1150512695312,946.6746215820312,295613822,2020-08-03
2020-08-10,962.2910766601562,975.5183715820312,999.1471557617188,964.1885375976562,996.42431640625,162106877,2020-08-10
2020-08-17,947.7460327148438,960.7734375,994.0706787109375,955.350830078125,971.4571533203125,143433021,2020-08-17
2020-08-24,963.36083984375,976.6029052734375,992.2246704101562,944.690185546875,965.1807861328125,167227609,2020-08-24
2020-08-31,945.65185546875,958.6505126953125,1003.3006591796875,950.8511962890625,1003.3006591796875,174704203,2020-08-31
2020-09-07,1056.048095703125,1070.564208984375,1082.194091796875,943.4210205078125,961.7656860351562,304409643,2020-09-07
2020-09-14,1049.6519775390625,1064.0802001953125,1093.45458984375,1050.62744140625,1072.9871826171875,164097717,2020-09-14
2020-09-21,1002.3068237304688,1016.0841674804688,1078.0635986328125,1000.2086181640625,1061.4495849609375,169609596,2020-09-21
2020-09-28,1013.0277709960938,1026.9525146484375,1046.2200927734375,1018.55322265625,1027.7601318359375,90757774,2020-09-28
2020-10-05,1016.7606811523438,1030.73681640625,1065.6031494140625,1016.0610961914062,1035.6055908203125,130129146,2020-10-05
2020-10-12,990.5160522460938,1004.13134765625,1063.295654296875,1002.6776123046875,1031.4521484375,105700293,2020-10-12
2020-10-19,961.9495849609375,975.1722412109375,1028.544677734375,964.9961547851562,1010.7077026367188,137989329,2020-10-19
2020-10-26,935.2951049804688,948.1514282226562,970.049560546875,918.84619140625,970.049560546875,168404196,2020-10-26
2020-11-02,923.7546997070312,936.452392578125,941.4596557617188,846.8983764648438,935.4601440429688,372118094,2020-11-02
2020-11-09,911.531494140625,924.0610961914062,966.8421630859375,906.84716796875,951.6588134765625,220158949,2020-11-09
2020-11-16,864.7326049804688,876.6189575195312,962.2271728515625,874.5421752929688,921.3382568359375,162212443,2020-11-16
2020-11-23,878.5264282226562,890.6023559570312,919.74609375,886.7257690429688,900.3861694335938,182077162,2020-11-23
2020-11-30,886.2427978515625,898.4248046875,914.27734375,890.6023559570312,890.6023559570312,88189498,2020-11-30
2020-12-07,913.1248168945312,925.6763916015625,940.5366821289062,895.5866088867188,895.5866088867188,133830212,2020-12-07
2020-12-14,906.6376342773438,919.0999755859375,929.9221801757812,905.0473022460938,926.6685791015625,93143725,2020-12-14
2020-12-21,907.8212890625,920.2999267578125,933.1526489257812,856.1975708007812,927.6146850585938,112553939,2020-12-21
2020-12-28,904.7939453125,917.23095703125,931.3067016601562,911.7160034179688,926.0917358398438,86673432,2020-12-28
2021-01-04,880.3018798828125,892.4022216796875,922.4920043945312,879.2264404296875,920.7383422851562,154904198,2021-01-04
2021-01-11,882.009033203125,894.1328735351562,911.4390869140625,873.388427734375,894.755859375,143235339,2021-01-11
2021-01-18,933.064453125,945.8900756835938,978.379638671875,887.625732421875,899.5093383789062,167652012,2021-01-18
2021-01-25,838.5333862304688,850.0596313476562,939.1290893554688,844.544677734375,939.1290893554688,174357432,2021-01-25
2021-02-01,875.772216796875,887.810302734375,900.84765625,852.8516845703125,858.11279296875,151827709,2021-02-01
2021-02-08,929.4224853515625,942.1980590820312,958.9966430664062,889.4486083984375,892.1022338867188,135058004,2021-02-08
2021-02-15,947.0404052734375,960.05810546875,973.0262451171875,934.5371704101562,945.1747436523438,103006113,2021-02-15
2021-02-22,949.5442504882812,962.5963745117188,993.1476440429688,920.6691284179688,959.919677734375,132593014,2021-02-22
2021-03-01,991.836181640625,1005.4696655273438,1024.4835205078125,951.8433837890625,973.85693359375,113703405,2021-03-01
2021-03-08,973.1257934570312,986.5020751953125,1030.021484375,980.1795043945312,1000.7623901367188,63045635,2021-03-08
2021-03-15,947.8143310546875,960.8426513671875,991.7169799804688,915.0618896484375,987.6327514648438,112217045,2021-03-15
2021-03-22,908.0488891601562,920.5306396484375,973.626220703125,910.8622436523438,955.7661743164062,94998307,2021-03-22
2021-03-29,920.4314575195312,933.0834350585938,946.0285034179688,919.0999755859375,920.5306396484375,48415809,2021-03-29
2021-04-05,902.3128051757812,914.7157592773438,944.64404296875,905.5088500976562,934.5140991210938,82557719,2021-04-05
2021-04-12,879.573486328125,891.663818359375,905.185791015625,876.965087890625,904.0781860351562,75693335,2021-04-12
2021-04-19,866.9405517578125,878.8572387695312,885.6181640625,866.0967407226562,878.6956787109375,62002287,2021-04-19
2021-04-26,907.9805908203125,920.46142578125,943.5364379882812,882.1569213867188,886.0797119140625,95203114,2021-04-26
2021-05-03,879.4141845703125,891.5023193359375,913.3081665039062,879.8955688476562,907.3086547851562,84796839,2021-05-03
2021-05-10,881.9407958984375,894.0636596679688,898.4478759765625,879.6187133789062,894.8482055664062,53889078,2021-05-10
2021-05-17,911.6453247070312,924.176513671875,930.5913696289062,890.8792724609375,894.0636596679688,62463135,2021-05-17
2021-05-24,953.6414184570312,966.7498779296875,971.4571533203125,904.5396728515625,926.691650390625,114101291,2021-05-24
2021-05-31,997.2080688476562,1010.9154052734375,1038.3746337890625,962.250244140625,970.0726318359375,150211039,2021-05-31
2021-06-07,1007.519287109375,1021.3683471679688,1034.6826171875,995.8935546875,1016.22265625,65338900,2021-06-07
2021-06-14,1016.7420654296875,1027.1370849609375,1049.865966796875,1006.0234985351562,1022.22216796875,91419001,2021-06-14
2021-06-21,961.3743896484375,971.2033081054688,1043.451171875,960.4273071289062,1016.9149169921875,188529309,2021-06-21
2021-06-28,972.6123657226562,982.5562133789062,984.3330078125,960.3811645507812,979.3026733398438,93804990,2021-06-28
2021-07-05,946.1848754882812,955.8584594726562,993.8629760742188,953.5048217773438,985.9713134765625,52450438,2021-07-05
2021-07-12,965.0062255859375,974.8722534179688,975.956787109375,957.3814086914062,959.8042602539062,42111510,2021-07-12
2021-07-19,961.9454345703125,971.7802124023438,985.04833984375,961.7656860351562,969.149658203125,33005340,2021-07-19
2021-07-26,929.7847290039062,939.2906494140625,978.8411254882812,930.4990234375,972.8416748046875,61228385,2021-07-26
