Date,Adj Close_GPTHEALTH.NS,Close_GPTHEALTH.NS,High_GPTHEALTH.NS,Low_GPTHEALTH.NS,Open_GPTHEALTH.NS,Volume_GPTHEALTH.NS,Date
2024-08-26,186.302978515625,187.3800048828125,193.75,183.3300018310547,191.5500030517578,1534842,2024-08-26
2024-09-02,179.552001953125,180.58999633789062,189.89999389648438,179.0,189.0,971608,2024-09-02
2024-09-09,187.02877807617188,188.11000061035156,205.5,176.60000610351562,183.2899932861328,9545001,2024-09-09
2024-09-16,181.7294158935547,182.77999877929688,199.05999755859375,181.0,191.97000122070312,2638154,2024-09-16
2024-09-23,182.27626037597656,183.3300018310547,191.27999877929688,180.5,183.99000549316406,2044307,2024-09-23
2024-09-30,176.76809692382812,177.7899932861328,187.0,175.1999969482422,184.99000549316406,755966,2024-09-30
2024-10-07,179.10459899902344,180.13999938964844,185.0,167.6999969482422,181.5,813372,2024-10-07
2024-10-14,171.80677795410156,172.8000030517578,182.10000610351562,172.00999450683594,180.13999938964844,465104,2024-10-14
2024-10-21,153.67161560058594,154.55999755859375,174.0,152.41000366210938,172.30999755859375,1037444,2024-10-21
2024-10-28,172.64195251464844,173.63999938964844,174.88999938964844,151.5,154.0,924338,2024-10-28
2024-11-04,173.72567749023438,174.72999572753906,176.89999389648438,168.0,176.25,616879,2024-11-04
2024-11-11,163.04742431640625,163.99000549316406,180.0,162.80999755859375,174.6999969482422,589945,2024-11-11
2024-11-18,163.33575439453125,164.27999877929688,170.02000427246094,158.11000061035156,164.5,651582,2024-11-18
2024-11-25,177.8816680908203,178.91000366210938,183.25,164.8000030517578,167.5,719245,2024-11-25
2024-12-02,186.75,186.75,191.5399932861328,174.75999450683594,178.42999267578125,1422070,2024-12-02
2024-12-09,188.07000732421875,188.07000732421875,192.0,180.4199981689453,188.0,1093970,2024-12-09
2024-12-16,178.02000427246094,178.02000427246094,189.35000610351562,175.41000366210938,188.07000732421875,673601,2024-12-16
2024-12-23,183.8699951171875,183.8699951171875,191.0500030517578,178.02000427246094,178.02000427246094,1182857,2024-12-23
2024-12-30,184.25999450683594,184.25999450683594,187.5800018310547,179.6699981689453,185.0,716623,2024-12-30
2025-01-06,176.33999633789062,176.33999633789062,187.00999450683594,172.80999755859375,185.89999389648438,520783,2025-01-06
2025-01-13,179.80999755859375,179.80999755859375,181.0,165.1999969482422,176.66000366210938,453505,2025-01-13
2025-01-20,171.83999633789062,171.83999633789062,182.58999633789062,170.5800018310547,179.80999755859375,311339,2025-01-20
2025-01-27,167.4600067138672,167.4600067138672,169.89999389648438,153.4199981689453,169.89999389648438,429384,2025-01-27
2025-02-03,165.66000366210938,165.66000366210938,172.0500030517578,164.32000732421875,167.4600067138672,226310,2025-02-03
2025-02-10,143.9600067138672,143.9600067138672,168.74000549316406,143.63999938964844,166.5,593413,2025-02-10
2025-02-17,139.33999633789062,139.33999633789062,144.86000061035156,134.30999755859375,143.10000610351562,506731,2025-02-17
2025-02-24,130.94000244140625,130.94000244140625,145.91000366210938,129.6199951171875,139.6699981689453,563047,2025-02-24
2025-03-03,135.25999450683594,135.25999450683594,137.49000549316406,126.0999984741211,131.60000610351562,804814,2025-03-03
2025-03-10,136.3699951171875,136.3699951171875,141.5500030517578,132.0,135.0,655738,2025-03-10
2025-03-17,146.1199951171875,146.1199951171875,149.5,133.5,136.5,565971,2025-03-17
2025-03-24,146.97000122070312,146.97000122070312,150.0,134.61000061035156,149.0,1048594,2025-03-24
2025-03-31,168.41000366210938,168.41000366210938,173.0,142.0,146.97000122070312,1181382,2025-03-31
2025-04-07,167.13999938964844,167.13999938964844,176.75,142.0,142.0,825074,2025-04-07
2025-04-14,164.55999755859375,164.55999755859375,171.08999633789062,164.07000732421875,168.10000610351562,223515,2025-04-14
2025-04-21,158.6999969482422,158.6999969482422,170.77999877929688,158.0,165.61000061035156,380961,2025-04-21
2025-04-28,154.19000244140625,154.19000244140625,163.44000244140625,153.2899932861328,158.0,346043,2025-04-28
2025-05-05,147.6199951171875,147.6199951171875,159.0,145.0,156.99000549316406,459015,2025-05-05
2025-05-12,160.24000549316406,160.24000549316406,162.6999969482422,152.08999633789062,153.0,580571,2025-05-12
2025-05-19,155.80999755859375,155.80999755859375,163.88999938964844,153.02000427246094,161.02999877929688,790241,2025-05-19
2025-05-26,152.08999633789062,152.08999633789062,157.9199981689453,148.5,154.0,1202224,2025-05-26
2025-06-02,150.0399932861328,150.0399932861328,155.39999389648438,147.72000122070312,154.14999389648438,1371848,2025-06-02
2025-06-09,150.10000610351562,150.10000610351562,156.11000061035156,147.61000061035156,150.99000549316406,2212724,2025-06-09
2025-06-16,143.9600067138672,143.9600067138672,155.4499969482422,143.10000610351562,151.60000610351562,1180424,2025-06-16
2025-06-23,146.7899932861328,146.7899932861328,148.0,141.80999755859375,143.9600067138672,788319,2025-06-23
2025-06-30,154.82000732421875,154.82000732421875,159.08999633789062,139.99000549316406,147.0,3013554,2025-06-30
2025-07-07,175.8300018310547,175.8300018310547,178.8000030517578,153.02000427246094,153.02000427246094,5950042,2025-07-07
2025-07-14,176.10000610351562,176.10000610351562,179.8000030517578,170.6300048828125,175.60000610351562,1853189,2025-07-14
