Date,Adj Close_VLSFINANCE.NS,Close_VLSFINANCE.NS,High_VLSFINANCE.NS,Low_VLSFINANCE.NS,Open_VLSFINANCE.NS,Volume_VLSFINANCE.NS,Date
2020-07-13,56.80246353149414,59.75,66.4000015258789,55.04999923706055,55.95000076293945,487147,2020-07-13
2020-07-20,52.04911804199219,54.75,60.849998474121094,53.25,59.25,297935,2020-07-20
2020-07-27,48.38904571533203,50.900001525878906,55.5,50.5,55.5,149773,2020-07-27
2020-08-03,49.862579345703125,52.45000076293945,54.75,50.400001525878906,51.150001525878906,65979,2020-08-03
2020-08-10,49.33971405029297,51.900001525878906,54.5,51.650001525878906,52.349998474121094,158193,2020-08-10
2020-08-17,53.42758560180664,56.20000076293945,57.400001525878906,51.5,51.650001525878906,322498,2020-08-17
2020-08-24,57.8006591796875,60.79999923706055,63.70000076293945,56.25,56.25,474378,2020-08-24
2020-08-31,52.19171905517578,54.900001525878906,62.95000076293945,54.20000076293945,61.099998474121094,243996,2020-08-31
2020-09-07,53.665252685546875,56.45000076293945,59.29999923706055,54.349998474121094,56.650001525878906,225339,2020-09-07
2020-09-14,55.9943962097168,58.900001525878906,61.5,55.45000076293945,55.849998474121094,212125,2020-09-14
2020-09-21,53.237449645996094,56.0,61.29999923706055,54.0,60.349998474121094,195461,2020-09-21
2020-09-28,53.42758560180664,56.20000076293945,58.900001525878906,54.20000076293945,58.900001525878906,65789,2020-09-28
2020-10-05,51.763916015625,54.45000076293945,57.29999923706055,53.5,56.95000076293945,125378,2020-10-05
2020-10-12,50.1953125,52.79999923706055,56.95000076293945,51.29999923706055,54.54999923706055,122260,2020-10-12
2020-10-19,50.623111724853516,53.25,54.5,52.45000076293945,53.849998474121094,65385,2020-10-19
2020-10-26,50.38544845581055,53.0,55.849998474121094,50.79999923706055,55.54999923706055,59046,2020-10-26
2020-11-02,51.95405197143555,54.650001525878906,57.5,52.25,53.79999923706055,257606,2020-11-02
2020-11-09,56.89752197265625,59.849998474121094,60.900001525878906,53.70000076293945,57.650001525878906,312150,2020-11-09
2020-11-16,62.45893478393555,65.69999694824219,69.0,56.849998474121094,56.849998474121094,660974,2020-11-16
2020-11-23,66.59435272216797,70.05000305175781,71.30000305175781,63.79999923706055,65.69999694824219,587072,2020-11-23
2020-11-30,66.64187622070312,70.0999984741211,73.75,68.0999984741211,70.05000305175781,470125,2020-11-30
2020-12-07,63.65840148925781,65.55000305175781,71.5999984741211,64.25,71.55000305175781,232000,2020-12-07
2020-12-14,67.00883483886719,69.0,72.0,66.05000305175781,66.1500015258789,312320,2020-12-14
2020-12-21,65.89202880859375,67.8499984741211,69.94999694824219,60.04999923706055,69.8499984741211,298494,2020-12-21
2020-12-28,68.95112609863281,71.0,71.44999694824219,66.0,68.1500015258789,237498,2020-12-28
2021-01-04,80.31349182128906,82.69999694824219,92.5999984741211,72.5999984741211,72.5999984741211,2545310,2021-01-04
2021-01-11,76.52603912353516,78.80000305175781,83.30000305175781,70.19999694824219,82.55000305175781,340085,2021-01-11
2021-01-18,77.7399673461914,80.05000305175781,86.5,76.0999984741211,78.55000305175781,572669,2021-01-18
2021-01-25,75.94335174560547,78.19999694824219,82.69999694824219,74.30000305175781,80.25,270335,2021-01-25
2021-02-01,76.96305084228516,79.25,81.25,75.9000015258789,79.80000305175781,206129,2021-02-01
2021-02-08,91.23884582519531,93.94999694824219,94.94999694824219,79.19999694824219,79.3499984741211,890952,2021-02-08
2021-02-15,84.39229583740234,86.9000015258789,96.55000305175781,85.6500015258789,96.0,467062,2021-02-15
2021-02-22,87.1600570678711,89.75,100.9000015258789,72.19999694824219,88.0,435071,2021-02-22
2021-03-01,87.98551940917969,90.5999984741211,96.80000305175781,89.69999694824219,91.9000015258789,623290,2021-03-01
2021-03-08,84.92642211914062,87.44999694824219,91.69999694824219,87.0,91.0,146167,2021-03-08
