Date,Adj Close_SECMARK.NS,Close_SECMARK.NS,High_SECMARK.NS,Low_SECMARK.NS,Open_SECMARK.NS,Volume_SECMARK.NS,Date
2023-10-16,91.75,91.75,114.94999694824219,87.1500015258789,113.0,122748,2023-10-16
2023-10-23,87.80000305175781,87.80000305175781,99.55000305175781,71.3499984741211,99.55000305175781,110003,2023-10-23
2023-10-30,82.4000015258789,82.4000015258789,91.0,77.55000305175781,91.0,67699,2023-10-30
2023-11-06,88.0,88.0,97.9000015258789,80.9000015258789,88.0,46041,2023-11-06
2023-11-13,92.0,92.0,92.94999694824219,82.0999984741211,82.0999984741211,31818,2023-11-13
2023-11-20,87.55000305175781,87.55000305175781,93.30000305175781,85.19999694824219,91.0,52126,2023-11-20
2023-11-27,87.44999694824219,87.44999694824219,94.69999694824219,84.1500015258789,87.55000305175781,37490,2023-11-27
2023-12-04,83.5,83.5,95.30000305175781,81.0,95.30000305175781,30943,2023-12-04
2023-12-11,93.0999984741211,93.0999984741211,100.0,81.4000015258789,86.0,73448,2023-12-11
2023-12-18,93.55000305175781,93.55000305175781,107.5,79.25,95.0,234611,2023-12-18
2023-12-25,127.6500015258789,127.6500015258789,145.35000610351562,90.19999694824219,93.55000305175781,953525,2023-12-25
2024-01-01,111.0,111.0,135.0,107.1500015258789,132.8000030517578,101944,2024-01-01
2024-01-08,113.75,113.75,113.75,103.19999694824219,111.0,12867,2024-01-08
2024-01-15,108.0,108.0,114.0,104.5,113.75,4663,2024-01-15
2024-01-22,105.3499984741211,105.3499984741211,108.0,98.3499984741211,108.0,5979,2024-01-22
2024-01-29,102.0999984741211,102.0999984741211,109.0,99.0,100.69999694824219,5729,2024-01-29
2024-02-05,95.5,95.5,104.0,94.94999694824219,99.55000305175781,14935,2024-02-05
2024-02-12,104.0,104.0,106.0999984741211,90.0,95.0,7499,2024-02-12
2024-02-19,107.9000015258789,107.9000015258789,114.6500015258789,100.0,100.0,26126,2024-02-19
2024-02-26,99.0,99.0,105.75,98.3499984741211,105.75,8274,2024-02-26
2024-03-04,95.69999694824219,95.69999694824219,99.0,95.55000305175781,97.5,4231,2024-03-04
