Date,Adj Close_LLOYDSENGG.NS,Close_LLOYDSENGG.NS,High_LLOYDSENGG.NS,Low_LLOYDSENGG.NS,Open_LLOYDSENGG.NS,Volume_LLOYDSENGG.NS,Date
2023-10-02,44.14257049560547,44.25,44.25,42.0,42.45000076293945,3260452,2023-10-02
2023-10-09,48.13286209106445,48.25,51.599998474121094,42.20000076293945,43.79999923706055,14834290,2023-10-09
2023-10-16,48.58176803588867,48.70000076293945,50.0,44.349998474121094,48.79999923706055,8974162,2023-10-16
2023-10-23,45.33966064453125,45.45000076293945,50.650001525878906,41.79999923706055,50.599998474121094,7623044,2023-10-23
2023-10-30,46.58662414550781,46.70000076293945,46.70000076293945,43.349998474121094,45.150001525878906,4589819,2023-10-30
2023-11-06,47.085411071777344,47.20000076293945,48.400001525878906,44.75,47.25,6301889,2023-11-06
2023-11-13,50.17788314819336,50.29999923706055,51.650001525878906,46.45000076293945,47.79999923706055,15142595,2023-11-13
2023-11-20,47.28492736816406,47.400001525878906,51.349998474121094,47.04999923706055,50.849998474121094,8625506,2023-11-20
2023-11-27,46.686378479003906,46.79999923706055,48.599998474121094,45.0,47.5,16938720,2023-11-27
2023-12-04,46.73625946044922,46.849998474121094,49.099998474121094,46.0,47.70000076293945,6917413,2023-12-04
2023-12-11,46.13771438598633,46.25,50.5,45.599998474121094,49.150001525878906,10207240,2023-12-11
2023-12-18,45.68880844116211,45.79999923706055,47.150001525878906,41.650001525878906,46.400001525878906,5965866,2023-12-18
2023-12-25,41.29949188232422,41.400001525878906,46.849998474121094,39.599998474121094,46.70000076293945,9865333,2023-12-25
2024-01-01,43.04524230957031,43.150001525878906,44.400001525878906,41.54999923706055,41.54999923706055,6230299,2024-01-01
2024-01-08,44.29220962524414,44.400001525878906,45.599998474121094,42.5,43.849998474121094,7819007,2024-01-08
2024-01-15,44.84087371826172,44.95000076293945,45.75,42.5,44.45000076293945,9709561,2024-01-15
2024-01-22,49.1803092956543,49.29999923706055,50.900001525878906,43.20000076293945,46.5,21802268,2024-01-22
2024-01-29,47.085411071777344,47.20000076293945,50.70000076293945,46.20000076293945,50.45000076293945,15706804,2024-01-29
2024-02-05,51.07569885253906,51.20000076293945,57.29999923706055,47.04999923706055,49.900001525878906,41572624,2024-02-05
2024-02-12,50.67667007446289,50.79999923706055,52.400001525878906,44.400001525878906,51.70000076293945,17539612,2024-02-12
2024-02-19,57.958946228027344,58.099998474121094,62.900001525878906,52.0,52.54999923706055,71124096,2024-02-19
2024-02-26,58.65724563598633,58.79999923706055,60.79999923706055,52.099998474121094,58.75,31380972,2024-02-26
2024-03-04,53.17060089111328,53.29999923706055,59.099998474121094,53.0,59.04999923706055,13380171,2024-03-04
2024-03-11,46.78614044189453,46.900001525878906,53.5,42.150001525878906,53.5,27383327,2024-03-11
2024-03-18,47.78371047973633,47.900001525878906,49.400001525878906,43.75,47.0,17953422,2024-03-18
2024-03-25,48.9309196472168,49.04999923706055,50.79999923706055,46.5,47.900001525878906,13975867,2024-03-25
2024-04-01,56.96137237548828,57.099998474121094,59.900001525878906,48.54999923706055,49.400001525878906,38773380,2024-04-01
2024-04-08,57.510040283203125,57.650001525878906,59.349998474121094,54.400001525878906,58.20000076293945,28156820,2024-04-08
2024-04-15,54.16817092895508,54.29999923706055,57.20000076293945,53.04999923706055,55.04999923706055,23777902,2024-04-15
2024-04-22,63.545352935791016,63.70000076293945,68.0999984741211,55.099998474121094,55.20000076293945,109780465,2024-04-22
2024-04-29,64.29352569580078,64.44999694824219,73.19999694824219,63.650001525878906,64.4000015258789,94323210,2024-04-29
2024-05-06,60.851905822753906,61.0,65.5,56.5,64.94999694824219,39586291,2024-05-06
2024-05-13,62.89693069458008,63.04999923706055,64.5,58.04999923706055,61.25,25812927,2024-05-13
2024-05-20,62.597660064697266,62.75,67.80000305175781,61.79999923706055,63.0,29310550,2024-05-20
2024-05-27,64.79231262207031,64.94999694824219,65.8499984741211,58.349998474121094,63.0,28237189,2024-05-27
2024-06-03,64.44316864013672,64.5999984741211,68.80000305175781,55.0,68.80000305175781,36162384,2024-06-03
