Date,Adj Close_MANGLMCEM.NS,Close_MANGLMCEM.NS,High_MANGLMCEM.NS,Low_MANGLMCEM.NS,Open_MANGLMCEM.NS,Volume_MANGLMCEM.NS,Date
2020-07-13,203.61306762695312,207.64999389648438,209.9499969482422,194.0,194.0,798528,2020-07-13
2020-07-20,190.2774658203125,194.0500030517578,208.64999389648438,190.10000610351562,206.3000030517578,353750,2020-07-20
2020-07-27,188.26731872558594,192.0,199.89999389648438,191.0,194.0,198221,2020-07-27
2020-08-03,198.56320190429688,202.5,205.0,189.0,192.0,332429,2020-08-03
2020-08-10,193.9055633544922,197.75,209.9499969482422,192.89999389648438,202.5,905374,2020-08-10
2020-08-17,208.76101684570312,212.89999389648438,217.0,196.0,196.0,924754,2020-08-17
2020-08-24,204.446533203125,208.5,224.8000030517578,207.0,219.9499969482422,813989,2020-08-24
2020-08-31,193.21914672851562,197.0500030517578,212.5,193.0,212.5,208597,2020-08-31
2020-09-07,184.19802856445312,187.85000610351562,201.85000610351562,182.3000030517578,201.85000610351562,165216,2020-09-07
2020-09-14,183.41355895996094,187.0500030517578,197.89999389648438,186.0,189.14999389648438,187905,2020-09-14
2020-09-21,172.14356994628906,174.64999389648438,191.0,171.39999389648438,191.0,152335,2020-09-21
2020-09-28,178.8459930419922,181.4499969482422,184.89999389648438,175.39999389648438,176.0,211978,2020-09-28
2020-10-05,182.29576110839844,184.9499969482422,188.6999969482422,178.35000610351562,184.64999389648438,159490,2020-10-05
2020-10-12,190.03311157226562,192.8000030517578,193.4499969482422,177.25,183.35000610351562,214140,2020-10-12
2020-10-19,198.2632598876953,201.14999389648438,205.0,186.5,192.89999389648438,280848,2020-10-19
2020-10-26,192.30010986328125,195.10000610351562,207.89999389648438,192.10000610351562,203.0,429192,2020-10-26
2020-11-02,206.93699645996094,209.9499969482422,214.39999389648438,192.0500030517578,196.0,532924,2020-11-02
2020-11-09,206.73985290527344,209.75,214.0,200.60000610351562,212.5,424943,2020-11-09
2020-11-16,205.9020538330078,208.89999389648438,214.5,206.6999969482422,206.6999969482422,213279,2020-11-16
2020-11-23,214.28005981445312,217.39999389648438,221.35000610351562,210.14999389648438,212.8000030517578,266363,2020-11-23
2020-11-30,217.38487243652344,220.5500030517578,227.6999969482422,217.0,217.39999389648438,308055,2020-11-30
2020-12-07,219.4054412841797,222.60000610351562,235.60000610351562,216.64999389648438,225.0,451059,2020-12-07
2020-12-14,220.2925262451172,223.5,234.4499969482422,220.89999389648438,223.75,285188,2020-12-14
2020-12-21,217.48342895507812,220.64999389648438,226.5,195.85000610351562,226.5,262134,2020-12-21
2020-12-28,241.5332794189453,245.0500030517578,248.0,220.25,220.89999389648438,879571,2020-12-28
2021-01-04,256.3672790527344,260.1000061035156,269.3999938964844,244.9499969482422,250.0,635546,2021-01-04
2021-01-11,237.9849395751953,241.4499969482422,261.1499938964844,240.0,255.0,214902,2021-01-11
2021-01-18,227.78346252441406,231.10000610351562,247.4499969482422,230.14999389648438,247.4499969482422,121764,2021-01-18
