Date,Adj Close_MENONBE.NS,Close_MENONBE.NS,High_MENONBE.NS,Low_MENONBE.NS,Open_MENONBE.NS,Volume_MENONBE.NS,Date
2020-07-13,34.74107360839844,38.79999923706055,40.900001525878906,36.5,39.150001525878906,105738,2020-07-13
2020-07-20,34.2038459777832,38.20000076293945,40.45000076293945,37.25,38.79999923706055,102031,2020-07-20
2020-07-27,34.33815383911133,38.349998474121094,41.54999923706055,36.79999923706055,37.70000076293945,156058,2020-07-27
2020-08-03,35.00969314575195,39.099998474121094,45.0,37.0,38.349998474121094,350375,2020-08-03
2020-08-10,37.830169677734375,42.25,44.29999923706055,39.29999923706055,39.29999923706055,349541,2020-08-10
2020-08-17,43.336814880371094,48.400001525878906,51.849998474121094,40.29999923706055,42.900001525878906,1567998,2020-08-17
2020-08-24,40.56110382080078,45.29999923706055,49.70000076293945,44.70000076293945,49.70000076293945,424508,2020-08-24
2020-08-31,37.20339584350586,41.54999923706055,46.0,40.45000076293945,45.150001525878906,246023,2020-08-31
2020-09-07,36.48708724975586,40.75,43.25,40.0,42.75,105911,2020-09-07
2020-09-14,37.427242279052734,41.79999923706055,44.75,40.900001525878906,40.900001525878906,155315,2020-09-14
2020-09-21,35.815547943115234,40.0,42.5,37.099998474121094,42.400001525878906,144354,2020-09-21
2020-09-28,35.457393646240234,39.599998474121094,41.5,38.650001525878906,41.5,48407,2020-09-28
2020-10-05,35.18877029418945,39.29999923706055,42.0,37.75,39.54999923706055,81229,2020-10-05
2020-10-12,36.173702239990234,40.400001525878906,43.79999923706055,39.099998474121094,39.79999923706055,213201,2020-10-12
2020-10-19,47.27652359008789,52.79999923706055,52.79999923706055,39.650001525878906,40.04999923706055,2746993,2020-10-19
2020-10-26,43.2025032043457,48.25,56.849998474121094,45.400001525878906,54.0,1485822,2020-10-26
2020-11-02,42.88911819458008,47.900001525878906,51.95000076293945,47.0,48.900001525878906,496298,2020-11-02
2020-11-09,42.7995719909668,47.79999923706055,48.849998474121094,46.599998474121094,48.099998474121094,92465,2020-11-09
2020-11-16,43.0234260559082,48.04999923706055,49.20000076293945,46.75,47.25,91507,2020-11-16
2020-11-23,43.56066131591797,48.650001525878906,49.54999923706055,46.599998474121094,48.349998474121094,109316,2020-11-23
2020-11-30,44.4560432434082,49.650001525878906,50.0,47.54999923706055,48.650001525878906,119679,2020-11-30
2020-12-07,43.605430603027344,48.70000076293945,51.599998474121094,47.599998474121094,49.650001525878906,181769,2020-12-07
2020-12-14,44.09789276123047,49.25,50.849998474121094,47.70000076293945,48.650001525878906,130029,2020-12-14
2020-12-21,43.82927703857422,48.95000076293945,50.0,44.5,49.25,76340,2020-12-21
2020-12-28,44.903743743896484,50.150001525878906,50.599998474121094,47.599998474121094,49.5,105484,2020-12-28
2021-01-04,47.768985748291016,53.349998474121094,54.04999923706055,49.5,50.900001525878906,295685,2021-01-04
2021-01-11,48.977760314941406,54.70000076293945,57.95000076293945,51.5,54.400001525878906,269384,2021-01-11
2021-01-18,49.20161056518555,54.95000076293945,56.900001525878906,52.20000076293945,52.5,137160,2021-01-18
2021-01-25,49.335914611816406,55.099998474121094,56.900001525878906,53.20000076293945,56.900001525878906,132185,2021-01-25
2021-02-01,47.768985748291016,53.349998474121094,56.5,52.849998474121094,54.95000076293945,205227,2021-02-01
2021-02-08,53.737857818603516,58.400001525878906,61.900001525878906,54.29999923706055,54.900001525878906,585935,2021-02-08
2021-02-15,53.415794372558594,58.04999923706055,61.75,55.0,58.0,290981,2021-02-15
2021-02-22,52.40361022949219,56.95000076293945,60.0,54.54999923706055,59.0,165025,2021-02-22
2021-03-01,54.88806915283203,59.650001525878906,64.69999694824219,57.95000076293945,58.0,327389,2021-03-01
2021-03-08,51.85150909423828,56.349998474121094,60.599998474121094,55.650001525878906,60.599998474121094,113579,2021-03-08
2021-03-15,51.06937026977539,55.5,58.0,51.099998474121094,58.0,158345,2021-03-15
2021-03-22,49.50507736206055,53.79999923706055,55.20000076293945,51.599998474121094,54.0,80129,2021-03-22
2021-03-29,50.01116943359375,54.349998474121094,54.75,53.099998474121094,53.79999923706055,43808,2021-03-29
2021-04-05,54.4739875793457,59.20000076293945,63.400001525878906,53.54999923706055,56.400001525878906,327723,2021-04-05
2021-04-12,49.50507736206055,53.79999923706055,59.900001525878906,53.04999923706055,59.900001525878906,95206,2021-04-12
2021-04-19,46.14646530151367,50.150001525878906,54.75,49.599998474121094,54.75,167504,2021-04-19
2021-04-26,52.77167510986328,57.349998474121094,59.650001525878906,50.54999923706055,50.54999923706055,461490,2021-04-26
2021-05-03,52.86369323730469,57.45000076293945,58.599998474121094,55.099998474121094,57.5,246738,2021-05-03
2021-05-10,56.63638687133789,61.54999923706055,66.0,58.54999923706055,60.0,1303148,2021-05-10
2021-05-17,56.13029479980469,61.0,63.45000076293945,57.70000076293945,63.0,445836,2021-05-17
2021-05-24,59.62693786621094,64.80000305175781,68.5,58.0,62.5,1169400,2021-05-24
2021-05-31,64.77987670898438,70.4000015258789,72.1500015258789,62.25,65.0,691756,2021-05-31
2021-06-07,62.61748504638672,68.05000305175781,72.5,66.1500015258789,71.4000015258789,328118,2021-06-07
2021-06-14,63.721683502197266,69.25,72.94999694824219,66.05000305175781,69.0,603963,2021-06-14
2021-06-21,66.29816436767578,72.05000305175781,77.30000305175781,67.05000305175781,69.0,1189940,2021-06-21
2021-06-28,68.96664428710938,74.94999694824219,78.44999694824219,69.44999694824219,73.94999694824219,942304,2021-06-28
2021-07-05,69.93282318115234,76.0,80.69999694824219,74.0,75.9000015258789,777647,2021-07-05
2021-07-12,73.65951538085938,80.05000305175781,85.44999694824219,74.5,77.0999984741211,993279,2021-07-12
2021-07-19,77.6162338256836,84.3499984741211,86.9000015258789,77.80000305175781,79.69999694824219,1238496,2021-07-19
2021-07-26,75.17778015136719,81.69999694824219,86.80000305175781,80.0,86.80000305175781,514038,2021-07-26
2021-08-02,75.4538345336914,82.0,88.3499984741211,79.80000305175781,83.0,793066,2021-08-02
2021-08-09,71.03702545166016,77.19999694824219,86.19999694824219,67.0,83.19999694824219,627145,2021-08-09
2021-08-16,64.18177032470703,69.75,79.94999694824219,68.6500015258789,77.19999694824219,147995,2021-08-16
2021-08-23,71.03702545166016,77.19999694824219,82.44999694824219,65.6500015258789,70.0,754030,2021-08-23
2021-08-30,70.07085418701172,76.1500015258789,82.4000015258789,76.0,77.69999694824219,462531,2021-08-30
2021-09-06,69.10468292236328,75.0999984741211,77.80000305175781,72.5999984741211,75.30000305175781,137099,2021-09-06
2021-09-13,69.01265716552734,75.0,78.0,74.19999694824219,75.1500015258789,143401,2021-09-13
2021-09-20,66.20613861083984,71.94999694824219,76.5,70.30000305175781,76.5,163111,2021-09-20
2021-09-27,66.1601333618164,71.9000015258789,73.8499984741211,70.0,71.94999694824219,163199,2021-09-27
2021-10-04,70.760986328125,76.9000015258789,80.0,71.05000305175781,72.75,592673,2021-10-04
2021-10-11,74.62568664550781,81.0999984741211,83.0,75.05000305175781,77.8499984741211,605625,2021-10-11
2021-10-18,70.20887756347656,76.30000305175781,84.80000305175781,74.6500015258789,82.5999984741211,857805,2021-10-18
