Date,Adj Close_TATVA.NS,Close_TATVA.NS,High_TATVA.NS,Low_TATVA.NS,Open_TATVA.NS,Volume_TATVA.NS,Date
2021-07-26,2258.633056640625,2267.85009765625,2534.199951171875,2111.85009765625,2111.85009765625,9293525,2021-07-26
2021-08-02,2125.724853515625,2134.39990234375,2287.699951171875,2110.0,2279.0,1711440,2021-08-02
2021-08-09,2149.67724609375,2158.449951171875,2196.300048828125,2001.0,2144.25,1101718,2021-08-09
2021-08-16,2191.05859375,2200.0,2258.0,2061.0,2130.0,612831,2021-08-16
2021-08-23,2076.775146484375,2085.25,2244.39990234375,2053.25,2244.39990234375,868685,2021-08-23
2021-08-30,2040.572509765625,2048.89990234375,2128.0,2026.0,2088.0,463030,2021-08-30
2021-09-06,2038.7799072265625,2047.0999755859375,2099.050048828125,2031.0999755859375,2062.0,289761,2021-09-06
2021-09-13,2096.593994140625,2105.14990234375,2256.89990234375,2041.550048828125,2045.9000244140625,538048,2021-09-13
2021-09-20,2198.976318359375,2207.949951171875,2355.0,2062.550048828125,2080.0,819533,2021-09-20
2021-09-27,2145.892578125,2154.64990234375,2295.0,2142.10009765625,2218.0,352883,2021-09-27
2021-10-04,2351.055419921875,2360.64990234375,2398.0,2156.85009765625,2168.800048828125,799346,2021-10-04
2021-10-11,2316.646240234375,2326.10009765625,2447.89990234375,2292.0,2370.0,440374,2021-10-11
2021-10-18,2126.42236328125,2135.10009765625,2360.0,2079.0,2328.0,264624,2021-10-18
2021-10-25,2494.81884765625,2505.0,2807.0,2273.5,2450.0,2427652,2021-10-25
2021-11-01,2831.744140625,2843.300048828125,2977.800048828125,2500.050048828125,2534.0,606828,2021-11-01
2021-11-08,2714.123779296875,2725.199951171875,2865.0,2525.0,2865.0,424471,2021-11-08
2021-11-15,2558.40966796875,2568.85009765625,2773.0,2463.25,2765.0,261262,2021-11-15
2021-11-22,2504.4794921875,2514.699951171875,2725.0,2475.550048828125,2572.0,387786,2021-11-22
2021-11-29,2588.48681640625,2599.050048828125,2684.050048828125,2315.550048828125,2490.25,703716,2021-11-29
2021-12-06,2484.660400390625,2494.800048828125,2630.75,2452.85009765625,2620.0,262866,2021-12-06
2021-12-13,2412.654296875,2422.5,2541.0,2402.050048828125,2520.0,194871,2021-12-13
2021-12-20,2489.939208984375,2500.10009765625,2578.0,2316.64990234375,2400.0,318227,2021-12-20
2021-12-27,2644.956298828125,2655.75,2719.949951171875,2480.0,2510.0,319568,2021-12-27
2022-01-03,2601.08544921875,2611.699951171875,2699.85009765625,2549.0,2656.0,184603,2022-01-03
2022-01-10,2803.75830078125,2815.199951171875,2865.0,2582.0,2633.0,367970,2022-01-10
2022-01-17,2595.209228515625,2605.800048828125,2958.64990234375,2551.0,2835.75,737533,2022-01-17
2022-01-24,2424.007568359375,2433.89990234375,2598.85009765625,2360.0,2571.0,167497,2022-01-24
2022-01-31,2578.4775390625,2589.0,2599.89990234375,2429.800048828125,2449.10009765625,121220,2022-01-31
2022-02-07,2401.151123046875,2410.949951171875,2596.10009765625,2403.550048828125,2565.0,69656,2022-02-07
2022-02-14,2300.960205078125,2310.35009765625,2391.0,2261.050048828125,2275.0,126971,2022-02-14
2022-02-21,2153.163330078125,2161.949951171875,2317.050048828125,2083.0,2285.0,201554,2022-02-21
2022-02-28,2192.652099609375,2201.60009765625,2260.0,2110.35009765625,2142.300048828125,85583,2022-02-28
2022-03-07,2121.592041015625,2130.25,2210.050048828125,2100.0,2184.0,179506,2022-03-07
2022-03-14,2263.064697265625,2272.300048828125,2333.0,2117.64990234375,2139.0,161535,2022-03-14
