Date,Adj Close_SHAREINDIA.NS,Close_SHAREINDIA.NS,High_SHAREINDIA.NS,Low_SHAREINDIA.NS,Open_SHAREINDIA.NS,Volume_SHAREINDIA.NS,Date
2020-09-21,20.194042205810547,20.76873207092285,23.76403045654297,19.0429630279541,21.8200626373291,696620,2020-09-21
2020-09-28,19.518970489501953,20.0744571685791,21.215051651000977,19.9951114654541,20.72905921936035,351206,2020-09-28
2020-10-05,19.71184730529785,20.2728214263916,21.52251625061035,19.30083656311035,20.2331485748291,511501,2020-10-05
2020-10-12,19.480398178100586,20.0347843170166,20.53069496154785,19.26116371154785,20.53069496154785,310331,2020-10-12
2020-10-19,19.68291473388672,20.243066787719727,21.76055335998535,19.4793643951416,20.0347843170166,335531,2020-10-19
2020-10-26,19.162151336669922,19.707483291625977,20.8282413482666,18.2891788482666,20.3124942779541,482352,2020-10-26
2020-11-02,19.220016479492188,19.766992568969727,20.778650283813477,19.26116371154785,19.7174015045166,388546,2020-11-02
2020-11-09,19.615415573120117,20.17363929748535,20.8282413482666,19.528955459594727,19.766992568969727,355827,2020-11-09
2020-11-16,20.926963806152344,21.52251625061035,24.190513610839844,19.73723793029785,20.024866104125977,429148,2020-11-16
2020-11-23,20.386911392211914,20.96709632873535,21.91924476623535,20.4315128326416,21.91924476623535,544879,2020-11-23
2020-11-30,21.196985244750977,21.80022430419922,22.23662757873535,20.72905921936035,20.96709632873535,332574,2020-11-30
2020-12-07,24.282991409301758,24.97405242919922,26.18407440185547,21.42333221435547,23.38713836669922,671367,2020-12-07
2020-12-14,32.75985336303711,33.69215774536133,35.9435920715332,24.99388885498047,25.74767303466797,4995964,2020-12-14
2020-12-21,32.788787841796875,33.7219123840332,34.49553298950195,31.738271713256836,32.82927322387695,523595,2020-12-21
2020-12-28,35.36367416381836,36.37007522583008,37.4908332824707,32.74000930786133,34.01945877075195,2188825,2020-12-28
2021-01-04,39.3561897277832,40.47621536254883,41.04155349731445,35.7055549621582,37.27263259887695,898930,2021-01-04
2021-01-11,36.27982711791992,37.31230545043945,41.2597541809082,36.42958450317383,41.2597541809082,771448,2021-01-11
2021-01-18,34.99721145629883,35.99318313598633,38.8793830871582,35.3088264465332,38.8793830871582,498712,2021-01-18
2021-01-25,33.425270080566406,34.37651443481445,36.88582229614258,33.87068557739258,36.17171096801758,83900,2021-01-25
2021-02-01,37.118831634521484,38.17518997192383,39.49431228637695,34.37651443481445,35.19972610473633,976247,2021-02-01
2021-02-08,40.80276107788086,41.96394729614258,43.06486892700195,39.66292190551758,39.6728401184082,1503122,2021-02-08
2021-02-15,45.17138671875,46.4568977355957,47.66691970825195,42.15239334106445,43.02519607543945,487661,2021-02-15
2021-02-22,44.11454391479492,45.16753005981445,47.56773376464844,43.8781623840332,47.40904235839844,235117,2021-02-22
2021-03-01,49.47145080566406,50.65229797363281,53.34013366699219,45.4254035949707,46.59575271606445,484163,2021-03-01
2021-03-08,52.668155670166016,53.92530822753906,56.93052673339844,50.38450622558594,51.55485534667969,718616,2021-03-08
2021-03-15,48.60930633544922,49.76957702636719,55.48246765136719,47.60740661621094,55.48246765136719,520082,2021-03-15
2021-03-22,50.31421661376953,51.51518249511719,53.52857971191406,48.99595642089844,50.48368835449219,169680,2021-03-22
2021-03-29,52.3581657409668,53.60792541503906,55.13533020019531,50.90025329589844,51.51518249511719,82181,2021-03-29
2021-04-05,60.340248107910156,61.78053283691406,62.48472213745117,52.62602233886719,53.61784362792969,691579,2021-04-05
2021-04-12,62.79106521606445,64.28984069824219,65.46018981933594,59.16212463378906,61.69126510620117,506930,2021-04-12
2021-04-19,60.23369598388672,61.67142868041992,64.05180358886719,61.1060905456543,64.05180358886719,724816,2021-04-19
2021-04-26,69.49445343017578,71.15323638916016,72.85916900634766,61.50282287597656,62.28635787963867,3361754,2021-04-26
2021-05-03,73.5339126586914,75.28913116455078,80.30774688720703,67.59260559082031,70.4192886352539,2777651,2021-05-03
2021-05-10,84.35429382324219,86.3677749633789,88.2323989868164,74.89240264892578,78.1554946899414,1649963,2021-05-10
