Date,Adj Close_AJOONI.NS,Close_AJOONI.NS,High_AJOONI.NS,Low_AJOONI.NS,Open_AJOONI.NS,Volume_AJOONI.NS,Date
2020-07-13,1.7912479639053345,1.7912479639053345,1.7912479639053345,1.6303160190582275,1.65830397605896,285832,2020-07-13
2020-07-20,2.1341049671173096,2.1341049671173096,2.1341049671173096,1.7912479639053345,1.7912479639053345,514500,2020-07-20
2020-07-27,2.539933919906616,2.539933919906616,2.553929090499878,2.1341049671173096,2.1341049671173096,1286250,2020-07-27
2020-08-03,3.015734910964966,3.015734910964966,3.015734910964966,2.413986921310425,2.413986921310425,1343418,2020-08-03
2020-08-10,3.750427007675171,3.750427007675171,3.750427007675171,3.015734910964966,3.1346850395202637,2143754,2020-08-10
2020-08-17,4.653048038482666,4.653048038482666,4.6880340576171875,3.764420986175537,3.84838604927063,2343837,2020-08-17
2020-08-24,4.953921794891357,4.953921794891357,5.009899139404297,4.646050930023193,4.653048038482666,4601926,2020-08-24
2020-08-31,4.904942989349365,4.904942989349365,5.107858180999756,4.73701286315918,5.093863010406494,1600668,2020-08-31
2020-09-07,4.702027797698975,4.702027797698975,4.897945880889893,4.464128017425537,4.897945880889893,1257668,2020-09-07
2020-09-14,4.548091888427734,4.548091888427734,4.702027797698975,4.541094779968262,4.618062973022461,828917,2020-09-14
2020-09-21,4.443136215209961,4.443136215209961,4.478122234344482,4.128267765045166,4.478122234344482,800334,2020-09-21
2020-09-28,4.73701286315918,4.73701286315918,4.827974796295166,4.478122234344482,4.478122234344482,886084,2020-09-28
2020-10-05,4.771997928619385,4.771997928619385,4.897945880889893,4.618062973022461,4.771997928619385,1343417,2020-10-05
2020-10-12,4.806983947753906,4.806983947753906,4.848966121673584,4.758004188537598,4.848966121673584,1000418,2020-10-12
2020-10-19,4.758004188537598,4.758004188537598,4.855963230133057,4.73701286315918,4.806983947753906,285832,2020-10-19
2020-10-26,4.730016231536865,4.730016231536865,4.771997928619385,4.702027797698975,4.758004188537598,571666,2020-10-26
2020-11-02,4.632057189941406,4.632057189941406,4.702027797698975,4.618062973022461,4.702027797698975,371583,2020-11-02
2020-11-09,4.604069232940674,4.604069232940674,4.632057189941406,4.478122234344482,4.632057189941406,428750,2020-11-09
2020-11-16,4.478122234344482,4.478122234344482,4.604069232940674,4.443136215209961,4.604069232940674,200083,2020-11-16
2020-11-23,4.247218132019043,4.247218132019043,4.478122234344482,4.247218132019043,4.478122234344482,171499,2020-11-23
2020-11-30,4.520103931427002,4.520103931427002,4.541094779968262,4.079288959503174,4.247218132019043,371583,2020-11-30
2020-12-07,4.478122234344482,4.478122234344482,4.576080799102783,4.2822041511535645,4.520103931427002,485917,2020-12-07
2020-12-14,4.457129955291748,4.457129955291748,4.4921159744262695,4.457129955291748,4.478122234344482,114333,2020-12-14
2020-12-21,4.366168975830078,4.366168975830078,4.380163192749023,4.24022102355957,4.338180065155029,571667,2020-12-21
2020-12-28,4.205235958099365,4.205235958099365,4.387159824371338,3.9883270263671875,4.156257152557373,314416,2020-12-28
2021-01-04,4.744009971618652,4.744009971618652,4.813981056213379,4.079288959503174,4.205235958099365,2429588,2021-01-04
2021-01-11,4.681036949157715,4.681036949157715,4.827974796295166,4.555088996887207,4.625060081481934,1143335,2021-01-11
2021-01-18,4.555088996887207,4.555088996887207,4.855963230133057,4.555088996887207,4.625060081481934,886083,2021-01-18
2021-01-25,4.457129955291748,4.457129955291748,4.744009971618652,4.443136215209961,4.618062973022461,514500,2021-01-25
2021-02-01,4.681036949157715,4.681036949157715,4.681036949157715,4.366168975830078,4.5900750160217285,1143334,2021-02-01
2021-02-08,4.275207042694092,4.275207042694092,4.681036949157715,4.212233066558838,4.681036949157715,314415,2021-02-08
2021-02-15,4.373166084289551,4.373166084289551,4.56208610534668,4.2822041511535645,4.464128017425537,1572086,2021-02-15
2021-02-22,4.2192301750183105,4.2192301750183105,4.56208610534668,4.17025089263916,4.373166084289551,628834,2021-02-22
2021-03-01,4.3171892166137695,4.3171892166137695,4.338180065155029,4.142261981964111,4.254216194152832,371582,2021-03-01
