Date,Adj Close_KSL.NS,Close_KSL.NS,High_KSL.NS,Low_KSL.NS,Open_KSL.NS,Volume_KSL.NS,Date
2020-07-13,205.1688232421875,224.14999389648438,229.8000030517578,214.0,225.6999969482422,347255,2020-07-13
2020-07-20,197.57168579101562,215.85000610351562,229.0,215.0,226.5,340397,2020-07-20
2020-07-27,197.06825256347656,215.3000030517578,223.5,209.89999389648438,216.1999969482422,571002,2020-07-27
2020-08-03,211.3929901123047,230.9499969482422,243.60000610351562,214.0500030517578,218.85000610351562,1061898,2020-08-03
2020-08-10,204.80270385742188,223.75,235.0,221.0,232.3000030517578,542065,2020-08-10
2020-08-17,207.27407836914062,226.4499969482422,232.0,222.10000610351562,224.5500030517578,415078,2020-08-17
2020-08-24,206.17567443847656,225.25,246.8000030517578,224.0500030517578,226.5500030517578,1123625,2020-08-24
2020-08-31,193.77308654785156,211.6999969482422,227.9499969482422,206.14999389648438,226.0,371141,2020-08-31
2020-09-07,196.29022216796875,214.4499969482422,216.0,196.64999389648438,213.0,265969,2020-09-07
2020-09-14,192.67471313476562,210.5,217.14999389648438,205.75,214.5500030517578,583771,2020-09-14
2020-09-21,186.22171020507812,203.4499969482422,215.0,196.3000030517578,211.5,245414,2020-09-21
2020-09-28,201.50755310058594,220.14999389648438,223.39999389648438,204.60000610351562,204.60000610351562,263064,2020-09-28
2020-10-05,210.61497497558594,230.10000610351562,231.0,212.0,219.0,302030,2020-10-05
2020-10-12,200.86683654785156,219.4499969482422,232.60000610351562,210.0500030517578,232.60000610351562,163725,2020-10-12
2020-10-19,201.37025451660156,220.0,225.5,212.89999389648438,221.4499969482422,160131,2020-10-19
2020-10-26,192.17127990722656,209.9499969482422,223.85000610351562,208.5,220.75,100062,2020-10-26
2020-11-02,197.38861083984375,215.64999389648438,221.0,206.35000610351562,211.0,122999,2020-11-02
2020-11-09,206.5875701904297,225.6999969482422,227.89999389648438,208.0,215.35000610351562,437272,2020-11-09
2020-11-16,216.06112670898438,236.0500030517578,246.0,225.14999389648438,225.14999389648438,1026364,2020-11-16
2020-11-23,217.61717224121094,237.75,248.0,230.25,237.25,542428,2020-11-23
2020-11-30,236.7931365966797,258.70001220703125,264.0,236.5,237.75,1394211,2020-11-30
2020-12-07,226.58729553222656,247.5500030517578,262.95001220703125,235.25,260.0,692301,2020-12-07
2020-12-14,234.45904541015625,256.1499938964844,268.79998779296875,245.3000030517578,248.8000030517578,1171515,2020-12-14
