Date,Adj Close_KSL.NS,Close_KSL.NS,High_KSL.NS,Low_KSL.NS,Open_KSL.NS,Volume_KSL.NS,Date
2020-12-21,246.67855834960938,269.5,276.8999938964844,230.6999969482422,255.0,1073080,2020-12-21
2020-12-28,259.9049377441406,283.95001220703125,291.79998779296875,266.0,271.70001220703125,1423947,2020-12-28
2021-01-04,267.2732849121094,292.0,306.8999938964844,277.1499938964844,285.8999938964844,1977421,2021-01-04
2021-01-11,261.5982360839844,285.79998779296875,298.5,280.1499938964844,294.0,717439,2021-01-11
2021-01-18,248.96685791015625,272.0,294.8500061035156,270.04998779296875,287.0,449773,2021-01-18
2021-01-25,244.34451293945312,266.95001220703125,285.6000061035156,258.8500061035156,273.6000061035156,675734,2021-01-25
2021-02-01,261.0948791503906,285.25,293.0,260.20001220703125,269.5,693370,2021-02-01
2021-02-08,269.7903747558594,294.75,300.70001220703125,278.8999938964844,286.0,1014506,2021-02-08
2021-02-15,283.6574401855469,309.8999938964844,322.0,294.79998779296875,297.0,1307021,2021-02-15
2021-02-22,290.65960693359375,317.54998779296875,327.8999938964844,298.1499938964844,311.8999938964844,891886,2021-02-22
2021-03-01,291.4376525878906,318.3999938964844,335.0,312.1499938964844,317.54998779296875,720945,2021-03-01
2021-03-08,292.1699523925781,319.20001220703125,325.95001220703125,314.75,319.0,317176,2021-03-08
2021-03-15,269.24114990234375,294.1499938964844,322.8500061035156,286.8999938964844,320.04998779296875,433170,2021-03-15
2021-03-22,282.83367919921875,309.0,314.20001220703125,280.0,299.0,278835,2021-03-22
2021-03-29,307.3642272949219,335.79998779296875,349.70001220703125,309.0,309.0,1162619,2021-03-29
2021-04-05,327.180908203125,357.45001220703125,364.5,329.04998779296875,339.79998779296875,1393283,2021-04-05
2021-04-12,314.6867980957031,343.79998779296875,348.8500061035156,330.1000061035156,345.1000061035156,543779,2021-04-12
2021-04-19,312.71881103515625,341.6499938964844,359.79998779296875,332.0,335.0,448164,2021-04-19
2021-04-26,336.1967468261719,367.29998779296875,387.70001220703125,343.3999938964844,343.3999938964844,1662092,2021-04-26
2021-05-03,355.9676818847656,388.8999938964844,394.75,365.04998779296875,370.0,1020498,2021-05-03
2021-05-10,319.94989013671875,349.54998779296875,398.0,345.70001220703125,387.0,647008,2021-05-10
2021-05-17,368.73638916015625,402.8500061035156,418.8999938964844,353.6499938964844,356.95001220703125,2523539,2021-05-17
2021-05-24,343.0616760253906,374.79998779296875,408.29998779296875,372.0,404.8999938964844,755884,2021-05-24
2021-05-31,344.06854248046875,375.8999938964844,380.95001220703125,354.0,373.1000061035156,557686,2021-05-31
2021-06-07,360.3154602050781,393.6499938964844,395.79998779296875,365.0,379.8500061035156,513372,2021-06-07
2021-06-14,337.38671875,368.6000061035156,398.70001220703125,357.3500061035156,395.45001220703125,446575,2021-06-14
2021-06-21,373.81640625,408.3999938964844,414.1000061035156,360.95001220703125,363.95001220703125,1114589,2021-06-21
2021-06-28,363.38177490234375,397.0,412.6499938964844,385.3999938964844,411.0,359647,2021-06-28
2021-07-05,366.6311340332031,400.54998779296875,411.3500061035156,389.0,400.0,488616,2021-07-05
2021-07-12,373.5418395996094,408.1000061035156,413.75,392.1000061035156,404.0,528184,2021-07-12
2021-07-19,400.8183288574219,437.8999938964844,442.1499938964844,392.04998779296875,406.1000061035156,1800141,2021-07-19
2021-07-26,408.50701904296875,446.29998779296875,462.0,432.8500061035156,443.0,1722049,2021-07-26
2021-08-02,402.3743591308594,439.6000061035156,466.20001220703125,423.6499938964844,449.79998779296875,1852807,2021-08-02
2021-08-09,383.1527099609375,418.6000061035156,445.6499938964844,381.04998779296875,444.8999938964844,622723,2021-08-09
2021-08-16,351.5284118652344,384.04998779296875,417.0,380.8999938964844,417.0,382694,2021-08-16
2021-08-23,354.503173828125,387.29998779296875,400.20001220703125,366.45001220703125,396.0,326812,2021-08-23
2021-08-30,367.0867614746094,393.3999938964844,418.0,389.0,394.0,435918,2021-08-30
2021-09-06,359.5751953125,385.3500061035156,395.95001220703125,381.25,395.95001220703125,194485,2021-09-06
2021-09-13,378.843994140625,406.0,408.0,382.0,382.0,344516,2021-09-13
2021-09-20,360.0884094238281,385.8999938964844,418.1000061035156,363.5,400.0,289300,2021-09-20
2021-09-27,357.9888916015625,383.6499938964844,392.6000061035156,370.1000061035156,387.1499938964844,226152,2021-09-27
2021-10-04,364.24078369140625,390.3500061035156,403.0,384.1000061035156,384.1000061035156,250160,2021-10-04
2021-10-11,371.7056884765625,398.3500061035156,406.5,387.1499938964844,391.1000061035156,214297,2021-10-11
2021-10-18,352.670166015625,377.95001220703125,408.04998779296875,371.25,401.1000061035156,386686,2021-10-18
2021-10-25,343.89886474609375,368.54998779296875,383.8999938964844,365.25,378.70001220703125,166958,2021-10-25
2021-11-01,338.58013916015625,362.8500061035156,385.0,360.6499938964844,372.8999938964844,258081,2021-11-01
2021-11-08,337.507080078125,361.70001220703125,374.8999938964844,361.0,366.0,190167,2021-11-08
2021-11-15,328.73577880859375,352.29998779296875,365.1000061035156,350.1000061035156,362.29998779296875,136083,2021-11-15
2021-11-22,305.0813903808594,326.95001220703125,353.29998779296875,321.3500061035156,349.29998779296875,194894,2021-11-22
2021-11-29,303.2618103027344,325.0,333.3500061035156,311.29998779296875,325.0,149375,2021-11-29
2021-12-06,308.25396728515625,330.3500061035156,334.54998779296875,306.8999938964844,327.54998779296875,176988,2021-12-06
2021-12-13,293.13751220703125,314.1499938964844,337.6000061035156,312.1000061035156,332.6000061035156,111619,2021-12-13
2021-12-20,300.7890625,322.3500061035156,329.0,298.8500061035156,310.0,123290,2021-12-20
2021-12-27,297.7097473144531,319.04998779296875,330.0,315.0,319.1499938964844,104209,2021-12-27
2022-01-03,314.64581298828125,337.20001220703125,348.0,315.29998779296875,319.0,371950,2022-01-03
2022-01-10,321.78411865234375,344.8500061035156,350.6499938964844,334.1499938964844,338.8999938964844,192703,2022-01-10
2022-01-17,310.30682373046875,332.54998779296875,353.8999938964844,331.29998779296875,343.95001220703125,180616,2022-01-17
2022-01-24,291.7845153808594,312.70001220703125,337.8999938964844,305.54998779296875,334.25,304773,2022-01-24
2022-01-31,299.389404296875,320.8500061035156,329.95001220703125,308.45001220703125,313.0,238549,2022-01-31
2022-02-07,292.8109130859375,313.79998779296875,331.0,310.04998779296875,320.0,154249,2022-02-07
2022-02-14,273.6820983886719,293.29998779296875,313.0,292.0,303.0,148168,2022-02-14
2022-02-21,266.310546875,285.3999938964844,295.54998779296875,265.0,294.75,166917,2022-02-21
2022-02-28,278.4876708984375,298.45001220703125,342.3999938964844,275.0,290.0,378299,2022-02-28
2022-03-07,286.605712890625,307.1499938964844,311.8999938964844,290.6000061035156,295.0,215124,2022-03-07
2022-03-14,286.93231201171875,307.5,312.8500061035156,295.0,308.70001220703125,180488,2022-03-14
2022-03-21,295.0970764160156,316.25,327.0,303.0,309.04998779296875,341862,2022-03-21
2022-03-28,285.6259765625,306.1000061035156,317.8500061035156,295.1000061035156,316.25,250809,2022-03-28
2022-04-04,307.60076904296875,329.6499938964844,333.0,307.6499938964844,307.6499938964844,384304,2022-04-04
2022-04-11,307.9740295410156,330.04998779296875,339.8999938964844,324.1000061035156,330.20001220703125,137292,2022-04-11
2022-04-18,302.0954284667969,323.75,336.0,320.45001220703125,329.0,167760,2022-04-18
2022-04-25,291.3646240234375,312.25,324.1000061035156,304.0,323.04998779296875,105751,2022-04-25
2022-05-02,276.29486083984375,296.1000061035156,314.1000061035156,290.0,306.04998779296875,91572,2022-05-02
2022-05-09,279.0475158691406,299.04998779296875,310.0,273.20001220703125,297.6000061035156,268865,2022-05-09
2022-05-16,284.5062255859375,304.8999938964844,311.0,291.0,300.54998779296875,139331,2022-05-16
2022-05-23,276.434814453125,296.25,309.0,290.1499938964844,290.20001220703125,154733,2022-05-23
2022-05-30,290.5248107910156,311.3500061035156,318.0,296.25,296.25,156307,2022-05-30
2022-06-06,275.7816162109375,295.54998779296875,313.1499938964844,294.8500061035156,307.0,67740,2022-06-06
2022-06-13,256.55950927734375,274.95001220703125,293.6000061035156,270.20001220703125,293.0,87486,2022-06-13
2022-06-20,255.99961853027344,274.3500061035156,285.0,263.1000061035156,274.95001220703125,89754,2022-06-20
2022-06-27,260.7585144042969,279.45001220703125,290.0,275.54998779296875,280.0,55113,2022-06-27
2022-07-04,279.2341613769531,299.25,303.70001220703125,280.54998779296875,283.0,63113,2022-07-04
2022-07-11,278.4876708984375,298.45001220703125,307.3999938964844,293.54998779296875,300.0,57965,2022-07-11
2022-07-18,282.4067077636719,302.6499938964844,314.8999938964844,295.95001220703125,299.95001220703125,126684,2022-07-18
2022-07-25,288.97149658203125,299.5,304.1000061035156,290.0,303.8999938964844,81293,2022-07-25
2022-08-01,287.76544189453125,298.25,313.0,295.0,300.95001220703125,173692,2022-08-01
2022-08-08,278.64764404296875,288.79998779296875,303.6000061035156,281.1499938964844,299.95001220703125,303067,2022-08-08
2022-08-15,286.7041015625,297.1499938964844,301.29998779296875,283.8999938964844,288.79998779296875,137170,2022-08-15
2022-08-22,285.7392578125,296.1499938964844,301.0,288.79998779296875,298.6499938964844,104010,2022-08-22
2022-08-29,318.8335266113281,330.45001220703125,335.6499938964844,283.1000061035156,283.1000061035156,372456,2022-08-29
2022-09-05,320.4255065917969,332.1000061035156,342.0,329.29998779296875,334.95001220703125,147208,2022-09-05
2022-09-12,313.4786071777344,324.8999938964844,342.8500061035156,318.25,333.79998779296875,233098,2022-09-12
2022-09-19,313.76806640625,325.20001220703125,338.95001220703125,320.20001220703125,326.54998779296875,171207,2022-09-19
2022-09-26,290.7564697265625,301.3500061035156,326.8500061035156,296.1499938964844,326.0,142574,2022-09-26
2022-10-03,291.81781005859375,302.45001220703125,307.95001220703125,298.0,303.45001220703125,103724,2022-10-03
2022-10-10,284.14727783203125,294.5,305.29998779296875,289.95001220703125,304.0,127127,2022-10-10
2022-10-17,285.35333251953125,295.75,304.8500061035156,283.70001220703125,293.6000061035156,138849,2022-10-17
2022-10-24,287.09002685546875,297.54998779296875,305.04998779296875,295.04998779296875,296.0,54180,2022-10-24
2022-10-31,286.99359130859375,297.45001220703125,302.5,294.29998779296875,299.04998779296875,54299,2022-10-31
2022-11-07,288.24786376953125,298.75,308.95001220703125,294.0,304.8999938964844,89365,2022-11-07
2022-11-14,307.5447692871094,318.75,324.0,296.0,298.75,242573,2022-11-14
2022-11-21,307.64129638671875,318.8500061035156,334.25,313.5,329.45001220703125,253224,2022-11-21
2022-11-28,323.27178955078125,335.04998779296875,352.95001220703125,319.04998779296875,324.95001220703125,441630,2022-11-28
2022-12-05,339.4329528808594,351.79998779296875,371.6000061035156,336.04998779296875,338.70001220703125,918918,2022-12-05
2022-12-12,344.546630859375,357.1000061035156,378.1499938964844,345.5,351.0,424729,2022-12-12
2022-12-19,322.21044921875,333.95001220703125,392.0,332.8999938964844,357.20001220703125,1000963,2022-12-19
2022-12-26,348.9366760253906,361.6499938964844,376.95001220703125,322.20001220703125,330.1000061035156,362393,2022-12-26
2023-01-02,348.7437438964844,361.45001220703125,387.6499938964844,352.75,360.0,491893,2023-01-02
2023-01-09,338.7093200683594,351.04998779296875,374.54998779296875,348.3999938964844,366.8500061035156,261078,2023-01-09
2023-01-16,331.85894775390625,343.95001220703125,358.1499938964844,339.8999938964844,352.8500061035156,234321,2023-01-16
2023-01-23,322.21044921875,333.95001220703125,348.29998779296875,323.0,347.3999938964844,146070,2023-01-23
2023-01-30,309.4744873046875,320.75,340.3500061035156,316.8999938964844,329.0,155263,2023-01-30
2023-02-06,310.7770080566406,322.1000061035156,333.1499938964844,315.0,320.70001220703125,175790,2023-02-06
2023-02-13,305.75982666015625,316.8999938964844,327.3500061035156,310.0,322.1499938964844,116842,2023-02-13
2023-02-20,296.6902770996094,307.5,317.8500061035156,305.20001220703125,316.1499938964844,75699,2023-02-20
2023-02-27,305.904541015625,317.04998779296875,323.5,301.04998779296875,309.0,111097,2023-02-27
2023-03-06,303.3959655761719,314.45001220703125,323.0,309.70001220703125,323.0,89130,2023-03-06
2023-03-13,301.5627136230469,312.54998779296875,321.79998779296875,300.0,315.95001220703125,216945,2023-03-13
2023-03-20,293.0721130371094,303.75,314.0,303.0,305.0,83534,2023-03-20
2023-03-27,284.43670654296875,294.79998779296875,305.29998779296875,281.0,303.75,197565,2023-03-27
2023-04-03,288.97149658203125,299.5,307.0,296.04998779296875,296.29998779296875,113018,2023-04-03
2023-04-10,309.763916015625,321.04998779296875,322.79998779296875,300.3999938964844,301.8999938964844,245120,2023-04-10
2023-04-17,307.20709228515625,318.3999938964844,327.8999938964844,316.8500061035156,322.95001220703125,230006,2023-04-17
2023-04-24,320.0877990722656,331.75,335.8500061035156,315.0,320.0,341899,2023-04-24
2023-05-01,327.85479736328125,339.79998779296875,349.0,331.75,331.75,193796,2023-05-01
2023-05-08,327.9995422363281,339.95001220703125,355.25,332.70001220703125,343.1499938964844,189775,2023-05-08
2023-05-15,312.7549743652344,324.1499938964844,344.04998779296875,320.54998779296875,342.0,98440,2023-05-15
2023-05-22,312.658447265625,324.04998779296875,335.0,320.8500061035156,325.6000061035156,87551,2023-05-22
2023-05-29,327.13116455078125,339.04998779296875,343.8999938964844,325.25,331.0,118132,2023-05-29
2023-06-05,327.7100830078125,339.6499938964844,348.0,336.70001220703125,343.95001220703125,143818,2023-06-05
2023-06-12,340.3977966308594,352.79998779296875,358.95001220703125,339.20001220703125,343.95001220703125,321312,2023-06-12
2023-06-19,334.56048583984375,346.75,365.1000061035156,342.3999938964844,352.8999938964844,211372,2023-06-19
2023-06-26,343.3888244628906,355.8999938964844,360.0,344.04998779296875,348.5,109834,2023-06-26
2023-07-03,334.898193359375,347.1000061035156,361.1499938964844,342.45001220703125,359.8999938964844,116659,2023-07-03
2023-07-10,365.3873596191406,378.70001220703125,384.0,347.1000061035156,353.79998779296875,832207,2023-07-10
2023-07-17,367.1240539550781,380.5,388.0,368.1000061035156,380.54998779296875,317109,2023-07-17
2023-07-24,386.4209899902344,400.5,418.0,373.1499938964844,383.70001220703125,1912597,2023-07-24
2023-07-31,408.4194641113281,423.29998779296875,444.8999938964844,403.0,403.0,1295990,2023-07-31
2023-08-07,413.9673156738281,429.04998779296875,449.5,421.25,426.0,835574,2023-08-07
2023-08-14,465.38128662109375,471.3500061035156,483.70001220703125,418.0,425.04998779296875,1167476,2023-08-14
2023-08-21,470.6141662597656,476.6499938964844,530.7000122070312,472.29998779296875,479.95001220703125,1545658,2023-08-21
2023-08-28,493.0760803222656,499.3999938964844,503.1499938964844,467.6000061035156,481.6499938964844,599414,2023-08-28
2023-09-04,505.3190612792969,511.79998779296875,527.7000122070312,502.45001220703125,504.04998779296875,599200,2023-09-04
2023-09-11,528.521484375,535.2999877929688,558.0,442.1499938964844,521.9500122070312,3485761,2023-09-11
2023-09-18,509.2684020996094,515.7999877929688,554.4500122070312,509.54998779296875,537.7999877929688,766496,2023-09-18
2023-09-25,528.768310546875,535.5499877929688,543.75,503.20001220703125,515.7000122070312,381545,2023-09-25
2023-10-02,491.8419189453125,498.1499938964844,544.4000244140625,485.1499938964844,535.5499877929688,574536,2023-10-02
2023-10-09,487.84320068359375,494.1000061035156,505.0,481.0,481.0,267353,2023-10-09
2023-10-16,474.0698547363281,480.1499938964844,511.0,476.95001220703125,498.04998779296875,230934,2023-10-16
2023-10-23,452.2003479003906,458.0,482.6000061035156,423.5,480.0,347707,2023-10-23
2023-10-30,452.94085693359375,458.75,496.3999938964844,448.0,458.1000061035156,592035,2023-10-30
2023-11-06,445.8813781738281,451.6000061035156,471.3999938964844,450.0,462.79998779296875,251928,2023-11-06
2023-11-13,475.4521179199219,481.54998779296875,486.75,450.8500061035156,455.0,242837,2023-11-13
2023-11-20,473.37872314453125,479.45001220703125,490.70001220703125,463.5,481.54998779296875,227690,2023-11-20
2023-11-27,468.4420471191406,474.45001220703125,482.79998779296875,466.3500061035156,479.45001220703125,128343,2023-11-27
2023-12-04,476.1432800292969,482.25,504.95001220703125,475.04998779296875,479.04998779296875,465718,2023-12-04
2023-12-11,452.9902038574219,458.79998779296875,490.0,456.79998779296875,486.8500061035156,569619,2023-12-11
2023-12-18,424.99920654296875,430.45001220703125,461.1000061035156,427.29998779296875,461.1000061035156,668413,2023-12-18
2023-12-25,478.41412353515625,484.54998779296875,493.5,430.45001220703125,430.45001220703125,1832707,2023-12-25
2024-01-01,509.5646057128906,516.0999755859375,568.9000244140625,485.1000061035156,487.0,2151203,2024-01-01
2024-01-08,593.1920776367188,600.7999877929688,625.0,495.20001220703125,520.7999877929688,3381259,2024-01-08
2024-01-15,592.3528442382812,599.9500122070312,620.3499755859375,563.5999755859375,600.7999877929688,1018581,2024-01-15
2024-01-22,580.1591796875,587.5999755859375,604.4500122070312,565.2000122070312,599.9500122070312,284134,2024-01-22
2024-01-29,636.48681640625,644.6500244140625,655.0999755859375,577.5999755859375,592.6500244140625,954857,2024-01-29
2024-02-05,747.5128173828125,757.0999755859375,775.9000244140625,639.0,649.0,2852079,2024-02-05
2024-02-12,801.8163452148438,812.0999755859375,817.4500122070312,701.2999877929688,757.0999755859375,1528605,2024-02-12
2024-02-19,821.0200805664062,831.5499877929688,889.0,793.7000122070312,818.0,1613345,2024-02-19
2024-02-26,1027.126708984375,1040.300048828125,1074.699951171875,837.2000122070312,842.9500122070312,3239398,2024-02-26
2024-03-04,920.83984375,932.6500244140625,1006.2000122070312,866.8499755859375,996.0,1227574,2024-03-04
2024-03-11,928.8866577148438,940.7999877929688,969.9000244140625,823.0999755859375,936.0,1498575,2024-03-11
2024-03-18,871.374267578125,882.5499877929688,952.3499755859375,805.0999755859375,948.7000122070312,884732,2024-03-18
2024-03-25,845.4072875976562,856.25,900.0,851.0,882.5499877929688,243169,2024-03-25
2024-04-01,923.20947265625,935.0499877929688,949.9500122070312,859.9500122070312,860.4500122070312,765994,2024-04-01
2024-04-08,886.0362548828125,897.4000244140625,972.0,862.2999877929688,950.0499877929688,378493,2024-04-08
2024-04-15,839.8782348632812,850.6500244140625,901.4500122070312,825.0499877929688,862.0999755859375,266530,2024-04-15
2024-04-22,887.7146606445312,899.0999755859375,970.7000122070312,850.2000122070312,859.2000122070312,503913,2024-04-22
2024-04-29,858.3413696289062,869.3499755859375,916.2999877929688,855.7999877929688,910.0,179419,2024-04-29
2024-05-06,845.30859375,856.1500244140625,885.75,805.0,877.9500122070312,327266,2024-05-06
2024-05-13,837.8048095703125,848.5499877929688,856.0,806.9000244140625,856.0,240585,2024-05-13
2024-05-20,855.5768432617188,866.5499877929688,899.0,841.7000122070312,846.6500244140625,258871,2024-05-20
2024-05-27,801.9151000976562,812.2000122070312,889.75,800.0,866.5499877929688,408264,2024-05-27
2024-06-03,818.6998291015625,829.2000122070312,865.0,651.0,849.0,443007,2024-06-03
2024-06-10,820.6251831054688,831.1500244140625,855.0,830.5499877929688,836.7000122070312,197182,2024-06-10
2024-06-17,893.58935546875,905.0499877929688,950.0,830.0,831.1500244140625,1016548,2024-06-17
2024-06-24,919.655029296875,931.4500122070312,964.7999877929688,902.9500122070312,910.0,831527,2024-06-24
2024-07-01,968.9725341796875,981.4000244140625,1018.0,940.0,942.0,1489131,2024-07-01
2024-07-08,1011.4773559570312,1024.449951171875,1083.0,932.0,989.9500122070312,895050,2024-07-08
2024-07-15,907.46142578125,919.0999755859375,1033.300048828125,910.2000122070312,1031.0,402637,2024-07-15
2024-07-22,893.2437744140625,904.7000122070312,944.0499877929688,874.5,919.0999755859375,297667,2024-07-22
2024-07-29,868.9552612304688,880.0999755859375,919.5499877929688,858.5499877929688,905.0,411404,2024-07-29
2024-08-05,787.0062866210938,797.0999755859375,868.2000122070312,791.8499755859375,855.0499877929688,386929,2024-08-05
2024-08-12,748.8950805664062,758.5,825.0,753.0499877929688,801.0,301602,2024-08-12
2024-08-19,789.25,789.25,799.9000244140625,741.5,765.5,473110,2024-08-19
2024-08-26,775.4500122070312,775.4500122070312,820.9000244140625,771.0,795.5,533552,2024-08-26
2024-09-02,750.9000244140625,750.9000244140625,787.9500122070312,733.0999755859375,777.0,359504,2024-09-02
2024-09-09,820.5499877929688,820.5499877929688,829.0,744.2999877929688,752.0,334846,2024-09-09
2024-09-16,852.0499877929688,852.0499877929688,855.7999877929688,797.6500244140625,828.0,395690,2024-09-16
2024-09-23,860.1500244140625,860.1500244140625,887.4000244140625,842.1500244140625,852.0,318483,2024-09-23
2024-09-30,867.4000244140625,867.4000244140625,880.5,840.5,854.3499755859375,206048,2024-09-30
2024-10-07,834.3499755859375,834.3499755859375,902.0,800.0999755859375,871.0499877929688,302127,2024-10-07
2024-10-14,819.4500122070312,819.4500122070312,840.4500122070312,803.5499877929688,839.5,106740,2024-10-14
2024-10-21,735.0,735.0,826.5499877929688,726.7999877929688,823.1500244140625,143920,2024-10-21
2024-10-28,803.8499755859375,803.8499755859375,825.0,715.25,735.0,184357,2024-10-28
2024-11-04,825.5999755859375,825.5999755859375,861.7999877929688,781.9500122070312,802.0,280469,2024-11-04
2024-11-11,764.0,764.0,828.25,742.0499877929688,825.5999755859375,114199,2024-11-11
2024-11-18,769.5499877929688,769.5499877929688,783.0,721.5,764.0,98111,2024-11-18
2024-11-25,902.3499755859375,902.3499755859375,918.5499877929688,765.5499877929688,771.2999877929688,360073,2024-11-25
2024-12-02,946.9000244140625,946.9000244140625,963.0,886.0,902.3499755859375,667735,2024-12-02
2024-12-09,1050.800048828125,1050.800048828125,1075.0,955.0,955.0,1087643,2024-12-09
2024-12-16,1174.550048828125,1174.550048828125,1277.0,1025.8499755859375,1042.0,3475964,2024-12-16
2024-12-23,1147.1500244140625,1147.1500244140625,1229.9000244140625,1115.050048828125,1192.0,319180,2024-12-23
2024-12-30,1160.8499755859375,1160.8499755859375,1194.5,1120.0,1125.050048828125,236154,2024-12-30
2025-01-06,984.25,984.25,1198.0,976.2000122070312,1165.0,316695,2025-01-06
2025-01-13,991.3499755859375,991.3499755859375,1011.0,920.0,960.0,303053,2025-01-13
2025-01-20,929.25,929.25,1030.0,920.0999755859375,991.3499755859375,219094,2025-01-20
2025-01-27,870.7000122070312,870.7000122070312,921.0,818.4000244140625,921.0,221622,2025-01-27
2025-02-03,835.7999877929688,835.7999877929688,868.0,757.5999755859375,868.0,743439,2025-02-03
2025-02-10,770.0999755859375,770.0999755859375,842.0499877929688,750.0,835.7999877929688,253028,2025-02-10
2025-02-17,769.7000122070312,769.7000122070312,801.0499877929688,733.1500244140625,770.0999755859375,373276,2025-02-17
2025-02-24,730.0999755859375,730.0999755859375,778.0,706.0499877929688,760.0,352198,2025-02-24
2025-03-03,802.2000122070312,802.2000122070312,818.0,704.2000122070312,738.2999877929688,759159,2025-03-03
2025-03-10,739.0999755859375,739.0999755859375,809.7999877929688,730.0499877929688,809.7999877929688,189178,2025-03-10
2025-03-17,810.4000244140625,810.4000244140625,818.9500122070312,721.0,725.0,271238,2025-03-17
2025-03-24,764.6500244140625,764.6500244140625,816.3499755859375,750.1500244140625,809.0,281061,2025-03-24
2025-03-31,755.9500122070312,755.9500122070312,801.5,748.0,764.6500244140625,155533,2025-03-31
2025-04-07,729.2999877929688,729.2999877929688,737.0,666.5,705.9500122070312,281691,2025-04-07
2025-04-14,766.4500122070312,766.4500122070312,776.5,729.2999877929688,729.2999877929688,116103,2025-04-14
2025-04-21,735.0999755859375,735.0999755859375,790.0,721.1500244140625,769.7999877929688,273623,2025-04-21
2025-04-28,696.0499877929688,696.0499877929688,747.25,692.5499877929688,724.0,183990,2025-04-28
2025-05-05,718.9500122070312,718.9500122070312,791.0,696.0999755859375,714.2999877929688,1221022,2025-05-05
2025-05-12,812.9000244140625,812.9000244140625,842.4000244140625,733.3499755859375,744.0,693063,2025-05-12
2025-05-19,804.0999755859375,804.0999755859375,840.0,788.4000244140625,812.9000244140625,396920,2025-05-19
2025-05-26,794.7999877929688,794.7999877929688,816.2000122070312,789.2000122070312,810.5,158833,2025-05-26
2025-06-02,795.5999755859375,795.5999755859375,841.4500122070312,783.25,795.0,340863,2025-06-02
2025-06-09,791.5,791.5,830.5,769.5499877929688,801.9500122070312,289822,2025-06-09
2025-06-16,879.3499755859375,879.3499755859375,959.4000244140625,776.4000244140625,795.7999877929688,4979421,2025-06-16
2025-06-23,931.6500244140625,931.6500244140625,949.0,856.0,878.5,1345232,2025-06-23
2025-06-30,959.5499877929688,959.5499877929688,988.7999877929688,909.5,933.2000122070312,1086975,2025-06-30
2025-07-07,910.4500122070312,910.4500122070312,962.5499877929688,907.0,959.5499877929688,277170,2025-07-07
2025-07-14,915.25,915.25,928.2000122070312,900.0,906.5,97927,2025-07-14
