Date,Adj Close_AMBIKCO.NS,Close_AMBIKCO.NS,High_AMBIKCO.NS,Low_AMBIKCO.NS,Open_AMBIKCO.NS,Volume_AMBIKCO.NS,Date
2020-07-13,602.265869140625,669.2999877929688,675.0,650.0,653.5499877929688,9423,2020-07-13
2020-07-20,593.7173461914062,659.7999877929688,675.0,651.6500244140625,671.0,14130,2020-07-20
2020-07-27,590.7929077148438,656.5499877929688,670.0,645.0,661.0999755859375,15043,2020-07-27
2020-08-03,591.9176635742188,657.7999877929688,695.0,644.0,695.0,18118,2020-08-03
2020-08-10,603.7056884765625,670.9000244140625,688.0,650.0,688.0,23430,2020-08-10
2020-08-17,606.4501342773438,673.9500122070312,681.0,664.75,674.8499755859375,60612,2020-08-17
2020-08-24,645.9533081054688,717.8499755859375,775.0,668.0,680.0499877929688,336871,2020-08-24
2020-08-31,614.4137573242188,682.7999877929688,730.0,660.0,730.0,45813,2020-08-31
2020-09-07,622.0175170898438,691.25,708.8499755859375,671.0,708.0,14980,2020-09-07
2020-09-14,626.2018432617188,695.9000244140625,734.9000244140625,691.2999877929688,698.0,114059,2020-09-14
2020-09-21,579.454833984375,643.9500122070312,695.25,606.0999755859375,694.0,43734,2020-09-21
2020-09-28,622.1552734375,676.5,691.0499877929688,642.0499877929688,650.0499877929688,17927,2020-09-28
2020-10-05,650.7568969726562,707.5999755859375,718.7999877929688,679.4500122070312,695.9000244140625,42952,2020-10-05
2020-10-12,655.0792846679688,712.2999877929688,721.5,702.0,718.5,47135,2020-10-12
2020-10-19,665.4255981445312,723.5499877929688,729.2999877929688,709.5999755859375,718.9500122070312,85247,2020-10-19
2020-10-26,642.8477172851562,699.0,724.4000244140625,670.0,724.0499877929688,37910,2020-10-26
2020-11-02,656.27490234375,713.5999755859375,731.0,686.5,716.0,102271,2020-11-02
2020-11-09,651.9524536132812,708.9000244140625,719.0,681.5,707.25,39847,2020-11-09
2020-11-16,660.8732299804688,718.5999755859375,722.5,700.0,705.0999755859375,32844,2020-11-16
2020-11-23,663.540283203125,721.5,730.3499755859375,710.0,718.5499877929688,86922,2020-11-23
2020-11-30,746.0344848632812,811.2000122070312,830.9500122070312,713.0499877929688,721.5,349755,2020-11-30
2020-12-07,757.3004150390625,823.4500122070312,859.75,759.7999877929688,818.0,228174,2020-12-07
2020-12-14,771.4631958007812,838.8499755859375,897.7999877929688,822.9500122070312,825.0,136418,2020-12-14
2020-12-21,739.7347412109375,804.3499755859375,852.0499877929688,757.8499755859375,839.0,73654,2020-12-21
2020-12-28,786.9597778320312,855.7000122070312,869.9500122070312,808.0,817.0,83200,2020-12-28
2021-01-04,930.1978759765625,1011.4500122070312,1030.0,861.0,868.9000244140625,283202,2021-01-04
2021-01-11,963.44384765625,1047.5999755859375,1199.9000244140625,1035.0,1144.0,562492,2021-01-11
2021-01-18,913.322021484375,993.0999755859375,1110.5,980.0499877929688,1051.0,105441,2021-01-18
2021-01-25,913.6898193359375,993.5,1023.0,938.5,1008.0,72959,2021-01-25
2021-02-01,898.9752197265625,977.5,1075.8499755859375,972.0,993.5,94930,2021-02-01
2021-02-08,870.0516967773438,946.0499877929688,995.0,941.9500122070312,995.0,67574,2021-02-08
2021-02-15,895.8943481445312,974.1500244140625,1040.0,940.5499877929688,960.0,186636,2021-02-15
2021-02-22,895.2506103515625,973.4500122070312,1014.9000244140625,940.0,980.0,69578,2021-02-22
2021-03-01,908.3558349609375,987.7000122070312,1010.0,970.4000244140625,998.0,103248,2021-03-01
2021-03-08,898.515380859375,977.0,1010.0,965.4500122070312,1010.0,40806,2021-03-08
2021-03-15,913.597900390625,993.4000244140625,1059.0,966.0,990.0,180812,2021-03-15
2021-03-22,813.8600463867188,884.9500122070312,1000.0,882.0,996.0499877929688,138464,2021-03-22
2021-03-29,837.9092407226562,911.0999755859375,972.0999755859375,882.6500244140625,884.9500122070312,50584,2021-03-29
2021-04-05,852.9458618164062,927.4500122070312,943.9000244140625,871.0,929.0,89243,2021-04-05
2021-04-12,817.078857421875,888.4500122070312,928.7000122070312,860.0499877929688,925.0,54679,2021-04-12
2021-04-19,783.7868041992188,852.25,881.9500122070312,846.0499877929688,881.9500122070312,45648,2021-04-19
2021-04-26,828.4366455078125,900.7999877929688,923.7999877929688,852.25,852.25,49314,2021-04-26
2021-05-03,999.770751953125,1087.0999755859375,1104.5999755859375,876.25,880.0,491628,2021-05-03
2021-05-10,1012.370361328125,1100.800048828125,1224.0,1077.199951171875,1088.0,371430,2021-05-10
2021-05-17,1026.80908203125,1116.5,1178.800048828125,1082.949951171875,1097.199951171875,119628,2021-05-17
2021-05-24,1050.490478515625,1142.25,1169.699951171875,1074.949951171875,1110.0,121748,2021-05-24
2021-05-31,1160.160888671875,1261.5,1324.0,1086.9000244140625,1165.0,651810,2021-05-31
2021-06-07,1131.8349609375,1230.699951171875,1320.550048828125,1223.0,1282.0,490434,2021-06-07
2021-06-14,1075.18359375,1169.0999755859375,1245.0,1143.1500244140625,1240.550048828125,190963,2021-06-14
2021-06-21,1080.885498046875,1175.300048828125,1216.8499755859375,1132.0,1150.0,160617,2021-06-21
2021-06-28,1084.51806640625,1179.25,1192.050048828125,1155.4000244140625,1187.0,85981,2021-06-28
2021-07-05,1135.5137939453125,1234.699951171875,1249.0,1172.300048828125,1180.0,171721,2021-07-05
2021-07-12,1292.17919921875,1405.050048828125,1457.9000244140625,1252.0,1254.0,658463,2021-07-12
2021-07-19,1291.0755615234375,1403.8499755859375,1476.0,1369.949951171875,1398.699951171875,265162,2021-07-19
2021-07-26,1444.843994140625,1571.050048828125,1616.0,1380.0,1400.0,478077,2021-07-26
2021-08-02,1454.7763671875,1581.8499755859375,1732.5,1536.5,1629.0,428619,2021-08-02
2021-08-09,1401.94140625,1524.4000244140625,1625.0,1315.0,1587.0,609493,2021-08-09
2021-08-16,1381.5247802734375,1502.199951171875,1588.0,1452.0999755859375,1534.0,181406,2021-08-16
2021-08-23,1352.8773193359375,1471.050048828125,1527.0,1420.050048828125,1507.9000244140625,117001,2021-08-23
2021-08-30,1403.045166015625,1525.5999755859375,1556.050048828125,1471.0,1506.5999755859375,150942,2021-08-30
2021-09-06,1476.71044921875,1605.699951171875,1667.0,1525.5999755859375,1535.0,297894,2021-09-06
2021-09-13,1474.9171142578125,1603.75,1685.3499755859375,1556.300048828125,1620.0,198047,2021-09-13
2021-09-20,1523.107666015625,1656.1500244140625,1717.0,1555.449951171875,1600.0,201285,2021-09-20
2021-09-27,1707.8917236328125,1816.449951171875,1876.199951171875,1644.9000244140625,1661.0,566892,2021-09-27
