Date,Adj Close_JUNIPER.NS,Close_JUNIPER.NS,High_JUNIPER.NS,Low_JUNIPER.NS,Open_JUNIPER.NS,Volume_JUNIPER.NS,Date
2025-01-13,320.54998779296875,320.54998779296875,326.20001220703125,277.54998779296875,319.0,3077302,2025-01-13
2025-01-20,296.75,296.75,321.8999938964844,295.20001220703125,320.8999938964844,596104,2025-01-20
2025-01-27,308.3500061035156,308.3500061035156,314.04998779296875,272.79998779296875,296.79998779296875,1462428,2025-01-27
2025-02-03,284.75,284.75,307.5,276.70001220703125,304.75,1091052,2025-02-03
2025-02-10,234.0,234.0,288.8500061035156,227.5500030517578,285.1000061035156,3170358,2025-02-10
2025-02-17,255.85000610351562,255.85000610351562,263.1000061035156,224.3000030517578,235.14999389648438,3620583,2025-02-17
2025-02-24,251.8000030517578,251.8000030517578,258.0,235.0500030517578,250.5,1111280,2025-02-24
2025-03-03,278.5,278.5,290.79998779296875,239.4499969482422,253.0,1705592,2025-03-03
2025-03-10,262.20001220703125,262.20001220703125,281.6499938964844,257.04998779296875,280.0,1322970,2025-03-10
2025-03-17,272.79998779296875,272.79998779296875,288.5,258.6000061035156,262.20001220703125,993263,2025-03-17
2025-03-24,250.5,250.5,281.3999938964844,242.39999389648438,273.0,2201976,2025-03-24
2025-03-31,266.6000061035156,266.6000061035156,269.20001220703125,245.25,250.5,576477,2025-03-31
2025-04-07,261.70001220703125,261.70001220703125,265.75,242.0,242.0,740934,2025-04-07
2025-04-14,281.3999938964844,281.3999938964844,296.70001220703125,261.75,268.0,1525653,2025-04-14
2025-04-21,283.1000061035156,283.1000061035156,291.95001220703125,274.5,286.3999938964844,1186492,2025-04-21
2025-04-28,293.8999938964844,293.8999938964844,302.20001220703125,278.5,278.5,705807,2025-04-28
2025-05-05,285.29998779296875,285.29998779296875,296.8999938964844,277.3999938964844,288.5,475336,2025-05-05
2025-05-12,321.95001220703125,321.95001220703125,324.0,291.0,292.0,600525,2025-05-12
2025-05-19,304.95001220703125,304.95001220703125,325.5,290.75,321.0,420086,2025-05-19
2025-05-26,307.54998779296875,307.54998779296875,345.54998779296875,298.75,305.0,1443564,2025-05-26
2025-06-02,308.3500061035156,308.3500061035156,321.8999938964844,303.8500061035156,314.25,387118,2025-06-02
2025-06-09,313.54998779296875,313.54998779296875,326.5,304.70001220703125,308.3500061035156,473705,2025-06-09
2025-06-16,295.0,295.0,326.0,293.04998779296875,312.0,535062,2025-06-16
2025-06-23,281.79998779296875,281.79998779296875,299.79998779296875,279.8999938964844,299.79998779296875,795202,2025-06-23
2025-06-30,294.6000061035156,294.6000061035156,300.0,282.75,283.6000061035156,561994,2025-06-30
2025-07-07,314.45001220703125,314.45001220703125,319.0,293.1000061035156,294.29998779296875,564009,2025-07-07
2025-07-14,318.45001220703125,318.45001220703125,325.0,311.25,319.5,182433,2025-07-14
