Date,Adj Close_JUNIPER.NS,Close_JUNIPER.NS,High_JUNIPER.NS,Low_JUNIPER.NS,Open_JUNIPER.NS,Volume_JUNIPER.NS,Date
2024-02-26,481.8500061035156,481.8500061035156,482.0,365.0,365.0,34614056,2024-02-26
2024-03-04,464.70001220703125,464.70001220703125,481.0,415.8999938964844,481.0,5015736,2024-03-04
2024-03-11,456.5,456.5,480.0,396.25,464.95001220703125,4726423,2024-03-11
2024-03-18,505.45001220703125,505.45001220703125,525.5,443.04998779296875,456.3999938964844,2785146,2024-03-18
2024-03-25,517.5499877929688,517.5499877929688,522.0499877929688,452.79998779296875,505.45001220703125,2415245,2024-03-25
2024-04-01,522.3499755859375,522.3499755859375,538.25,492.0,521.4000244140625,3803021,2024-04-01
2024-04-08,483.95001220703125,483.95001220703125,532.0,480.0,532.0,3050886,2024-04-08
2024-04-15,467.79998779296875,467.79998779296875,481.45001220703125,450.1000061035156,470.3500061035156,1146365,2024-04-15
2024-04-22,473.20001220703125,473.20001220703125,486.0,461.04998779296875,471.95001220703125,711643,2024-04-22
2024-04-29,467.1499938964844,467.1499938964844,499.8500061035156,435.5,477.79998779296875,1657381,2024-04-29
2024-05-06,471.29998779296875,471.29998779296875,494.0,451.54998779296875,473.95001220703125,1462516,2024-05-06
2024-05-13,461.04998779296875,461.04998779296875,472.95001220703125,452.29998779296875,466.79998779296875,835133,2024-05-13
2024-05-20,435.20001220703125,435.20001220703125,460.95001220703125,430.0,459.45001220703125,1294665,2024-05-20
2024-05-27,433.0,433.0,457.54998779296875,418.0,434.8500061035156,3466821,2024-05-27
2024-06-03,434.29998779296875,434.29998779296875,454.79998779296875,376.5,454.70001220703125,1129273,2024-06-03
2024-06-10,447.1000061035156,447.1000061035156,455.29998779296875,418.79998779296875,434.29998779296875,756829,2024-06-10
2024-06-17,453.54998779296875,453.54998779296875,492.0,447.1000061035156,447.1000061035156,1365664,2024-06-17
2024-06-24,423.3500061035156,423.3500061035156,455.45001220703125,411.3999938964844,454.0,985677,2024-06-24
2024-07-01,463.29998779296875,463.29998779296875,474.29998779296875,418.20001220703125,424.8999938964844,1130361,2024-07-01
2024-07-08,455.0,455.0,471.8999938964844,446.29998779296875,463.29998779296875,335759,2024-07-08
2024-07-15,407.1499938964844,407.1499938964844,457.8999938964844,400.0,457.8999938964844,570791,2024-07-15
2024-07-22,428.29998779296875,428.29998779296875,431.70001220703125,404.29998779296875,413.54998779296875,1275622,2024-07-22
2024-07-29,420.3999938964844,420.3999938964844,439.95001220703125,412.0,428.29998779296875,1882714,2024-07-29
2024-08-05,420.25,420.25,423.5,388.25,407.0,768612,2024-08-05
2024-08-12,389.6499938964844,389.6499938964844,444.79998779296875,381.8500061035156,417.0,637039,2024-08-12
2024-08-19,395.3999938964844,395.3999938964844,412.95001220703125,378.0,393.95001220703125,688999,2024-08-19
2024-08-26,406.70001220703125,406.70001220703125,411.75,378.04998779296875,394.54998779296875,990728,2024-08-26
2024-09-02,394.8500061035156,394.8500061035156,424.6000061035156,393.1000061035156,415.0,884970,2024-09-02
2024-09-09,384.6000061035156,384.6000061035156,402.8999938964844,382.95001220703125,391.1000061035156,424144,2024-09-09
2024-09-16,370.8999938964844,370.8999938964844,388.45001220703125,364.1000061035156,388.45001220703125,758811,2024-09-16
2024-09-23,368.0,368.0,380.0,356.45001220703125,375.0,879106,2024-09-23
2024-09-30,361.3999938964844,361.3999938964844,368.6499938964844,355.0,364.75,694519,2024-09-30
2024-10-07,384.1000061035156,384.1000061035156,389.0,342.0,361.5,520175,2024-10-07
2024-10-14,379.45001220703125,379.45001220703125,397.6000061035156,376.79998779296875,390.0,592345,2024-10-14
2024-10-21,329.79998779296875,329.79998779296875,379.45001220703125,324.04998779296875,379.45001220703125,429704,2024-10-21
2024-10-28,341.20001220703125,341.20001220703125,342.8500061035156,306.0,330.8500061035156,941862,2024-10-28
2024-11-04,349.25,349.25,352.8999938964844,322.6499938964844,340.5,346668,2024-11-04
2024-11-11,327.20001220703125,327.20001220703125,370.0,311.5,343.45001220703125,1006255,2024-11-11
2024-11-18,311.3999938964844,311.3999938964844,331.3500061035156,306.0,329.95001220703125,907218,2024-11-18
2024-11-25,358.8999938964844,358.8999938964844,367.6499938964844,310.04998779296875,314.54998779296875,1047806,2024-11-25
2024-12-02,376.20001220703125,376.20001220703125,398.0,352.95001220703125,353.75,2065760,2024-12-02
2024-12-09,359.20001220703125,359.20001220703125,381.95001220703125,350.04998779296875,379.79998779296875,643025,2024-12-09
2024-12-16,349.1499938964844,349.1499938964844,367.79998779296875,342.0,359.3999938964844,676818,2024-12-16
2024-12-23,345.25,345.25,353.79998779296875,335.29998779296875,350.04998779296875,275968,2024-12-23
2024-12-30,363.75,363.75,372.0,334.6000061035156,347.0,981953,2024-12-30
2025-01-06,319.45001220703125,319.45001220703125,362.8999938964844,316.79998779296875,357.5,1120207,2025-01-06
