Date,Adj Close_SMSPHARMA.NS,Close_SMSPHARMA.NS,High_SMSPHARMA.NS,Low_SMSPHARMA.NS,Open_SMSPHARMA.NS,Volume_SMSPHARMA.NS,Date
2020-07-13,69.72758483886719,70.3499984741211,73.55000305175781,66.1500015258789,71.94999694824219,1102974,2020-07-13
2020-07-20,77.16122436523438,77.8499984741211,80.4000015258789,68.25,71.5,5278635,2020-07-20
2020-07-27,74.48511505126953,75.1500015258789,79.9000015258789,74.0,79.9000015258789,2583202,2020-07-27
2020-08-03,84.7931137084961,85.55000305175781,94.30000305175781,74.0,75.30000305175781,11060557,2020-08-03
2020-08-10,94.10993194580078,94.94999694824219,100.94999694824219,86.0,86.0999984741211,9108080,2020-08-10
2020-08-17,93.01966857910156,93.8499984741211,96.80000305175781,91.0,96.44999694824219,2544954,2020-08-17
2020-08-24,88.8568344116211,89.6500015258789,95.25,87.9000015258789,93.8499984741211,1377655,2020-08-24
2020-08-31,84.59486389160156,85.3499984741211,90.0,79.0999984741211,90.0,1326274,2020-08-31
2020-09-07,82.41433715820312,83.1500015258789,86.19999694824219,79.0,86.19999694824219,800566,2020-09-07
2020-09-14,97.13294982910156,98.0,101.69999694824219,83.5,84.9000015258789,5529690,2020-09-14
2020-09-21,87.32054901123047,88.0999984741211,100.0,84.80000305175781,99.1500015258789,1917496,2020-09-21
2020-09-28,88.80726623535156,89.5999984741211,93.05000305175781,87.94999694824219,89.9000015258789,894300,2020-09-28
2020-10-05,90.7895736694336,91.5999984741211,96.44999694824219,85.9000015258789,89.0999984741211,1812117,2020-10-05
2020-10-12,86.87452697753906,87.6500015258789,94.19999694824219,86.0,92.25,724727,2020-10-12
2020-10-19,87.22142791748047,88.0,94.69999694824219,87.0999984741211,88.05000305175781,957860,2020-10-19
2020-10-26,82.26567077636719,83.0,89.9000015258789,81.69999694824219,88.80000305175781,355006,2020-10-26
2020-11-02,82.16654968261719,82.9000015258789,84.4000015258789,80.9000015258789,83.19999694824219,418511,2020-11-02
2020-11-09,84.54531860351562,85.30000305175781,88.05000305175781,81.8499984741211,83.0,758279,2020-11-09
2020-11-16,82.46389770507812,83.19999694824219,86.0,80.80000305175781,84.3499984741211,325116,2020-11-16
2020-11-23,87.5683364868164,88.3499984741211,89.0,80.4000015258789,85.6500015258789,1788858,2020-11-23
2020-11-30,94.75418853759766,95.5999984741211,96.30000305175781,88.3499984741211,88.3499984741211,1236552,2020-11-30
2020-12-07,96.68693542480469,97.55000305175781,101.5999984741211,93.5999984741211,97.0999984741211,4117257,2020-12-07
2020-12-14,103.3276596069336,104.25,114.4000015258789,92.6500015258789,97.9000015258789,3451320,2020-12-14
2020-12-21,105.21085357666016,106.1500015258789,116.5,98.0999984741211,104.0,1578872,2020-12-21
2020-12-28,117.69937896728516,118.75,120.69999694824219,105.19999694824219,106.1500015258789,2960783,2020-12-28
2021-01-04,120.8215103149414,121.9000015258789,129.8000030517578,119.5,119.9000015258789,1774071,2021-01-04
2021-01-11,118.6409683227539,119.69999694824219,124.0,115.6500015258789,121.9000015258789,848202,2021-01-11
2021-01-18,113.53653717041016,114.55000305175781,119.94999694824219,111.0,119.75,471916,2021-01-18
2021-01-25,114.4285659790039,115.44999694824219,118.44999694824219,110.0999984741211,115.44999694824219,450181,2021-01-25
2021-02-01,122.55601501464844,123.6500015258789,124.6500015258789,114.05000305175781,116.5999984741211,889407,2021-02-01
2021-02-08,131.17904663085938,132.35000610351562,141.5,123.9000015258789,123.9000015258789,2205948,2021-02-08
2021-02-15,124.7861099243164,125.9000015258789,136.4499969482422,124.5,133.39999389648438,659927,2021-02-15
2021-02-22,130.28700256347656,131.4499969482422,145.0,119.75,126.5,655749,2021-02-22
2021-03-01,130.08877563476562,131.25,136.89999389648438,130.0,132.0,680250,2021-03-01
2021-03-08,127.90824890136719,129.0500030517578,133.75,126.80000305175781,132.39999389648438,322311,2021-03-08
2021-03-15,123.64627838134766,124.75,133.0,118.0,129.9499969482422,412692,2021-03-15
2021-03-22,122.25867462158203,123.3499984741211,127.3499984741211,118.25,125.0,429227,2021-03-22
2021-03-29,123.74539947509766,124.8499984741211,126.9000015258789,122.25,123.3499984741211,147239,2021-03-29
2021-04-05,146.0958709716797,147.39999389648438,149.89999389648438,123.4000015258789,126.9000015258789,2163660,2021-04-05
2021-04-12,139.35606384277344,140.60000610351562,148.0,135.64999389648438,146.89999389648438,667101,2021-04-12
2021-04-19,149.76316833496094,151.10000610351562,159.8000030517578,122.30000305175781,139.0,2543586,2021-04-19
2021-04-26,148.97023010253906,150.3000030517578,162.0,148.10000610351562,154.10000610351562,1892968,2021-04-26
2021-05-03,153.77731323242188,155.14999389648438,163.9499969482422,145.14999389648438,148.0,2026174,2021-05-03
2021-05-10,149.36671447753906,150.6999969482422,159.6999969482422,150.14999389648438,155.5,707954,2021-05-10
2021-05-17,151.84457397460938,153.1999969482422,155.14999389648438,146.0,150.4499969482422,612664,2021-05-17
2021-05-24,163.58973693847656,165.0500030517578,175.0,155.1999969482422,155.85000610351562,2569097,2021-05-24
2021-05-31,159.32778930664062,160.75,173.25,154.85000610351562,172.0,1128121,2021-05-31
2021-06-07,180.2906494140625,181.89999389648438,187.3000030517578,157.0,164.0,3620545,2021-06-07
2021-06-14,169.1401824951172,170.64999389648438,187.25,165.0500030517578,181.9499969482422,925526,2021-06-14
2021-06-21,172.0145263671875,173.5500030517578,187.89999389648438,167.85000610351562,171.9499969482422,869376,2021-06-21
2021-06-28,179.84463500976562,181.4499969482422,187.4499969482422,172.10000610351562,174.0,967225,2021-06-28
2021-07-05,175.73135375976562,177.3000030517578,184.5,174.5,183.85000610351562,625791,2021-07-05
2021-07-12,180.53843688964844,182.14999389648438,187.35000610351562,173.85000610351562,179.9499969482422,854995,2021-07-12
2021-07-19,185.54376220703125,187.1999969482422,196.89999389648438,180.14999389648438,180.14999389648438,2476449,2021-07-19
2021-07-26,173.3525848388672,174.89999389648438,189.5,174.3000030517578,187.39999389648438,793866,2021-07-26
2021-08-02,191.24290466308594,192.9499969482422,198.8000030517578,175.35000610351562,175.35000610351562,1782905,2021-08-02
2021-08-09,179.2994842529297,180.89999389648438,194.60000610351562,171.0500030517578,192.9499969482422,909728,2021-08-09
2021-08-16,167.60391235351562,169.10000610351562,183.0,168.0,181.39999389648438,311506,2021-08-16
2021-08-23,167.50479125976562,169.0,174.60000610351562,162.89999389648438,169.3000030517578,321372,2021-08-23
2021-08-30,169.1401824951172,170.64999389648438,178.85000610351562,167.75,170.5,269452,2021-08-30
2021-09-06,161.26051330566406,162.6999969482422,175.14999389648438,162.4499969482422,173.0,368216,2021-09-06
2021-09-13,159.0800018310547,160.5,166.35000610351562,158.64999389648438,162.0500030517578,506752,2021-09-13
2021-09-20,150.90298461914062,152.25,161.9499969482422,150.64999389648438,161.9499969482422,390709,2021-09-20
2021-09-27,151.00045776367188,152.0500030517578,158.64999389648438,147.0500030517578,152.25,976565,2021-09-27
