Date,Adj Close_SOFTTECH.NS,Close_SOFTTECH.NS,High_SOFTTECH.NS,Low_SOFTTECH.NS,Open_SOFTTECH.NS,Volume_SOFTTECH.NS,Date
2020-07-13,43.79999923706055,43.79999923706055,43.79999923706055,36.20000076293945,38.5,19200,2020-07-13
2020-07-20,43.0,43.0,49.0,43.0,44.0,28800,2020-07-20
2020-07-27,42.95000076293945,42.95000076293945,45.0,38.95000076293945,45.0,81600,2020-07-27
2020-08-03,51.650001525878906,51.650001525878906,51.650001525878906,44.95000076293945,44.95000076293945,14400,2020-08-03
2020-08-10,61.79999923706055,61.79999923706055,61.79999923706055,54.20000076293945,54.20000076293945,44800,2020-08-10
2020-08-17,59.150001525878906,59.150001525878906,61.79999923706055,58.75,59.5,12800,2020-08-17
2020-08-24,57.95000076293945,57.95000076293945,59.0,51.79999923706055,59.0,60800,2020-08-24
2020-08-31,57.95000076293945,57.95000076293945,61.95000076293945,57.400001525878906,60.5,36800,2020-08-31
2020-09-07,62.0,62.0,62.95000076293945,59.5,60.0,43200,2020-09-07
2020-09-14,61.5,61.5,62.0,57.0,61.95000076293945,83200,2020-09-14
2020-09-21,62.650001525878906,62.650001525878906,63.75,58.45000076293945,61.45000076293945,54400,2020-09-21
2020-09-28,64.5999984741211,64.5999984741211,64.94999694824219,63.0,63.0,33600,2020-09-28
2020-10-05,68.19999694824219,68.19999694824219,68.19999694824219,63.0,64.0,70400,2020-10-05
2020-10-12,79.80000305175781,79.80000305175781,79.80000305175781,67.05000305175781,67.05000305175781,123200,2020-10-12
2020-10-19,77.3499984741211,77.3499984741211,82.80000305175781,77.30000305175781,79.80000305175781,52800,2020-10-19
2020-10-26,79.94999694824219,79.94999694824219,81.0,73.0999984741211,78.44999694824219,36800,2020-10-26
2020-11-02,82.5999984741211,82.5999984741211,84.0,79.94999694824219,79.94999694824219,14400,2020-11-02
2020-11-09,78.5,78.5,82.5999984741211,78.5,82.5999984741211,3200,2020-11-09
2020-11-16,84.0,84.0,84.0,74.5999984741211,78.5,54400,2020-11-16
2020-11-23,85.8499984741211,85.8499984741211,86.94999694824219,80.4000015258789,81.5,25600,2020-11-23
2020-11-30,87.5,87.5,88.0,81.80000305175781,85.8499984741211,36800,2020-11-30
2020-12-07,81.1500015258789,81.1500015258789,87.5,78.0,87.5,22400,2020-12-07
2020-12-14,81.9000015258789,81.9000015258789,85.94999694824219,79.6500015258789,83.8499984741211,36800,2020-12-14
