Date,Adj Close_KPRMILL.NS,Close_KPRMILL.NS,High_KPRMILL.NS,Low_KPRMILL.NS,Open_KPRMILL.NS,Volume_KPRMILL.NS,Date
2020-07-13,86.79905700683594,88.68000030517578,92.80999755859375,88.2300033569336,91.0999984741211,83770,2020-07-13
2020-07-20,85.8985824584961,87.76000213623047,90.95999908447266,87.22000122070312,88.98999786376953,334445,2020-07-20
2020-07-27,82.081298828125,83.86000061035156,89.02999877929688,83.0199966430664,88.69999694824219,394675,2020-07-27
2020-08-03,89.7647933959961,91.70999908447266,93.0,83.0,84.19999694824219,1415400,2020-08-03
2020-08-10,105.15137481689453,107.43000030517578,114.77999877929688,88.01000213623047,92.0,2979055,2020-08-10
2020-08-17,106.3161392211914,108.62000274658203,119.22000122070312,103.63999938964844,108.0,2159930,2020-08-17
2020-08-24,110.70111083984375,113.0999984741211,116.37999725341797,108.80000305175781,108.80000305175781,813655,2020-08-24
2020-08-31,108.06816864013672,110.41000366210938,135.72000122070312,107.19999694824219,135.72000122070312,1059300,2020-08-31
2020-09-07,113.1382827758789,115.58999633789062,119.98999786376953,110.41999816894531,111.0,1572835,2020-09-07
2020-09-14,124.67822265625,127.37999725341797,139.0,115.61000061035156,116.19999694824219,4091695,2020-09-14
2020-09-21,119.92279052734375,122.37000274658203,131.0,115.5999984741211,127.9800033569336,1490750,2020-09-21
2020-09-28,129.4484100341797,132.08999633789062,135.97999572753906,119.0199966430664,124.19999694824219,2386060,2020-09-28
2020-10-05,130.46763610839844,133.1300048828125,135.19000244140625,128.00999450683594,133.0,1682605,2020-10-05
2020-10-12,124.93061828613281,127.4800033569336,135.1999969482422,127.0,134.3800048828125,1098560,2020-10-12
2020-10-19,134.11325073242188,136.85000610351562,139.89999389648438,125.22000122070312,129.00999450683594,1087170,2020-10-19
2020-10-26,144.84425354003906,147.8000030517578,156.8000030517578,130.10000610351562,137.60000610351562,4315580,2020-10-26
2020-11-02,149.4894561767578,152.5399932861328,154.97000122070312,145.0,151.0,1774685,2020-11-02
2020-11-09,163.2192840576172,166.5500030517578,168.8000030517578,152.0500030517578,156.0,1985000,2020-11-09
2020-11-16,158.3192596435547,161.5500030517578,167.8000030517578,156.52000427246094,162.61000061035156,1822475,2020-11-16
2020-11-23,157.87826538085938,161.10000610351562,163.60000610351562,155.8000030517578,161.5500030517578,521055,2020-11-23
2020-11-30,157.43727111816406,160.64999389648438,163.32000732421875,150.25,161.10000610351562,1193655,2020-11-30
2020-12-07,170.0792999267578,173.5500030517578,179.49000549316406,161.99000549316406,162.0,2194805,2020-12-07
2020-12-14,181.13369750976562,184.8300018310547,190.8000030517578,168.5500030517578,175.7899932861328,2614395,2020-12-14
2020-12-21,171.54928588867188,175.0500030517578,190.0,160.22000122070312,190.0,3306175,2020-12-21
2020-12-28,171.10829162597656,174.60000610351562,178.39999389648438,170.0,177.39999389648438,751290,2020-12-28
2021-01-04,187.70953369140625,191.5399932861328,196.0,169.75999450683594,176.0,2599335,2021-01-04
2021-01-11,182.3587188720703,186.0800018310547,200.0,185.1999969482422,195.17999267578125,968245,2021-01-11
2021-01-18,176.2434844970703,179.83999633789062,185.0,175.38999938964844,185.0,661230,2021-01-18
2021-01-25,179.27171325683594,182.92999267578125,190.0,177.86000061035156,181.60000610351562,1331315,2021-01-25
2021-02-01,180.59471130371094,184.27999877929688,190.74000549316406,179.75,182.92999267578125,2243020,2021-02-01
2021-02-08,180.0262908935547,183.6999969482422,189.5800018310547,181.27000427246094,186.19000244140625,628910,2021-02-08
2021-02-15,181.19174194335938,184.14999389648438,189.39999389648438,179.5800018310547,185.33999633789062,888155,2021-02-15
2021-02-22,182.2937469482422,185.27000427246094,188.0,166.0399932861328,184.14999389648438,645440,2021-02-22
2021-03-01,193.8943328857422,197.05999755859375,203.7899932861328,184.47999572753906,186.6999969482422,2406995,2021-03-01
2021-03-08,216.60357666015625,220.13999938964844,224.0,194.02000427246094,199.0,1579655,2021-03-08
2021-03-15,220.4212188720703,224.02000427246094,230.0,191.6199951171875,223.8000030517578,2318020,2021-03-15
2021-03-22,202.425048828125,205.72999572753906,228.0,202.17999267578125,228.0,1473745,2021-03-22
2021-03-29,208.8206329345703,212.22999572753906,220.0,204.39999389648438,205.72999572753906,1143900,2021-03-29
2021-04-05,216.0919189453125,219.6199951171875,227.36000061035156,206.39999389648438,211.39999389648438,1026890,2021-04-05
2021-04-12,233.6748504638672,237.49000549316406,255.60000610351562,213.0500030517578,217.97999572753906,3216660,2021-04-12
2021-04-19,239.67684936523438,243.58999633789062,258.989990234375,233.02000427246094,236.0,2673425,2021-04-19
2021-04-26,271.06439208984375,275.489990234375,284.94000244140625,243.58999633789062,243.58999633789062,4891790,2021-04-26
2021-05-03,282.2124328613281,286.82000732421875,326.25,280.0,281.79998779296875,3576195,2021-05-03
2021-05-10,287.6732177734375,292.3699951171875,306.0,290.0,291.0,1192880,2021-05-10
2021-05-17,285.5184020996094,290.17999267578125,305.79998779296875,280.67999267578125,294.0,974525,2021-05-17
2021-05-24,313.786865234375,318.9100036621094,324.9700012207031,290.20001220703125,294.7799987792969,2032025,2021-05-24
2021-05-31,302.2945251464844,307.2300109863281,324.0,303.3999938964844,320.0,1072990,2021-05-31
2021-06-07,306.9780578613281,311.989990234375,339.0,310.0,312.0,1695105,2021-06-07
2021-06-14,301.9796447753906,306.9100036621094,320.0,297.0,312.79998779296875,1340525,2021-06-14
2021-06-21,298.6539611816406,303.5299987792969,317.989990234375,297.989990234375,303.1000061035156,562090,2021-06-21
2021-06-28,302.1961364746094,307.1300048828125,311.8999938964844,302.0,306.5899963378906,437865,2021-06-28
2021-07-05,351.96356201171875,357.7099914550781,372.95001220703125,307.7900085449219,310.1400146484375,4145930,2021-07-05
2021-07-12,365.59112548828125,371.55999755859375,380.6000061035156,356.0,360.94000244140625,2705925,2021-07-12
2021-07-19,363.27886962890625,369.2099914550781,376.0,352.0,372.0,1048425,2021-07-19
2021-07-26,370.5501403808594,376.6000061035156,417.0,362.0,369.3999938964844,3783405,2021-07-26
2021-08-02,386.6177673339844,392.92999267578125,404.0,380.0,384.0,1410645,2021-08-02
2021-08-09,356.71600341796875,362.5400085449219,399.6000061035156,344.0,399.6000061035156,1609550,2021-08-09
2021-08-16,345.23345947265625,350.8699951171875,370.6000061035156,347.9800109863281,363.0,750365,2021-08-16
2021-08-23,337.9326477050781,343.45001220703125,361.0,330.2300109863281,350.8800048828125,903615,2021-08-23
