Date,Adj Close_WINDLAS.NS,Close_WINDLAS.NS,High_WINDLAS.NS,Low_WINDLAS.NS,Open_WINDLAS.NS,Volume_WINDLAS.NS,Date
2021-08-16,355.3927307128906,366.70001220703125,452.0,364.0,437.0,6997918,2021-08-16
2021-08-23,337.26934814453125,348.0,376.0,332.04998779296875,369.25,2118252,2021-08-23
2021-08-30,380.009521484375,392.1000061035156,404.79998779296875,349.25,351.70001220703125,2618439,2021-08-30
2021-09-06,373.85528564453125,385.75,411.1000061035156,384.04998779296875,392.0,1068389,2021-09-06
2021-09-13,373.0799865722656,384.95001220703125,389.8999938964844,367.0,376.0,1219823,2021-09-13
2021-09-20,363.8729248046875,375.45001220703125,389.0,365.79998779296875,379.5,633422,2021-09-20
2021-09-27,347.3971252441406,358.45001220703125,382.0,357.0,376.75,530497,2021-09-27
2021-10-04,348.6085510253906,359.70001220703125,384.0,355.54998779296875,359.8999938964844,403836,2021-10-04
2021-10-11,336.3001708984375,347.0,362.6000061035156,345.0,360.20001220703125,294557,2021-10-11
2021-10-18,317.0137939453125,327.1000061035156,354.8999938964844,326.0,349.0,485391,2021-10-18
2021-10-25,298.8904113769531,308.3999938964844,328.79998779296875,307.1000061035156,326.0,420365,2021-10-25
2021-11-01,296.37060546875,305.79998779296875,324.0,305.0,311.0,362393,2021-11-01
2021-11-08,292.20318603515625,301.5,313.0,301.04998779296875,310.3999938964844,352821,2021-11-08
2021-11-15,285.70977783203125,294.79998779296875,306.70001220703125,291.54998779296875,304.0,385995,2021-11-15
2021-11-22,285.1767272949219,294.25,310.70001220703125,277.0,292.54998779296875,394401,2021-11-22
2021-11-29,271.80230712890625,280.45001220703125,298.5,280.0,298.5,242342,2021-11-29
2021-12-06,279.894775390625,288.79998779296875,295.45001220703125,279.54998779296875,281.04998779296875,317471,2021-12-06
2021-12-13,265.9388122558594,274.3999938964844,291.20001220703125,273.3999938964844,289.1000061035156,237847,2021-12-13
2021-12-20,257.8947448730469,266.1000061035156,273.95001220703125,258.04998779296875,273.0,259403,2021-12-20
2021-12-27,267.4410400390625,275.95001220703125,290.75,260.6000061035156,267.8999938964844,702918,2021-12-27
2022-01-03,261.62603759765625,269.95001220703125,281.0,269.5,273.0,315444,2022-01-03
2022-01-10,264.77581787109375,273.20001220703125,281.20001220703125,268.0,273.8999938964844,281053,2022-01-10
2022-01-17,262.9344177246094,271.29998779296875,288.20001220703125,270.5,273.0,303632,2022-01-17
2022-01-24,249.17227172851562,257.1000061035156,274.0,255.3000030517578,274.0,172044,2022-01-24
2022-01-31,266.5687561035156,275.04998779296875,279.0,259.0,259.0,573052,2022-01-31
2022-02-07,281.1062316894531,290.04998779296875,292.79998779296875,274.0,275.04998779296875,445253,2022-02-07
