Date,Adj Close_ECOSMOBLTY.NS,Close_ECOSMOBLTY.NS,High_ECOSMOBLTY.NS,Low_ECOSMOBLTY.NS,Open_ECOSMOBLTY.NS,Volume_ECOSMOBLTY.NS,Date
2024-09-02,438.95001220703125,438.95001220703125,489.0,380.0,390.0,47856241,2024-09-02
2024-09-09,496.1000061035156,496.1000061035156,524.6500244140625,412.04998779296875,439.70001220703125,20918238,2024-09-09
2024-09-16,506.6499938964844,506.6499938964844,593.7000122070312,479.0,497.1499938964844,17898380,2024-09-16
2024-09-23,460.29998779296875,460.29998779296875,526.3499755859375,453.8500061035156,511.3500061035156,3825383,2024-09-23
2024-09-30,475.6499938964844,475.6499938964844,483.54998779296875,440.04998779296875,459.0,2623253,2024-09-30
2024-10-07,471.3999938964844,471.3999938964844,494.79998779296875,452.54998779296875,475.0,1717980,2024-10-07
2024-10-14,445.3500061035156,445.3500061035156,476.3999938964844,433.04998779296875,474.0,667286,2024-10-14
2024-10-21,371.25,371.25,448.8999938964844,368.0,444.3999938964844,1792322,2024-10-21
2024-10-28,402.6000061035156,402.6000061035156,405.95001220703125,357.8500061035156,377.70001220703125,991439,2024-10-28
2024-11-04,411.45001220703125,411.45001220703125,436.5,384.3500061035156,403.6499938964844,1007180,2024-11-04
2024-11-11,350.6000061035156,350.6000061035156,433.5,348.5,411.8999938964844,1164532,2024-11-11
2024-11-18,330.75,330.75,358.20001220703125,322.6499938964844,354.45001220703125,1169701,2024-11-18
2024-11-25,341.6000061035156,341.6000061035156,354.6499938964844,324.04998779296875,337.45001220703125,1578316,2024-11-25
2024-12-02,336.29998779296875,336.29998779296875,352.75,327.6499938964844,336.5,1963713,2024-12-02
2024-12-09,315.8500061035156,315.8500061035156,344.0,312.0,338.95001220703125,958459,2024-12-09
2024-12-16,292.54998779296875,292.54998779296875,319.95001220703125,291.04998779296875,316.6499938964844,964353,2024-12-16
2024-12-23,285.75,285.75,299.20001220703125,278.20001220703125,293.95001220703125,566646,2024-12-23
2024-12-30,286.8500061035156,286.8500061035156,296.8999938964844,275.29998779296875,286.8999938964844,468001,2024-12-30
2025-01-06,251.14999389648438,251.14999389648438,287.8999938964844,249.10000610351562,287.0,669994,2025-01-06
2025-01-13,252.64999389648438,252.64999389648438,265.54998779296875,234.25,248.35000610351562,593482,2025-01-13
2025-01-20,228.1999969482422,228.1999969482422,288.25,226.0,256.45001220703125,1818155,2025-01-20
2025-01-27,243.25,243.25,252.00999450683594,215.0,230.0,771090,2025-01-27
2025-02-03,269.4100036621094,269.4100036621094,303.92999267578125,236.0500030517578,242.60000610351562,1907477,2025-02-03
2025-02-10,209.64999389648438,209.64999389648438,286.010009765625,207.0,272.20001220703125,1318815,2025-02-10
2025-02-17,186.52000427246094,186.52000427246094,213.5,175.35000610351562,213.5,2031880,2025-02-17
2025-02-24,178.9499969482422,178.9499969482422,188.0,171.33999633789062,182.5,1091566,2025-02-24
2025-03-03,196.61000061035156,196.61000061035156,205.8000030517578,167.11000061035156,181.64999389648438,1957319,2025-03-03
2025-03-10,184.85000610351562,184.85000610351562,202.39999389648438,184.10000610351562,199.0,436677,2025-03-10
2025-03-17,204.9199981689453,204.9199981689453,211.10000610351562,182.86000061035156,187.7899932861328,945403,2025-03-17
2025-03-24,191.0399932861328,191.0399932861328,214.41000366210938,187.97999572753906,209.39999389648438,1376314,2025-03-24
2025-03-31,191.39999389648438,191.39999389648438,205.0,187.00999450683594,191.0399932861328,1062903,2025-03-31
2025-04-07,192.3300018310547,192.3300018310547,196.1199951171875,165.0,170.07000732421875,466651,2025-04-07
2025-04-14,196.6999969482422,196.6999969482422,204.1300048828125,192.3300018310547,192.3300018310547,760356,2025-04-14
2025-04-21,197.1999969482422,197.1999969482422,210.99000549316406,191.1199951171875,196.6999969482422,1062147,2025-04-21
2025-04-28,189.80999755859375,189.80999755859375,204.6699981689453,188.5399932861328,196.0,406969,2025-04-28
2025-05-05,188.8800048828125,188.8800048828125,195.89999389648438,183.11000061035156,190.61000061035156,601217,2025-05-05
2025-05-12,222.5399932861328,222.5399932861328,224.5,196.0,196.0,1461700,2025-05-12
2025-05-19,272.6600036621094,272.6600036621094,286.8999938964844,215.0,223.0,9810954,2025-05-19
2025-05-26,285.4599914550781,285.4599914550781,300.0,272.25,272.70001220703125,1820302,2025-05-26
2025-06-02,287.8999938964844,287.8999938964844,295.95001220703125,277.3999938964844,284.8500061035156,813582,2025-06-02
2025-06-09,297.8500061035156,297.8500061035156,329.79998779296875,290.79998779296875,294.20001220703125,1354759,2025-06-09
2025-06-16,289.70001220703125,289.70001220703125,299.45001220703125,272.29998779296875,296.0,632776,2025-06-16
2025-06-23,306.8500061035156,306.8500061035156,319.3999938964844,285.25,288.0,1223894,2025-06-23
2025-06-30,301.20001220703125,301.20001220703125,323.8999938964844,299.0,306.25,881749,2025-06-30
2025-07-07,297.3500061035156,297.3500061035156,324.5,289.20001220703125,301.0,2052275,2025-07-07
2025-07-14,309.54998779296875,309.54998779296875,313.0,291.54998779296875,296.45001220703125,553119,2025-07-14
