Date,Adj Close_APOLSINHOT.NS,Close_APOLSINHOT.NS,High_APOLSINHOT.NS,Low_APOLSINHOT.NS,Open_APOLSINHOT.NS,Volume_APOLSINHOT.NS,Date
2020-07-13,450.68994140625,454.95001220703125,511.0,449.8999938964844,503.6499938964844,13416,2020-07-13
2020-07-20,528.1576538085938,533.1500244140625,548.0,451.1000061035156,468.0,17354,2020-07-20
2020-07-27,506.4132385253906,511.20001220703125,567.0,497.0,567.0,8561,2020-07-27
2020-08-03,521.6689453125,526.5999755859375,561.25,472.6499938964844,513.0,8725,2020-08-03
2020-08-10,497.05169677734375,501.75,558.0,487.1499938964844,547.8499755859375,11071,2020-08-10
2020-08-17,613.40185546875,619.2000122070312,704.6500244140625,500.54998779296875,509.95001220703125,99166,2020-08-17
2020-08-24,596.8582763671875,602.5,650.0,599.0999755859375,619.2000122070312,7736,2020-08-24
2020-08-31,571.5970458984375,577.0,630.0,566.2000122070312,605.0,5667,2020-08-31
2020-09-07,581.3052368164062,586.7999877929688,624.5,544.0,586.0,5182,2020-09-07
2020-09-14,557.5427856445312,560.7999877929688,596.0,553.0,586.4500122070312,5215,2020-09-14
2020-09-21,524.1876220703125,527.25,557.0499877929688,460.0,557.0499877929688,5279,2020-09-21
2020-09-28,509.22509765625,512.2000122070312,548.9500122070312,502.6499938964844,527.25,2855,2020-09-28
2020-10-05,509.9210510253906,512.9000244140625,532.5,500.5,530.0,3468,2020-10-05
2020-10-12,581.6519165039062,585.0499877929688,684.0,490.0,505.04998779296875,59187,2020-10-12
2020-10-19,601.734619140625,605.25,634.0,521.75,585.0499877929688,15598,2020-10-19
2020-10-26,609.9863891601562,613.5499877929688,644.0,562.1500244140625,610.0,22238,2020-10-26
2020-11-02,583.5906372070312,587.0,631.0,570.7000122070312,610.2999877929688,7810,2020-11-02
2020-11-09,598.3543090820312,601.8499755859375,630.0,577.1500244140625,598.9500122070312,8950,2020-11-09
2020-11-16,600.1936645507812,603.7000122070312,625.0,585.5,588.1500244140625,12669,2020-11-16
2020-11-23,599.0999755859375,602.5999755859375,615.0,585.5,600.0,8694,2020-11-23
2020-11-30,605.1149291992188,608.6500244140625,619.9000244140625,590.1500244140625,602.5999755859375,7742,2020-11-30
2020-12-07,572.6047973632812,575.9500122070312,635.0,557.5499877929688,612.0,13254,2020-12-07
2020-12-14,570.3182373046875,573.6500244140625,603.0,560.0,591.0,11299,2020-12-14
2020-12-21,597.01220703125,600.5,625.0,521.1500244140625,570.6500244140625,13278,2020-12-21
2020-12-28,593.5822143554688,597.0499877929688,610.0,552.25,600.5,13120,2020-12-28
2021-01-04,589.1083984375,592.5499877929688,606.8499755859375,582.9500122070312,584.4000244140625,4346,2021-01-04
2021-01-11,570.2186279296875,573.5499877929688,595.9000244140625,565.0999755859375,581.0999755859375,6245,2021-01-11
2021-01-18,542.6298828125,545.7999877929688,591.0,544.9000244140625,591.0,7487,2021-01-18
2021-01-25,542.4808349609375,545.6500244140625,570.0,507.5,564.25,3916,2021-01-25
2021-02-01,559.630615234375,562.9000244140625,580.0,542.5499877929688,558.25,11640,2021-02-01
2021-02-08,572.406005859375,575.75,579.0,547.0,579.0,7184,2021-02-08
2021-02-15,555.2561645507812,558.5,580.0,551.75,580.0,3971,2021-02-15
2021-02-22,535.6705322265625,538.7999877929688,573.3499755859375,533.0,558.5,4622,2021-02-22
2021-03-01,556.2503051757812,559.5,595.0,542.0,544.9500122070312,5602,2021-03-01
2021-03-08,568.031494140625,571.3499755859375,587.9000244140625,542.0499877929688,553.0999755859375,8101,2021-03-08
2021-03-15,512.5556030273438,515.5499877929688,583.0499877929688,505.0,577.0999755859375,4599,2021-03-15
2021-03-22,518.5208129882812,521.5499877929688,555.5499877929688,521.0,529.9500122070312,6231,2021-03-22
2021-03-29,562.7125854492188,566.0,575.0,521.5499877929688,521.5499877929688,11630,2021-03-29
