Date,Adj Close_DIVGIITTS.NS,Close_DIVGIITTS.NS,High_DIVGIITTS.NS,Low_DIVGIITTS.NS,Open_DIVGIITTS.NS,Volume_DIVGIITTS.NS,Date
2023-03-13,620.5321044921875,625.25,641.0,560.0,620.0,4774172,2023-03-13
2023-03-20,663.7534790039062,668.7999877929688,685.0,612.0,631.8499755859375,1010762,2023-03-20
2023-03-27,653.4816284179688,658.4500122070312,677.6500244140625,632.0,670.0,614494,2023-03-27
2023-04-03,659.6348266601562,664.6500244140625,674.6500244140625,646.8499755859375,657.9500122070312,116448,2023-04-03
2023-04-10,668.8150634765625,673.9000244140625,688.4000244140625,642.7000122070312,663.7000122070312,250533,2023-04-10
2023-04-17,647.7254028320312,652.6500244140625,674.25,644.75,673.8499755859375,203304,2023-04-17
2023-04-24,651.843994140625,656.7999877929688,666.25,643.0,646.5,100191,2023-04-24
2023-05-01,724.7398071289062,730.25,758.0,656.7999877929688,656.7999877929688,328059,2023-05-01
2023-05-08,778.084228515625,784.0,844.5,694.5999755859375,738.0,632861,2023-05-08
2023-05-15,712.1356201171875,717.5499877929688,793.75,712.2999877929688,785.0,373824,2023-05-15
2023-05-22,823.7867431640625,830.0499877929688,924.25,687.25,719.0,1156421,2023-05-22
2023-05-29,844.132080078125,850.5499877929688,890.0,813.5999755859375,830.0499877929688,474427,2023-05-29
2023-06-05,818.179443359375,824.4000244140625,863.3499755859375,798.0,856.7000122070312,295303,2023-06-05
2023-06-12,833.0165405273438,839.3499755859375,894.9500122070312,823.0,833.8499755859375,583703,2023-06-12
2023-06-19,838.6239624023438,845.0,874.0,807.7999877929688,850.7999877929688,225933,2023-06-19
2023-06-26,916.4324340820312,923.4000244140625,965.5499877929688,844.2999877929688,849.0,532646,2023-06-26
2023-07-03,926.5057983398438,933.5499877929688,1001.9500122070312,922.3499755859375,933.4000244140625,389291,2023-07-03
2023-07-10,901.396728515625,908.25,968.7999877929688,901.5499877929688,936.7999877929688,186080,2023-07-10
2023-07-17,885.3189697265625,892.0499877929688,944.75,870.0,917.2999877929688,264387,2023-07-17
2023-07-24,887.5519409179688,894.2999877929688,947.9500122070312,877.0499877929688,900.0,208096,2023-07-24
2023-07-31,883.4261474609375,886.7999877929688,946.7000122070312,877.0999755859375,909.7000122070312,328585,2023-07-31
2023-08-07,886.912841796875,890.2999877929688,943.9500122070312,761.5999755859375,900.0999755859375,906018,2023-08-07
2023-08-14,909.3770141601562,912.8499755859375,988.4500122070312,870.5499877929688,900.0,333717,2023-08-14
2023-08-21,892.5413818359375,895.9500122070312,948.1500244140625,887.5,918.8499755859375,224978,2023-08-21
2023-08-28,934.481201171875,938.0499877929688,960.0,876.0999755859375,904.8499755859375,203784,2023-08-28
