Date,Adj Close_NRL.NS,Close_NRL.NS,High_NRL.NS,Low_NRL.NS,Open_NRL.NS,Volume_NRL.NS,Date
2022-07-18,78.94999694824219,78.94999694824219,80.33333587646484,70.05000305175781,71.66666412353516,1592250,2022-07-18
2022-07-25,78.66666412353516,78.66666412353516,81.83333587646484,75.0,79.33333587646484,1445400,2022-07-25
2022-08-01,79.68333435058594,79.68333435058594,81.66666412353516,73.3499984741211,80.66666412353516,1933800,2022-08-01
2022-08-08,90.69999694824219,90.69999694824219,95.51666259765625,80.33333587646484,80.33333587646484,1928850,2022-08-08
2022-08-15,93.31666564941406,93.31666564941406,96.94999694824219,90.0,90.69999694824219,1534500,2022-08-15
2022-08-22,105.75,105.75,110.03333282470703,91.8499984741211,92.66666412353516,2404050,2022-08-22
2022-08-29,113.4000015258789,113.4000015258789,122.5,97.51666259765625,103.83333587646484,1455300,2022-08-29
2022-09-05,105.0999984741211,105.0999984741211,115.0,98.33333587646484,115.0,867900,2022-09-05
2022-09-12,101.26666259765625,101.26666259765625,107.0,98.08333587646484,106.33333587646484,523050,2022-09-12
2022-09-19,97.33333587646484,97.33333587646484,106.66666412353516,95.18333435058594,106.33333587646484,424050,2022-09-19
2022-09-26,90.53333282470703,90.53333282470703,100.16666412353516,86.66666412353516,97.33333587646484,433950,2022-09-26
2022-10-03,85.0,85.0,91.6500015258789,81.86666870117188,88.06666564941406,768900,2022-10-03
2022-10-10,83.16666412353516,83.16666412353516,85.83333587646484,80.16666412353516,82.4000015258789,245850,2022-10-10
2022-10-17,83.36666870117188,83.36666870117188,88.31666564941406,82.8499984741211,85.41666412353516,323400,2022-10-17
2022-10-24,83.11666870117188,83.11666870117188,86.66666412353516,73.3499984741211,83.51666259765625,125400,2022-10-24
2022-10-31,89.58333587646484,89.58333587646484,98.66666412353516,83.0,83.33333587646484,704550,2022-10-31
2022-11-07,97.46666717529297,97.46666717529297,99.66666412353516,89.36666870117188,89.58333587646484,458700,2022-11-07
2022-11-14,96.06666564941406,96.06666564941406,97.48332977294922,89.0,96.76666259765625,683100,2022-11-14
2022-11-21,101.61666870117188,101.61666870117188,106.6500015258789,92.68333435058594,93.3499984741211,1653300,2022-11-21
2022-11-28,97.33333587646484,97.33333587646484,103.31666564941406,95.33333587646484,101.3499984741211,231000,2022-11-28
2022-12-05,98.36666870117188,98.36666870117188,104.33333587646484,96.66666412353516,96.66666412353516,235950,2022-12-05
2022-12-12,100.0,100.0,103.66666412353516,98.33333587646484,98.33333587646484,311850,2022-12-12
2022-12-19,86.5,86.5,103.0,84.0,100.0,359700,2022-12-19
2022-12-26,95.93333435058594,95.93333435058594,97.0,82.0,89.96666717529297,138600,2022-12-26
2023-01-02,95.43333435058594,95.43333435058594,97.33333587646484,89.33333587646484,92.0999984741211,117150,2023-01-02
2023-01-09,97.9000015258789,97.9000015258789,106.0,91.66666412353516,94.0,576672,2023-01-09
2023-01-16,89.06666564941406,89.06666564941406,100.33333587646484,88.0,99.96666717529297,356524,2023-01-16
2023-01-23,71.5999984741211,71.5999984741211,90.96666717529297,70.66666412353516,90.4000015258789,723157,2023-01-23
2023-01-30,74.76666259765625,74.76666259765625,82.63333129882812,68.19999694824219,68.19999694824219,998199,2023-01-30
2023-02-06,84.23332977294922,84.23332977294922,86.53333282470703,74.5,77.96666717529297,1322270,2023-02-06
2023-02-13,76.0999984741211,76.0999984741211,86.33333587646484,75.33333587646484,86.33333587646484,408113,2023-02-13
