Date,Adj Close_JKPAPER.NS,Close_JKPAPER.NS,High_JKPAPER.NS,Low_JKPAPER.NS,Open_JKPAPER.NS,Volume_JKPAPER.NS,Date
2020-07-13,92.34709167480469,99.0,101.3499984741211,97.5999984741211,100.55000305175781,2513048,2020-07-13
2020-07-20,93.04669952392578,99.75,101.3499984741211,98.5999984741211,99.80000305175781,3925084,2020-07-20
2020-07-27,87.8230209350586,94.1500015258789,102.80000305175781,94.05000305175781,99.5,7090361,2020-07-27
2020-08-03,87.26335144042969,93.55000305175781,97.1500015258789,91.9000015258789,94.9000015258789,3966233,2020-08-03
2020-08-10,89.5487060546875,96.0,98.80000305175781,91.94999694824219,94.0,7648780,2020-08-10
2020-08-17,94.21270751953125,101.0,102.4000015258789,95.19999694824219,96.4000015258789,6888181,2020-08-17
2020-08-24,92.06726837158203,98.69999694824219,102.80000305175781,97.19999694824219,101.9000015258789,5644369,2020-08-24
2020-08-31,87.26335144042969,93.55000305175781,99.5,92.8499984741211,98.94999694824219,3676240,2020-08-31
2020-09-07,86.23726654052734,92.44999694824219,94.69999694824219,90.4000015258789,94.69999694824219,2457011,2020-09-07
2020-09-14,90.2949447631836,96.80000305175781,97.8499984741211,93.0,93.0,3060085,2020-09-14
2020-09-21,85.53765869140625,91.69999694824219,99.0,88.05000305175781,97.5,3472855,2020-09-21
2020-09-28,84.27838897705078,90.3499984741211,92.9000015258789,90.0,91.75,1193554,2020-09-28
2020-10-05,85.07127380371094,91.19999694824219,94.4000015258789,90.0,90.5,3736152,2020-10-05
2020-10-12,82.83256530761719,88.80000305175781,91.9000015258789,87.75,91.19999694824219,2645462,2020-10-12
2020-10-19,87.35662841796875,93.6500015258789,94.44999694824219,88.5,88.8499984741211,1950444,2020-10-19
2020-10-26,81.9463882446289,87.8499984741211,94.44999694824219,86.30000305175781,94.0999984741211,1579282,2020-10-26
2020-11-02,84.4649429321289,90.55000305175781,91.69999694824219,86.3499984741211,87.80000305175781,2090471,2020-11-02
2020-11-09,85.16455078125,91.30000305175781,93.3499984741211,90.0,91.80000305175781,2587722,2020-11-09
2020-11-16,92.30045318603516,98.94999694824219,100.0,90.44999694824219,90.9000015258789,5497947,2020-11-16
2020-11-23,89.96846008300781,96.44999694824219,99.5,93.25,98.94999694824219,3906822,2020-11-23
2020-11-30,92.95343017578125,99.6500015258789,101.3499984741211,96.25,96.44999694824219,3946249,2020-11-30
2020-12-07,94.95893859863281,101.80000305175781,105.69999694824219,99.5,99.6500015258789,6960331,2020-12-07
2020-12-14,103.30748748779297,110.75,112.80000305175781,101.94999694824219,104.0999984741211,12799578,2020-12-14
2020-12-21,99.01660919189453,106.1500015258789,118.0,98.0,114.0,14101032,2020-12-21
2020-12-28,106.19917297363281,113.8499984741211,114.94999694824219,104.44999694824219,107.44999694824219,7247183,2020-12-28
2021-01-04,119.67811584472656,128.3000030517578,132.0,113.0999984741211,114.69999694824219,22765980,2021-01-04
2021-01-11,117.53267669677734,126.0,129.8000030517578,122.69999694824219,128.0,6701172,2021-01-11
2021-01-18,115.85362243652344,124.19999694824219,129.8000030517578,121.25,125.0999984741211,4932722,2021-01-18
2021-01-25,118.74531555175781,127.30000305175781,134.4499969482422,116.0,124.9000015258789,9306828,2021-01-25
2021-02-01,124.52867126464844,133.5,136.0,124.19999694824219,129.0,7067525,2021-02-01
2021-02-08,130.49859619140625,139.89999389648438,142.4499969482422,131.9499969482422,133.8000030517578,7988980,2021-02-08
2021-02-15,133.15707397460938,142.75,148.39999389648438,137.89999389648438,138.64999389648438,8071453,2021-02-15
2021-02-22,135.34915161132812,145.10000610351562,149.5,138.75,142.0500030517578,5593585,2021-02-22
2021-03-01,144.86367797851562,155.3000030517578,167.75,145.3000030517578,146.10000610351562,12360934,2021-03-01
2021-03-08,140.8526611328125,151.0,159.1999969482422,148.25,157.89999389648438,2950150,2021-03-08
2021-03-15,138.05426025390625,148.0,165.89999389648438,138.4499969482422,152.89999389648438,8341665,2021-03-15
2021-03-22,142.20521545410156,152.4499969482422,157.85000610351562,143.75,147.0,5601550,2021-03-22
2021-03-29,144.16407775878906,154.5500030517578,155.5,146.3000030517578,152.4499969482422,2448397,2021-03-29
2021-04-05,136.468505859375,146.3000030517578,153.0,142.5,153.0,5061399,2021-04-05
2021-04-12,126.30098724365234,135.39999389648438,143.64999389648438,132.0,143.0500030517578,2860373,2021-04-12
2021-04-19,122.94290924072266,131.8000030517578,133.5500030517578,125.19999694824219,130.10000610351562,1911528,2021-04-19
2021-04-26,130.40530395507812,139.8000030517578,145.5,131.85000610351562,133.0,3373188,2021-04-26
2021-05-03,133.0637664794922,142.64999389648438,151.8000030517578,133.39999389648438,137.8000030517578,7897357,2021-05-03
2021-05-10,134.46298217773438,144.14999389648438,147.5,140.0,144.14999389648438,2901402,2021-05-10
2021-05-17,142.764892578125,153.0500030517578,166.5500030517578,142.5,145.3000030517578,11641134,2021-05-17
2021-05-24,141.73880004882812,151.9499969482422,161.6999969482422,144.6999969482422,154.10000610351562,11712347,2021-05-24
2021-05-31,148.6415252685547,159.35000610351562,164.25,149.3000030517578,152.0,9817206,2021-05-31
