Date,Adj Close_BLACKBUCK.NS,Close_BLACKBUCK.NS,High_BLACKBUCK.NS,Low_BLACKBUCK.NS,Open_BLACKBUCK.NS,Volume_BLACKBUCK.NS,Date
2024-11-18,260.04998779296875,260.04998779296875,285.8999938964844,255.35000610351562,280.8999938964844,6737252,2024-11-18
2024-11-25,271.1000061035156,271.1000061035156,277.0,248.35000610351562,260.0,4297457,2024-11-25
2024-12-02,340.75,340.75,382.8500061035156,262.8999938964844,267.25,18421304,2024-12-02
2024-12-09,423.20001220703125,423.20001220703125,460.5,337.79998779296875,341.95001220703125,10538910,2024-12-09
2024-12-16,501.6499938964844,501.6499938964844,514.7000122070312,399.20001220703125,410.0,6647669,2024-12-16
2024-12-23,533.9500122070312,533.9500122070312,550.7000122070312,487.1499938964844,509.3999938964844,3709938,2024-12-23
2024-12-30,453.3999938964844,453.3999938964844,536.5,434.95001220703125,534.0,1467774,2024-12-30
2025-01-06,403.5,403.5,453.3999938964844,393.0,453.3999938964844,832725,2025-01-06
2025-01-13,421.5,421.5,424.8500061035156,366.29998779296875,390.0,498633,2025-01-13
2025-01-20,361.6499938964844,361.6499938964844,442.54998779296875,360.95001220703125,442.54998779296875,566057,2025-01-20
2025-01-27,404.1000061035156,404.1000061035156,404.1000061035156,326.45001220703125,361.6499938964844,348962,2025-01-27
2025-02-03,489.5,489.5,489.5,395.0,400.8500061035156,532184,2025-02-03
2025-02-10,465.04998779296875,465.04998779296875,520.0,460.25,513.9500122070312,836096,2025-02-10
2025-02-17,420.79998779296875,420.79998779296875,459.95001220703125,405.29998779296875,458.0,391223,2025-02-17
2025-02-24,422.70001220703125,422.70001220703125,430.70001220703125,405.1499938964844,419.0,270069,2025-02-24
2025-03-03,419.29998779296875,419.29998779296875,426.95001220703125,401.0,419.0,331032,2025-03-03
2025-03-10,405.54998779296875,405.54998779296875,440.25,397.1000061035156,421.0,460512,2025-03-10
2025-03-17,410.6499938964844,410.6499938964844,420.0,393.0,405.3500061035156,461923,2025-03-17
2025-03-24,424.0,424.0,436.6499938964844,397.29998779296875,411.8500061035156,656729,2025-03-24
2025-03-31,413.8500061035156,413.8500061035156,434.95001220703125,405.95001220703125,423.54998779296875,175854,2025-03-31
2025-04-07,396.29998779296875,396.29998779296875,409.70001220703125,373.20001220703125,405.0,469503,2025-04-07
2025-04-14,400.3500061035156,400.3500061035156,410.8500061035156,391.3500061035156,404.8500061035156,380742,2025-04-14
2025-04-21,406.75,406.75,453.04998779296875,387.8500061035156,399.95001220703125,1244291,2025-04-21
2025-04-28,421.3999938964844,421.3999938964844,443.1000061035156,395.3999938964844,406.75,953683,2025-04-28
2025-05-05,406.29998779296875,406.29998779296875,430.0,398.0,418.0,489247,2025-05-05
2025-05-12,456.79998779296875,456.79998779296875,483.04998779296875,418.5,419.0,804272,2025-05-12
2025-05-19,455.1000061035156,455.1000061035156,525.1500244140625,442.8999938964844,447.0,1545418,2025-05-19
2025-05-26,440.1000061035156,440.1000061035156,491.0,432.5,460.8500061035156,3447584,2025-05-26
2025-06-02,440.1000061035156,440.1000061035156,456.8999938964844,420.0,440.8999938964844,28735143,2025-06-02
2025-06-09,445.04998779296875,445.04998779296875,479.79998779296875,438.3500061035156,442.70001220703125,4048417,2025-06-09
2025-06-16,430.1000061035156,430.1000061035156,455.6000061035156,422.20001220703125,445.8999938964844,2445459,2025-06-16
2025-06-23,436.0,436.0,447.75,426.3500061035156,431.6000061035156,1610765,2025-06-23
2025-06-30,434.45001220703125,434.45001220703125,449.8999938964844,428.25,437.0,3151873,2025-06-30
2025-07-07,436.54998779296875,436.54998779296875,447.0,429.79998779296875,435.95001220703125,2036654,2025-07-07
2025-07-14,444.95001220703125,444.95001220703125,448.79998779296875,433.04998779296875,437.0,771055,2025-07-14
