Date,Adj Close_WINDMACHIN.NS,Close_WINDMACHIN.NS,High_WINDMACHIN.NS,Low_WINDMACHIN.NS,Open_WINDMACHIN.NS,Volume_WINDMACHIN.NS,Date
2020-07-13,12.226052284240723,13.199999809265137,14.149999618530273,12.550000190734863,14.100000381469727,124070,2020-07-13
2020-07-20,11.901877403259277,12.850000381469727,13.850000381469727,12.550000190734863,13.800000190734863,131443,2020-07-20
2020-07-27,11.20721435546875,12.100000381469727,13.0,11.75,12.350000381469727,58011,2020-07-27
2020-08-03,12.27236270904541,13.25,13.25,11.5,12.649999618530273,92952,2020-08-03
2020-08-10,12.179740905761719,13.149999618530273,14.600000381469727,12.600000381469727,14.399999618530273,265117,2020-08-10
2020-08-17,14.819457054138184,16.0,16.549999237060547,12.550000190734863,12.550000190734863,1001063,2020-08-17
2020-08-24,16.116159439086914,17.399999618530273,18.850000381469727,16.0,16.0,444266,2020-08-24
2020-08-31,13.383822441101074,14.449999809265137,18.149999618530273,13.899999618530273,18.0,104843,2020-08-31
2020-09-07,13.893240928649902,15.0,15.25,14.25,14.850000381469727,75230,2020-09-07
2020-09-14,15.514117240905762,16.75,18.149999618530273,15.0,15.75,91199,2020-09-14
2020-09-21,13.291200637817383,14.350000381469727,17.399999618530273,13.100000381469727,17.399999618530273,108959,2020-09-21
2020-09-28,13.98586368560791,15.100000381469727,15.800000190734863,14.449999809265137,14.850000381469727,32915,2020-09-28
2020-10-05,13.105956077575684,14.149999618530273,15.300000190734863,13.699999809265137,14.850000381469727,54224,2020-10-05
2020-10-12,12.226052284240723,13.199999809265137,14.600000381469727,13.199999809265137,14.199999809265137,95444,2020-10-12
2020-10-19,12.920714378356934,13.949999809265137,14.199999809265137,12.850000381469727,12.850000381469727,30072,2020-10-19
2020-10-26,11.994498252868652,12.949999809265137,14.300000190734863,12.600000381469727,13.350000381469727,33730,2020-10-26
2020-11-02,14.078484535217285,15.199999809265137,16.299999237060547,12.800000190734863,13.0,104450,2020-11-02
2020-11-09,12.411294937133789,13.399999618530273,15.5,12.850000381469727,14.899999618530273,607364,2020-11-09
2020-11-16,13.244890213012695,14.300000190734863,14.300000190734863,12.850000381469727,12.850000381469727,829868,2020-11-16
2020-11-23,13.661686897277832,14.75,14.899999618530273,13.699999809265137,14.5,107333,2020-11-23
2020-11-30,15.236255645751953,16.450000762939453,16.799999237060547,14.75,14.75,250754,2020-11-30
2020-12-07,18.061214447021484,19.5,21.649999618530273,16.100000381469727,17.0,1000866,2020-12-07
2020-12-14,16.857131958007812,18.200000762939453,20.450000762939453,18.149999618530273,19.899999618530273,221055,2020-12-14
2020-12-21,16.671890258789062,18.0,18.899999618530273,16.5,17.899999618530273,62790,2020-12-21
2020-12-28,16.625579833984375,17.950000762939453,18.850000381469727,16.600000381469727,18.0,126814,2020-12-28
2021-01-04,15.745673179626465,17.0,19.5,16.600000381469727,17.950000762939453,217758,2021-01-04
2021-01-11,15.791982650756836,17.049999237060547,17.950000762939453,17.0,17.450000762939453,120957,2021-01-11
2021-01-18,17.320241928100586,18.700000762939453,19.649999618530273,16.350000381469727,17.0,121120,2021-01-18
2021-01-25,16.532955169677734,17.850000381469727,18.450000762939453,16.799999237060547,18.049999237060547,19142,2021-01-25
2021-02-01,19.26529312133789,20.799999237060547,20.799999237060547,17.149999618530273,17.950000762939453,446181,2021-02-01
2021-02-08,19.49684715270996,21.049999237060547,22.850000381469727,20.299999237060547,22.850000381469727,1097499,2021-02-08
2021-02-15,20.28413200378418,21.899999618530273,22.850000381469727,20.350000381469727,21.950000762939453,283737,2021-02-15
2021-02-22,19.86733627319336,21.450000762939453,22.899999618530273,21.049999237060547,22.200000762939453,230083,2021-02-22
2021-03-01,22.692293167114258,24.5,24.5,19.399999618530273,21.950000762939453,308410,2021-03-01
