Date,Adj Close_ASTEC.NS,Close_ASTEC.NS,High_ASTEC.NS,Low_ASTEC.NS,Open_ASTEC.NS,Volume_ASTEC.NS,Date
2020-07-13,960.8226928710938,965.2000122070312,987.4500122070312,927.7000122070312,957.8499755859375,635513,2020-07-13
2020-07-20,1068.1724853515625,1071.3499755859375,1119.0,970.2000122070312,972.75,1985097,2020-07-20
2020-07-27,936.2149047851562,939.0,1075.949951171875,931.2000122070312,1071.0,508002,2020-07-27
2020-08-03,989.4066772460938,992.3499755859375,1050.0,936.0999755859375,939.0,929003,2020-08-03
2020-08-10,952.317138671875,955.1500244140625,1049.699951171875,901.0,998.0,666340,2020-08-10
2020-08-17,1247.9874267578125,1251.699951171875,1367.0,929.8499755859375,962.0,1872695,2020-08-17
2020-08-24,1168.4739990234375,1171.949951171875,1294.4000244140625,1155.0,1255.0,560458,2020-08-24
2020-08-31,1224.4075927734375,1228.050048828125,1283.25,1000.2000122070312,1171.949951171875,573992,2020-08-31
2020-09-07,1142.0028076171875,1145.4000244140625,1249.800048828125,1113.0,1239.0,316475,2020-09-07
2020-09-14,1244.946533203125,1248.6500244140625,1336.0,1147.0,1156.8499755859375,927759,2020-09-14
2020-09-21,1073.157470703125,1076.3499755859375,1260.3499755859375,1002.0,1254.0,558422,2020-09-21
2020-09-28,1097.385498046875,1100.6500244140625,1126.0,1065.0,1090.0,257471,2020-09-28
2020-10-05,1120.96533203125,1124.300048828125,1200.0,1089.699951171875,1109.800048828125,346514,2020-10-05
2020-10-12,1029.9361572265625,1033.0,1138.75,1010.0,1138.75,298516,2020-10-12
2020-10-19,1109.3997802734375,1112.699951171875,1120.0,1013.25,1044.6500244140625,326201,2020-10-19
2020-10-26,1139.1612548828125,1142.550048828125,1185.0,1075.0,1119.0,773213,2020-10-26
2020-11-02,1095.09228515625,1098.3499755859375,1158.699951171875,1050.0,1139.5999755859375,396151,2020-11-02
2020-11-09,1018.9688110351562,1022.0,1107.0999755859375,1002.0,1106.699951171875,733742,2020-11-09
