Date,Adj Close_NARMADA.NS,Close_NARMADA.NS,High_NARMADA.NS,Low_NARMADA.NS,Open_NARMADA.NS,Volume_NARMADA.NS,Date
2020-07-13,15.600000381469727,15.600000381469727,16.049999237060547,15.600000381469727,16.049999237060547,14400,2020-07-13
2020-07-20,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,0,2020-07-20
2020-07-27,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,0,2020-07-27
2020-08-03,16.700000762939453,16.700000762939453,16.700000762939453,15.600000381469727,15.600000381469727,14400,2020-08-03
2020-08-10,16.700000762939453,16.700000762939453,16.700000762939453,16.700000762939453,16.700000762939453,0,2020-08-10
2020-08-17,15.149999618530273,15.149999618530273,16.700000762939453,15.149999618530273,16.700000762939453,14400,2020-08-17
2020-08-24,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,0,2020-08-24
2020-08-31,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,0,2020-08-31
2020-09-07,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,15.149999618530273,0,2020-09-07
2020-09-14,13.699999809265137,13.699999809265137,15.149999618530273,13.050000190734863,15.149999618530273,43200,2020-09-14
2020-09-21,13.699999809265137,13.699999809265137,13.699999809265137,13.050000190734863,13.699999809265137,14400,2020-09-21
2020-09-28,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,0,2020-09-28
2020-10-05,14.300000190734863,14.300000190734863,14.300000190734863,13.699999809265137,13.699999809265137,14400,2020-10-05
2020-10-12,13.600000381469727,13.600000381469727,13.600000381469727,13.600000381469727,13.600000381469727,7200,2020-10-12
2020-10-19,12.949999809265137,12.949999809265137,13.600000381469727,12.949999809265137,13.600000381469727,7200,2020-10-19
2020-10-26,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-10-26
2020-11-02,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-11-02
2020-11-09,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-11-09
2020-11-16,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-11-16
2020-11-23,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-11-23
2020-11-30,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-11-30
2020-12-07,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-12-07
2020-12-14,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-12-14
2020-12-21,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-12-21
2020-12-28,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,12.949999809265137,0,2020-12-28
2021-01-04,11.75,11.75,12.949999809265137,11.199999809265137,12.949999809265137,43200,2021-01-04
2021-01-11,11.75,11.75,11.75,11.75,11.75,0,2021-01-11
2021-01-18,11.75,11.75,11.75,11.75,11.75,0,2021-01-18
2021-01-25,11.199999809265137,11.199999809265137,11.75,11.199999809265137,11.75,7200,2021-01-25
2021-02-01,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,2021-02-01
2021-02-08,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,2021-02-08
2021-02-15,10.649999618530273,10.649999618530273,11.199999809265137,10.649999618530273,11.199999809265137,7200,2021-02-15
2021-02-22,10.149999618530273,10.149999618530273,10.649999618530273,10.149999618530273,10.649999618530273,7200,2021-02-22
2021-03-01,10.649999618530273,10.649999618530273,10.649999618530273,10.149999618530273,10.149999618530273,7200,2021-03-01
2021-03-08,10.649999618530273,10.649999618530273,10.649999618530273,10.649999618530273,10.649999618530273,0,2021-03-08
2021-03-15,10.149999618530273,10.149999618530273,10.649999618530273,10.149999618530273,10.649999618530273,7200,2021-03-15
2021-03-22,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0,2021-03-22
2021-03-29,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0,2021-03-29
2021-04-05,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,0,2021-04-05
2021-04-12,10.100000381469727,10.100000381469727,10.149999618530273,10.100000381469727,10.149999618530273,115200,2021-04-12
2021-04-19,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,0,2021-04-19
2021-04-26,9.600000381469727,9.600000381469727,10.100000381469727,9.600000381469727,10.100000381469727,14400,2021-04-26
2021-05-03,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0,2021-05-03
2021-05-10,9.550000190734863,9.550000190734863,9.699999809265137,9.5,9.600000381469727,144000,2021-05-10
2021-05-17,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,2021-05-17
