Date,Adj Close_SIL.NS,Close_SIL.NS,High_SIL.NS,Low_SIL.NS,Open_SIL.NS,Volume_SIL.NS,Date
2020-07-13,7.905938148498535,9.550000190734863,9.699999809265137,9.0,9.600000381469727,33136,2020-07-13
2020-07-20,7.905938148498535,9.550000190734863,10.399999618530273,9.300000190734863,10.0,72756,2020-07-20
2020-07-27,7.823153972625732,9.449999809265137,9.800000190734863,8.949999809265137,9.550000190734863,48492,2020-07-27
2020-08-03,8.278470039367676,10.0,10.199999809265137,9.199999809265137,9.449999809265137,47551,2020-08-03
2020-08-10,8.237076759338379,9.949999809265137,10.350000381469727,9.5,9.5,44698,2020-08-10
2020-08-17,8.278470039367676,10.0,10.75,9.199999809265137,10.350000381469727,130577,2020-08-17
2020-08-24,8.402647018432617,10.149999618530273,10.649999618530273,9.600000381469727,9.600000381469727,50289,2020-08-24
2020-08-31,8.03011417388916,9.699999809265137,10.449999809265137,9.649999618530273,9.75,25141,2020-08-31
2020-09-07,8.195683479309082,9.899999618530273,10.649999618530273,9.25,9.699999809265137,38212,2020-09-07
2020-09-14,8.154293060302734,9.850000381469727,10.600000381469727,9.5,9.600000381469727,10094,2020-09-14
2020-09-21,7.864546775817871,9.5,10.0,9.399999618530273,10.0,2947,2020-09-21
2020-09-28,7.740368843078613,9.350000381469727,9.899999618530273,8.800000190734863,9.5,2874,2020-09-28
2020-10-05,8.112899780273438,9.800000190734863,9.899999618530273,9.100000381469727,9.100000381469727,9759,2020-10-05
2020-10-12,7.740368843078613,9.350000381469727,9.949999809265137,9.149999618530273,9.399999618530273,7258,2020-10-12
2020-10-19,8.03011417388916,9.699999809265137,9.75,9.050000190734863,9.350000381469727,24734,2020-10-19
2020-10-26,7.781760215759277,9.399999618530273,9.699999809265137,9.100000381469727,9.399999618530273,18705,2020-10-26
2020-11-02,7.740368843078613,9.350000381469727,9.5,8.649999618530273,9.100000381469727,15880,2020-11-02
2020-11-09,7.823153972625732,9.449999809265137,9.600000381469727,8.800000190734863,9.600000381469727,12548,2020-11-09
2020-11-16,7.781760215759277,9.399999618530273,9.600000381469727,8.800000190734863,9.350000381469727,13433,2020-11-16
2020-11-23,7.160876274108887,8.649999618530273,9.399999618530273,7.849999904632568,9.399999618530273,219443,2020-11-23
2020-11-30,7.409229755401611,8.949999809265137,9.25,8.449999809265137,8.649999618530273,122509,2020-11-30
2020-12-07,8.775177955627441,10.600000381469727,10.649999618530273,8.600000381469727,9.149999618530273,140751,2020-12-07
2020-12-14,8.692391395568848,10.5,11.350000381469727,10.149999618530273,11.100000381469727,87876,2020-12-14
2020-12-21,8.03011417388916,9.699999809265137,10.800000190734863,9.550000190734863,10.0,31236,2020-12-21
2020-12-28,8.609607696533203,10.399999618530273,10.5,9.5,10.149999618530273,99753,2020-12-28
2021-01-04,8.899353981018066,10.75,11.100000381469727,9.899999618530273,10.600000381469727,133074,2021-01-04
