Date,Adj Close_CERA.NS,Close_CERA.NS,High_CERA.NS,Low_CERA.NS,Open_CERA.NS,Volume_CERA.NS,Date
2020-07-13,2136.592529296875,2202.14990234375,2228.0,2190.0,2210.89990234375,3645,2020-07-13
2020-07-20,2178.749267578125,2245.60009765625,2346.0,2180.0,2200.0,19937,2020-07-20
2020-07-27,2162.497802734375,2228.85009765625,2285.0,2180.300048828125,2222.0,15360,2020-07-27
2020-08-03,2206.5947265625,2274.300048828125,2299.64990234375,2121.0,2263.75,42108,2020-08-03
2020-08-10,2309.681884765625,2380.550048828125,2430.0,2275.0,2282.89990234375,23340,2020-08-10
2020-08-17,2382.739990234375,2455.85009765625,2500.0,2354.199951171875,2420.0,26880,2020-08-17
2020-08-24,2491.017822265625,2567.449951171875,2640.5,2420.050048828125,2420.050048828125,95933,2020-08-24
2020-08-31,2378.71337890625,2451.699951171875,2575.0,2395.199951171875,2567.449951171875,16984,2020-08-31
2020-09-07,2389.483154296875,2462.800048828125,2549.75,2387.39990234375,2449.699951171875,16182,2020-09-07
2020-09-14,2360.230712890625,2432.64990234375,2603.0,2422.0,2462.0,38002,2020-09-14
2020-09-21,2176.468994140625,2243.25,2475.0,2215.5,2435.0,18611,2020-09-21
2020-09-28,2338.109619140625,2409.85009765625,2444.0,2221.0,2309.949951171875,26660,2020-09-28
2020-10-05,2433.385986328125,2508.050048828125,2544.89990234375,2317.75,2421.75,48395,2020-10-05
2020-10-12,2440.080810546875,2514.949951171875,2575.0,2443.39990234375,2520.0,19877,2020-10-12
2020-10-19,2605.989990234375,2685.949951171875,2828.0,2486.050048828125,2486.050048828125,136644,2020-10-19
2020-10-26,2572.322998046875,2651.25,2748.35009765625,2551.10009765625,2690.0,25419,2020-10-26
2020-11-02,2724.600341796875,2808.199951171875,2825.0,2625.0,2738.949951171875,28413,2020-11-02
2020-11-09,3014.748046875,3107.25,3504.800048828125,2690.0,2803.0,100265,2020-11-09
2020-11-16,2964.538818359375,3055.5,3163.199951171875,2970.14990234375,2970.14990234375,85182,2020-11-16
2020-11-23,3031.484619140625,3124.5,3144.0,3000.0,3070.0,28516,2020-11-23
2020-11-30,3131.806396484375,3227.89990234375,3324.0,3050.0,3124.5,38966,2020-11-30
2020-12-07,3033.230712890625,3126.300048828125,3313.550048828125,3105.0,3227.89990234375,32117,2020-12-07
2020-12-14,3265.504150390625,3365.699951171875,3481.0,3126.300048828125,3169.0,84651,2020-12-14
2020-12-21,3336.767333984375,3439.14990234375,3555.0,3011.550048828125,3390.0,82215,2020-12-21
2020-12-28,3341.61865234375,3444.14990234375,3569.0,3355.050048828125,3439.0,64530,2020-12-28
2021-01-04,3441.3583984375,3546.949951171875,3599.0,3351.550048828125,3450.0,78248,2021-01-04
2021-01-11,3299.656005859375,3400.89990234375,3744.199951171875,3381.0,3549.0,98378,2021-01-11
2021-01-18,3398.765380859375,3503.050048828125,3535.89990234375,3300.0,3406.0,64482,2021-01-18
2021-01-25,3317.4111328125,3419.199951171875,3555.0,3398.449951171875,3503.050048828125,28545,2021-01-25
2021-02-01,3438.884033203125,3544.39990234375,3700.0,3315.14990234375,3428.0,105210,2021-02-01
2021-02-08,3606.345703125,3717.0,3860.0,3491.0,3570.0,100044,2021-02-08
2021-02-15,3731.165771484375,3845.64990234375,4027.0,3717.0,3717.0,175208,2021-02-15
2021-02-22,3744.70068359375,3859.60009765625,3999.89990234375,3426.64990234375,3864.89990234375,32834,2021-02-22
2021-03-01,3792.0966796875,3908.449951171875,4200.0,3790.0,3820.0,66842,2021-03-01
2021-03-08,3921.719482421875,4042.050048828125,4100.0,3830.050048828125,3945.0,56833,2021-03-08
2021-03-15,3808.88134765625,3925.75,4067.449951171875,3771.0,4042.050048828125,32127,2021-03-15
2021-03-22,3739.510009765625,3854.25,3992.35009765625,3601.0,3915.0,101689,2021-03-22
2021-03-29,3752.31689453125,3867.449951171875,4025.0,3815.25,3854.25,24759,2021-03-29
2021-04-05,3720.202392578125,3834.35009765625,4108.2001953125,3681.199951171875,3840.0,63591,2021-04-05
2021-04-12,3824.55029296875,3941.89990234375,3951.0,3700.85009765625,3789.89990234375,41915,2021-04-12
2021-04-19,3805.970947265625,3922.75,4030.0,3813.0,3866.0,21898,2021-04-19
2021-04-26,3729.905029296875,3844.35009765625,3999.949951171875,3811.10009765625,3922.75,23419,2021-04-26
2021-05-03,3693.084228515625,3806.39990234375,4251.0,3770.60009765625,3858.0,138459,2021-05-03
2021-05-10,3781.569580078125,3897.60009765625,3910.0,3751.0,3807.199951171875,33792,2021-05-10
2021-05-17,3833.3310546875,3950.949951171875,4038.0,3883.699951171875,3900.0,39803,2021-05-17
2021-05-24,3876.5546875,3995.5,4178.0,3900.0,3990.0,45750,2021-05-24
2021-05-31,3936.272705078125,4057.050048828125,4100.0,3910.800048828125,3995.5,20252,2021-05-31
2021-06-07,4230.64111328125,4360.4501953125,4895.0,4100.0,4100.0,388501,2021-06-07
2021-06-14,4186.591796875,4315.0498046875,4512.0,4250.0,4360.39990234375,71603,2021-06-14
2021-06-21,4222.73291015625,4352.2998046875,4420.0,4180.0,4286.0,132580,2021-06-21
2021-06-28,4354.34521484375,4487.9501953125,4554.0,4351.10009765625,4419.7998046875,52347,2021-06-28
2021-07-05,4314.8564453125,4447.25,4510.0,4420.60009765625,4490.0,35698,2021-07-05
