Date,Adj Close_KIOCL.NS,Close_KIOCL.NS,High_KIOCL.NS,Low_KIOCL.NS,Open_KIOCL.NS,Volume_KIOCL.NS,Date
2020-07-13,97.60649108886719,99.55000305175781,103.5,98.30000305175781,101.8499984741211,30511,2020-07-13
2020-07-20,106.72492218017578,108.8499984741211,108.8499984741211,97.75,99.19999694824219,55764,2020-07-20
2020-07-27,124.12838745117188,126.5999984741211,128.8000030517578,103.0999984741211,114.25,196910,2020-07-27
2020-08-03,119.2750244140625,121.6500015258789,127.5,115.6500015258789,126.0,169820,2020-08-03
2020-08-10,130.8936767578125,133.5,142.89999389648438,112.69999694824219,121.1500015258789,679253,2020-08-10
2020-08-17,149.37567138671875,152.35000610351562,169.5,136.5500030517578,143.0,1088497,2020-08-17
2020-08-24,138.4923858642578,141.25,158.89999389648438,140.10000610351562,152.5,654602,2020-08-24
2020-08-31,132.4624481201172,135.10000610351562,141.5500030517578,127.6500015258789,136.14999389648438,229820,2020-08-31
2020-09-07,123.44204711914062,125.9000015258789,139.8000030517578,121.55000305175781,139.8000030517578,193761,2020-09-07
2020-09-14,121.67719268798828,124.0999984741211,132.60000610351562,123.0,125.19999694824219,114916,2020-09-14
2020-09-21,113.9314193725586,116.19999694824219,125.69999694824219,111.69999694824219,124.25,88706,2020-09-21
2020-09-28,117.63443756103516,119.30000305175781,126.5,113.19999694824219,116.0,81232,2020-09-28
2020-10-05,117.38792419433594,119.05000305175781,123.9000015258789,116.5999984741211,121.69999694824219,103655,2020-10-05
2020-10-12,132.57293701171875,134.4499969482422,154.39999389648438,116.44999694824219,119.8499984741211,1076727,2020-10-12
2020-10-19,113.2465591430664,114.8499984741211,138.89999389648438,112.05000305175781,135.3000030517578,483382,2020-10-19
2020-10-26,110.48565673828125,112.05000305175781,116.75,106.5999984741211,116.75,143645,2020-10-26
2020-11-02,109.64751434326172,111.19999694824219,114.0,107.94999694824219,109.0,99643,2020-11-02
2020-11-09,110.38704681396484,111.94999694824219,114.44999694824219,108.4000015258789,111.0,162712,2020-11-09
2020-11-16,115.51445770263672,117.1500015258789,122.5999984741211,110.94999694824219,110.94999694824219,287796,2020-11-16
2020-11-23,114.08470153808594,115.69999694824219,121.69999694824219,111.0999984741211,119.94999694824219,170554,2020-11-23
2020-11-30,122.17022705078125,123.9000015258789,123.9000015258789,112.0,115.69999694824219,559532,2020-11-30
2020-12-07,128.08644104003906,129.89999389648438,136.25,113.5,128.5,1481656,2020-12-07
2020-12-14,140.95425415039062,142.9499969482422,164.8000030517578,142.0,142.85000610351562,1955686,2020-12-14
2020-12-21,142.334716796875,144.35000610351562,150.5500030517578,129.10000610351562,143.0,433019,2020-12-21
2020-12-28,137.20729064941406,139.14999389648438,148.0,137.0,147.0,356670,2020-12-28
2021-01-04,137.74961853027344,139.6999969482422,148.5500030517578,134.14999389648438,142.89999389648438,525907,2021-01-04
2021-01-11,133.8054656982422,135.6999969482422,143.5,133.0,143.5,306775,2021-01-11
2021-01-18,129.023193359375,130.85000610351562,138.6999969482422,130.0,135.89999389648438,151010,2021-01-18
2021-01-25,125.67064666748047,127.44999694824219,133.5,123.0,133.5,122058,2021-01-25
2021-02-01,129.36830139160156,131.1999969482422,138.8000030517578,124.0,127.75,190416,2021-02-01
2021-02-08,138.48915100097656,140.4499969482422,148.0,132.5,135.5,603607,2021-02-08
2021-02-15,137.84825134277344,139.8000030517578,149.0,134.10000610351562,140.4499969482422,426253,2021-02-15
2021-02-22,149.6313934326172,151.75,157.75,136.1999969482422,141.0,718170,2021-02-22
2021-03-01,164.47129821777344,166.8000030517578,190.64999389648438,155.0,155.0500030517578,2083643,2021-03-01
2021-03-08,156.7308807373047,158.9499969482422,171.8000030517578,158.0,169.89999389648438,448926,2021-03-08
2021-03-15,139.17938232421875,141.14999389648438,163.6999969482422,137.25,163.6999969482422,544028,2021-03-15
2021-03-22,137.305908203125,139.25,149.8000030517578,136.0500030517578,143.6999969482422,468202,2021-03-22
2021-03-29,148.44815063476562,150.5500030517578,150.5500030517578,134.25,139.25,290676,2021-03-29
2021-04-05,156.13926696777344,158.35000610351562,168.89999389648438,145.3000030517578,153.0,850383,2021-04-05
2021-04-12,147.21560668945312,149.3000030517578,156.35000610351562,145.10000610351562,156.0,328679,2021-04-12
2021-04-19,143.22213745117188,145.25,149.0,140.25,145.25,201113,2021-04-19
2021-04-26,161.56248474121094,163.85000610351562,170.0,144.10000610351562,146.0,732162,2021-04-26
2021-05-03,165.26011657714844,167.60000610351562,178.6999969482422,162.64999389648438,165.0,776170,2021-05-03
2021-05-10,205.68772888183594,208.60000610351562,227.8000030517578,170.9499969482422,172.39999389648438,2498510,2021-05-10
2021-05-17,205.73699951171875,208.64999389648438,214.5,190.89999389648438,205.0,899757,2021-05-17
2021-05-24,243.10789489746094,246.5500030517578,246.5500030517578,207.10000610351562,211.0,1111570,2021-05-24
2021-05-31,290.2898254394531,294.3999938964844,294.3999938964844,245.9499969482422,251.9499969482422,1349725,2021-05-31
2021-06-07,290.7828674316406,294.8999938964844,306.5,263.0,306.5,1178033,2021-06-07
2021-06-14,273.724365234375,277.6000061035156,304.1000061035156,271.1000061035156,296.0,813738,2021-06-14
2021-06-21,272.3932189941406,276.25,286.5,261.5,272.1000061035156,473561,2021-06-21
2021-06-28,270.3225402832031,274.1499938964844,290.04998779296875,268.20001220703125,290.04998779296875,803162,2021-06-28
2021-07-05,260.412841796875,264.1000061035156,281.3500061035156,261.3500061035156,278.20001220703125,471975,2021-07-05
2021-07-12,260.9551696777344,264.6499938964844,278.70001220703125,262.3999938964844,267.0,342992,2021-07-12
2021-07-19,257.6026611328125,261.25,268.0,258.0,264.45001220703125,209374,2021-07-19
2021-07-26,293.3465576171875,297.5,301.8999938964844,260.0,261.25,1122910,2021-07-26
2021-08-02,293.1493225097656,297.29998779296875,311.6499938964844,282.6499938964844,302.0,1142847,2021-08-02
2021-08-09,266.6742248535156,270.45001220703125,315.0,254.25,305.0,915860,2021-08-09
2021-08-16,259.6240234375,263.29998779296875,279.45001220703125,261.1499938964844,277.0,483446,2021-08-16
2021-08-23,249.17201232910156,252.6999969482422,273.8999938964844,238.89999389648438,273.8999938964844,342366,2021-08-23
2021-08-30,250.45388793945312,254.0,258.8999938964844,246.0500030517578,256.0,242170,2021-08-30
2021-09-06,259.6240234375,263.29998779296875,282.0,254.0,257.0,511328,2021-09-06
2021-09-13,253.59234619140625,255.5500030517578,267.95001220703125,253.5,267.20001220703125,216716,2021-09-13
2021-09-20,240.79115295410156,242.64999389648438,264.0,235.35000610351562,250.1999969482422,326660,2021-09-20
2021-09-27,249.37490844726562,251.3000030517578,253.9499969482422,235.5500030517578,235.5500030517578,427147,2021-09-27
