Date,Adj Close_ELECTCAST.NS,Close_ELECTCAST.NS,High_ELECTCAST.NS,Low_ELECTCAST.NS,Open_ELECTCAST.NS,Volume_ELECTCAST.NS,Date
2020-07-13,14.59722900390625,15.600000381469727,16.200000762939453,14.899999618530273,15.899999618530273,1129556,2020-07-13
2020-07-20,14.082582473754883,15.050000190734863,15.899999618530273,14.899999618530273,15.75,1625200,2020-07-20
2020-07-27,13.334006309509277,14.25,15.149999618530273,14.199999809265137,15.050000190734863,1522713,2020-07-27
2020-08-03,14.129368782043457,15.100000381469727,16.399999618530273,14.300000190734863,14.300000190734863,1648426,2020-08-03
2020-08-10,14.550442695617676,15.550000190734863,16.5,14.699999809265137,15.149999618530273,3246146,2020-08-10
2020-08-17,15.25223159790039,16.299999237060547,16.5,14.850000381469727,15.949999809265137,4068609,2020-08-17
2020-08-24,14.73758602142334,15.75,16.950000762939453,15.550000190734863,16.700000762939453,5028538,2020-08-24
2020-08-31,15.579733848571777,16.649999618530273,17.049999237060547,14.600000381469727,15.75,6667130,2020-08-31
2020-09-07,14.924729347229004,15.949999809265137,17.149999618530273,15.350000381469727,17.049999237060547,3940487,2020-09-07
2020-09-14,16.77084732055664,17.600000381469727,18.799999237060547,15.949999809265137,16.200000762939453,9735055,2020-09-14
2020-09-21,16.961421966552734,17.799999237060547,18.5,15.800000190734863,17.600000381469727,8087649,2020-09-21
2020-09-28,23.059913635253906,24.200000762939453,24.399999618530273,17.850000381469727,18.100000381469727,15319056,2020-09-28
2020-10-05,19.153066635131836,20.100000381469727,27.0,19.799999237060547,25.399999618530273,15697434,2020-10-05
2020-10-12,17.152000427246094,18.0,20.799999237060547,16.5,20.200000762939453,6092742,2020-10-12
2020-10-19,19.20071029663086,20.149999618530273,21.149999618530273,17.899999618530273,18.5,3532858,2020-10-19
2020-10-26,20.439470291137695,21.450000762939453,23.0,17.049999237060547,20.25,12787184,2020-10-26
2020-11-02,19.24835777282715,20.200000762939453,21.899999618530273,19.100000381469727,21.75,2655236,2020-11-02
2020-11-09,19.677156448364258,20.649999618530273,21.549999237060547,20.049999237060547,20.600000381469727,3081735,2020-11-09
2020-11-16,21.05884552001953,22.100000381469727,22.700000762939453,20.299999237060547,20.299999237060547,4580459,2020-11-16
2020-11-23,21.725868225097656,22.799999237060547,23.5,21.649999618530273,22.0,3727801,2020-11-23
2020-11-30,22.29759979248047,23.399999618530273,24.799999237060547,22.799999237060547,22.799999237060547,6378618,2020-11-30
2020-12-07,22.869333267211914,24.0,24.700000762939453,23.200000762939453,23.399999618530273,4182903,2020-12-07
2020-12-14,21.440000534057617,22.5,24.25,22.399999618530273,24.0,3702244,2020-12-14
2020-12-21,20.058311462402344,21.049999237060547,24.75,20.450000762939453,24.0,5860345,2020-12-21
2020-12-28,21.535289764404297,22.600000381469727,23.399999618530273,20.299999237060547,21.649999618530273,9586860,2020-12-28
2021-01-04,21.821157455444336,22.899999618530273,24.299999237060547,22.200000762939453,22.850000381469727,6854093,2021-01-04
2021-01-11,21.440000534057617,22.5,24.0,21.549999237060547,23.200000762939453,4492073,2021-01-11
2021-01-18,20.439470291137695,21.450000762939453,22.850000381469727,21.0,22.600000381469727,2286467,2021-01-18
2021-01-25,20.48711395263672,21.5,22.0,20.950000762939453,21.600000381469727,1135643,2021-01-25
2021-02-01,21.440000534057617,22.5,22.850000381469727,20.850000381469727,21.5,2485045,2021-02-01
2021-02-08,21.582935333251953,22.649999618530273,23.149999618530273,21.350000381469727,22.5,3837686,2021-02-08
2021-02-15,20.868267059326172,21.899999618530273,23.200000762939453,21.600000381469727,23.200000762939453,2490703,2021-02-15
2021-02-22,23.536357879638672,24.700000762939453,25.75,21.75,21.899999618530273,7300604,2021-02-22
2021-03-01,25.156269073486328,26.399999618530273,28.0,24.399999618530273,25.25,7530638,2021-03-01
2021-03-08,24.489248275756836,25.700000762939453,27.649999618530273,25.25,26.200000762939453,3056051,2021-03-08
2021-03-15,22.869333267211914,24.0,26.399999618530273,23.399999618530273,25.899999618530273,3850212,2021-03-15
2021-03-22,22.53582191467285,23.649999618530273,24.700000762939453,23.200000762939453,24.0,1696952,2021-03-22
2021-03-29,24.489248275756836,25.700000762939453,25.899999618530273,23.649999618530273,23.649999618530273,4137458,2021-03-29
2021-04-05,29.348979949951172,30.799999237060547,33.599998474121094,25.200000762939453,25.75,18465701,2021-04-05
2021-04-12,28.586668014526367,30.0,31.799999237060547,28.100000381469727,30.0,4556210,2021-04-12
