Date,Adj Close_TRIVENI.NS,Close_TRIVENI.NS,High_TRIVENI.NS,Low_TRIVENI.NS,Open_TRIVENI.NS,Volume_TRIVENI.NS,Date
2020-07-13,53.34513473510742,55.45000076293945,57.099998474121094,55.0,56.45000076293945,1092865,2020-07-13
2020-07-20,52.67170715332031,54.75,56.95000076293945,54.0,55.599998474121094,1625735,2020-07-20
2020-07-27,52.14258575439453,54.20000076293945,56.70000076293945,54.04999923706055,54.75,1054172,2020-07-27
2020-08-03,69.31500244140625,72.05000305175781,73.5,56.900001525878906,56.900001525878906,8259811,2020-08-03
2020-08-10,73.11506652832031,76.0,82.0,68.5,73.0,11356466,2020-08-10
2020-08-17,75.27964782714844,78.25,79.69999694824219,74.0,76.19999694824219,6131379,2020-08-17
2020-08-24,71.6239013671875,74.44999694824219,79.44999694824219,74.05000305175781,78.94999694824219,3679078,2020-08-24
2020-08-31,73.11506652832031,76.0,77.4000015258789,68.4000015258789,73.19999694824219,2537574,2020-08-31
2020-09-07,71.4795913696289,74.30000305175781,77.30000305175781,71.30000305175781,76.19999694824219,1769685,2020-09-07
2020-09-14,74.07710266113281,77.0,78.25,74.75,75.94999694824219,1908684,2020-09-14
2020-09-21,69.36310577392578,72.0999984741211,78.0,65.0,76.0,1916935,2020-09-21
2020-09-28,70.75806427001953,73.55000305175781,78.0,73.0,73.0,1024787,2020-09-28
2020-10-05,75.08724975585938,78.05000305175781,79.30000305175781,73.9000015258789,75.3499984741211,2501590,2020-10-05
2020-10-12,69.41120910644531,72.1500015258789,79.25,71.0999984741211,79.0,1202314,2020-10-12
2020-10-19,71.19098663330078,74.0,74.94999694824219,71.6500015258789,72.25,1804955,2020-10-19
2020-10-26,68.882080078125,71.5999984741211,75.75,70.55000305175781,74.3499984741211,1532013,2020-10-26
2020-11-02,67.77574157714844,70.44999694824219,71.80000305175781,68.4000015258789,71.5999984741211,1020291,2020-11-02
2020-11-09,64.64910125732422,67.19999694824219,72.44999694824219,64.25,72.0,1658183,2020-11-09
2020-11-16,63.87947463989258,66.4000015258789,69.69999694824219,66.0,66.69999694824219,1140639,2020-11-16
2020-11-23,68.97828674316406,71.69999694824219,74.9000015258789,66.5,67.19999694824219,3519932,2020-11-23
2020-11-30,69.74791717529297,72.5,73.94999694824219,69.5999984741211,71.69999694824219,2473507,2020-11-30
2020-12-07,73.88469696044922,76.80000305175781,78.19999694824219,71.55000305175781,72.5,5560647,2020-12-07
2020-12-14,71.38338470458984,74.19999694824219,81.69999694824219,72.3499984741211,77.69999694824219,4614785,2020-12-14
2020-12-21,69.84412384033203,72.5999984741211,75.4000015258789,62.349998474121094,74.19999694824219,1688094,2020-12-21
2020-12-28,69.0263900756836,71.75,74.0,70.9000015258789,73.4000015258789,1219561,2020-12-28
2021-01-04,69.26690673828125,72.0,74.5,71.19999694824219,72.4000015258789,2296592,2021-01-04
2021-01-11,71.38338470458984,74.19999694824219,76.25,71.5,72.69999694824219,3017590,2021-01-11
2021-01-18,69.9884262084961,72.75,73.8499984741211,70.4000015258789,73.19999694824219,1763613,2021-01-18
2021-01-25,68.73777770996094,71.44999694824219,73.94999694824219,70.69999694824219,73.0,1025709,2021-01-25
