Date,Adj Close_PLASTIBLEN.NS,Close_PLASTIBLEN.NS,High_PLASTIBLEN.NS,Low_PLASTIBLEN.NS,Open_PLASTIBLEN.NS,Volume_PLASTIBLEN.NS,Date
2020-07-13,152.55426025390625,165.64999389648438,173.3000030517578,162.0,169.89999389648438,53563,2020-07-13
2020-07-20,149.00863647460938,161.8000030517578,167.4499969482422,155.3000030517578,165.5500030517578,31344,2020-07-20
2020-07-27,147.35093688964844,160.0,164.9499969482422,156.10000610351562,161.4499969482422,28314,2020-07-27
2020-08-03,168.1642608642578,182.60000610351562,192.0,157.14999389648438,160.14999389648438,133062,2020-08-03
2020-08-10,166.368408203125,180.64999389648438,188.5,169.9499969482422,182.60000610351562,175265,2020-08-10
2020-08-17,175.2555389404297,190.3000030517578,194.9499969482422,180.0,188.0,87715,2020-08-17
2020-08-24,173.5978546142578,188.5,199.0,178.5,194.9499969482422,131585,2020-08-24
2020-08-31,183.91238403320312,199.6999969482422,214.4499969482422,176.89999389648438,183.1999969482422,322805,2020-08-31
2020-09-07,184.1426239013672,199.9499969482422,211.6999969482422,192.0,202.0,84126,2020-09-07
2020-09-14,183.4058837890625,199.14999389648438,209.39999389648438,196.0,202.0,37957,2020-09-14
2020-09-21,176.26853942871094,191.39999389648438,199.5,184.0500030517578,198.3000030517578,24212,2020-09-21
2020-09-28,176.72903442382812,191.89999389648438,203.0,188.0500030517578,201.89999389648438,21496,2020-09-28
2020-10-05,175.20948791503906,190.25,202.0,182.0,192.5500030517578,90465,2020-10-05
2020-10-12,192.70742797851562,209.25,211.0,187.0,187.5500030517578,88256,2020-10-12
2020-10-19,189.99061584472656,206.3000030517578,214.39999389648438,198.9499969482422,211.0,57606,2020-10-19
2020-10-26,189.16177368164062,205.39999389648438,220.0,201.1999969482422,207.5,150798,2020-10-26
2020-11-02,188.7934112548828,205.0,212.5,201.4499969482422,205.0500030517578,32005,2020-11-02
2020-11-09,193.0297393798828,209.60000610351562,213.10000610351562,198.35000610351562,207.0,54378,2020-11-09
2020-11-16,214.81005859375,233.25,240.0,201.0,201.0,265017,2020-11-16
2020-11-23,241.3792724609375,262.1000061035156,271.0,234.89999389648438,234.89999389648438,815703,2020-11-23
2020-11-30,239.30714416503906,259.8500061035156,275.29998779296875,257.0,262.1000061035156,141025,2020-11-30
2020-12-07,230.00563049316406,249.75,259.70001220703125,236.1999969482422,257.0,95544,2020-12-07
2020-12-14,243.63555908203125,264.54998779296875,274.70001220703125,238.75,250.0500030517578,118569,2020-12-14
2020-12-21,228.99258422851562,248.64999389648438,264.54998779296875,220.60000610351562,264.54998779296875,44573,2020-12-21
2020-12-28,241.42530822753906,262.1499938964844,280.54998779296875,249.0500030517578,251.0500030517578,158333,2020-12-28
2021-01-04,231.52516174316406,251.39999389648438,271.8500061035156,250.0,262.1499938964844,76284,2021-01-04
