Date,Adj Close_ROHLTD.NS,Close_ROHLTD.NS,High_ROHLTD.NS,Low_ROHLTD.NS,Open_ROHLTD.NS,Volume_ROHLTD.NS,Date
2020-07-13,55.93112564086914,56.70000076293945,58.79999923706055,54.0,56.04999923706055,134871,2020-07-13
2020-07-20,56.07908630371094,56.849998474121094,62.0,55.5,56.70000076293945,923884,2020-07-20
2020-07-27,63.03348922729492,63.900001525878906,65.94999694824219,56.25,59.0,3235025,2020-07-27
2020-08-03,61.84975814819336,62.70000076293945,68.19999694824219,60.04999923706055,62.849998474121094,1293910,2020-08-03
2020-08-10,72.99652862548828,74.0,81.94999694824219,61.45000076293945,63.0,5715729,2020-08-10
2020-08-17,79.01380920410156,80.0999984741211,81.9000015258789,71.30000305175781,75.5999984741211,2001326,2020-08-17
2020-08-24,79.30973815917969,80.4000015258789,89.4000015258789,79.9000015258789,88.8499984741211,2999398,2020-08-24
2020-08-31,72.10872650146484,73.0999984741211,82.0,71.0,80.5999984741211,160146,2020-08-31
2020-09-07,67.37382507324219,68.30000305175781,73.8499984741211,66.3499984741211,72.0999984741211,106245,2020-09-07
2020-09-14,67.37382507324219,68.30000305175781,71.8499984741211,67.0,69.0,77411,2020-09-14
2020-09-21,60.22213363647461,61.04999923706055,68.94999694824219,57.150001525878906,68.30000305175781,101274,2020-09-21
2020-09-28,66.28873443603516,67.19999694824219,67.44999694824219,61.0,62.0,51253,2020-09-28
2020-10-05,63.08280944824219,63.95000076293945,69.9000015258789,63.5,68.19999694824219,44583,2020-10-05
2020-10-12,60.76467514038086,61.599998474121094,64.3499984741211,60.20000076293945,62.5,36993,2020-10-12
2020-10-19,62.98416519165039,63.849998474121094,64.75,59.20000076293945,59.20000076293945,77873,2020-10-19
2020-10-26,60.37010192871094,61.20000076293945,63.900001525878906,60.25,63.849998474121094,32624,2020-10-26
2020-11-02,59.87688064575195,60.70000076293945,61.849998474121094,58.5,58.599998474121094,53821,2020-11-02
2020-11-09,64.46382141113281,65.3499984741211,67.69999694824219,60.0,62.29999923706055,199362,2020-11-09
2020-11-16,67.42314147949219,68.3499984741211,75.3499984741211,65.1500015258789,65.1500015258789,561843,2020-11-16
2020-11-23,67.37382507324219,68.30000305175781,70.1500015258789,65.19999694824219,68.44999694824219,163968,2020-11-23
2020-11-30,71.0729751586914,72.05000305175781,73.5,66.05000305175781,68.30000305175781,189219,2020-11-30
2020-12-07,72.99652862548828,74.0,78.80000305175781,72.1500015258789,73.0,517040,2020-12-07
2020-12-14,71.91144561767578,72.9000015258789,81.05000305175781,71.0,74.75,536661,2020-12-14
