Date,Adj Close_IKS.NS,Close_IKS.NS,High_IKS.NS,Low_IKS.NS,Open_IKS.NS,Volume_IKS.NS,Date
2024-12-16,1885.800048828125,1885.800048828125,2148.0,1852.0999755859375,1900.0,20270599,2024-12-16
2024-12-23,2005.5999755859375,2005.5999755859375,2189.0,1820.0,1911.0,7951233,2024-12-23
2024-12-30,1939.0999755859375,1939.0999755859375,2025.0,1889.300048828125,2000.0,2274089,2024-12-30
2025-01-06,1914.3499755859375,1914.3499755859375,1983.8499755859375,1860.0,1948.0,1617291,2025-01-06
2025-01-13,1871.949951171875,1871.949951171875,1992.199951171875,1844.550048828125,1886.0,1587733,2025-01-13
2025-01-20,1779.800048828125,1779.800048828125,1940.0,1768.050048828125,1896.5,1003729,2025-01-20
2025-01-27,1722.25,1722.25,1805.050048828125,1476.0,1772.0,2086431,2025-01-27
2025-02-03,1740.699951171875,1740.699951171875,1807.449951171875,1672.0999755859375,1724.949951171875,963298,2025-02-03
2025-02-10,1657.1500244140625,1657.1500244140625,1773.9000244140625,1632.0,1757.0,525833,2025-02-10
2025-02-17,1843.5,1843.5,1858.0,1605.25,1651.0,634247,2025-02-17
2025-02-24,1794.75,1794.75,1929.0,1763.0999755859375,1780.0,544212,2025-02-24
2025-03-03,1732.1500244140625,1732.1500244140625,1825.0,1711.0,1811.0,488427,2025-03-03
2025-03-10,1645.75,1645.75,1764.800048828125,1631.0,1725.0,277301,2025-03-10
2025-03-17,1457.449951171875,1457.449951171875,1657.0,1407.0,1657.0,2576563,2025-03-17
2025-03-24,1528.949951171875,1528.949951171875,1597.75,1448.5,1462.0,1183367,2025-03-24
2025-03-31,1420.5,1420.5,1550.949951171875,1406.199951171875,1528.949951171875,573916,2025-03-31
2025-04-07,1341.449951171875,1341.449951171875,1397.0,1236.800048828125,1282.0999755859375,632751,2025-04-07
2025-04-14,1416.4000244140625,1416.4000244140625,1440.4000244140625,1341.449951171875,1341.449951171875,371277,2025-04-14
2025-04-21,1467.199951171875,1467.199951171875,1529.300048828125,1400.199951171875,1430.0,1276392,2025-04-21
2025-04-28,1471.4000244140625,1471.4000244140625,1552.0,1445.0,1460.0,736100,2025-04-28
2025-05-05,1542.5999755859375,1542.5999755859375,1558.0,1443.5999755859375,1473.0999755859375,1287258,2025-05-05
2025-05-12,1670.4000244140625,1670.4000244140625,1739.9000244140625,1549.300048828125,1594.0,1037836,2025-05-12
2025-05-19,1562.199951171875,1562.199951171875,1701.0,1550.0,1700.0,826190,2025-05-19
2025-05-26,1505.5999755859375,1505.5999755859375,1611.0,1489.0,1562.9000244140625,690878,2025-05-26
2025-06-02,1609.699951171875,1609.699951171875,1631.0,1507.0,1517.5999755859375,1114941,2025-06-02
2025-06-09,1745.5,1745.5,1769.0,1611.199951171875,1624.800048828125,1999508,2025-06-09
2025-06-16,1615.699951171875,1615.699951171875,1876.0,1586.0999755859375,1750.0,12100225,2025-06-16
2025-06-23,1618.699951171875,1618.699951171875,1630.0,1580.5999755859375,1604.800048828125,1675082,2025-06-23
2025-06-30,1597.0999755859375,1597.0999755859375,1660.0,1587.9000244140625,1633.9000244140625,1071671,2025-06-30
2025-07-07,1585.199951171875,1585.199951171875,1647.0,1545.0,1595.0,1521202,2025-07-07
2025-07-14,1607.699951171875,1607.699951171875,1628.300048828125,1581.9000244140625,1589.800048828125,246822,2025-07-14
