Date,Adj Close_DLINKINDIA.NS,Close_DLINKINDIA.NS,High_DLINKINDIA.NS,Low_DLINKINDIA.NS,Open_DLINKINDIA.NS,Volume_DLINKINDIA.NS,Date
2020-07-13,88.47447967529297,95.55000305175781,98.9000015258789,91.30000305175781,96.4000015258789,1389171,2020-07-13
2020-07-20,84.44660186767578,91.19999694824219,96.80000305175781,88.80000305175781,96.0,673166,2020-07-20
2020-07-27,79.26128387451172,85.5999984741211,92.0,85.0999984741211,90.1500015258789,400186,2020-07-27
2020-08-03,85.04846954345703,91.8499984741211,95.19999694824219,83.8499984741211,86.69999694824219,932561,2020-08-03
2020-08-10,94.26167297363281,101.80000305175781,113.9000015258789,91.19999694824219,92.0,6363818,2020-08-10
2020-08-17,102.7803955078125,111.0,116.5,103.25,104.0,1961370,2020-08-17
2020-08-24,117.82708740234375,127.25,136.0,111.94999694824219,112.0999984741211,8906781,2020-08-24
2020-08-31,100.51183319091797,108.55000305175781,127.8499984741211,108.0,127.0,2854033,2020-08-31
2020-09-07,97.27099609375,105.05000305175781,112.5,102.05000305175781,109.44999694824219,1011181,2020-09-07
2020-09-14,99.76036071777344,106.69999694824219,114.0,106.0,106.6500015258789,894599,2020-09-14
2020-09-21,94.99205780029297,101.5999984741211,109.69999694824219,96.0,106.69999694824219,684571,2020-09-21
2020-09-28,96.58149719238281,103.30000305175781,112.80000305175781,102.0,102.0,1320830,2020-09-28
2020-10-05,97.23596954345703,104.0,110.5,101.5999984741211,104.1500015258789,1722577,2020-10-05
2020-10-12,91.7197036743164,98.0999984741211,105.4000015258789,96.69999694824219,105.4000015258789,534209,2020-10-12
2020-10-19,90.41075897216797,96.69999694824219,100.3499984741211,95.69999694824219,99.6500015258789,398619,2020-10-19
2020-10-26,91.81319427490234,98.19999694824219,99.0,92.19999694824219,96.80000305175781,507863,2020-10-26
2020-11-02,94.8050765991211,101.4000015258789,106.5,94.69999694824219,99.0,1513657,2020-11-02
2020-11-09,95.9270248413086,102.5999984741211,107.9000015258789,97.0,102.9000015258789,1364313,2020-11-09
2020-11-16,99.10588836669922,106.0,111.4000015258789,101.25,102.0,2082851,2020-11-16
2020-11-23,100.69532012939453,107.69999694824219,114.75,104.75,105.25,2768823,2020-11-23
2020-11-30,103.35997009277344,110.55000305175781,118.44999694824219,106.75,107.69999694824219,3074987,2020-11-30
2020-12-07,109.71770477294922,117.3499984741211,128.85000610351562,110.3499984741211,111.3499984741211,6936838,2020-12-07
2020-12-14,107.09981536865234,114.55000305175781,122.9000015258789,111.0,118.0,2020324,2020-12-14
2020-12-21,102.89248657226562,110.05000305175781,115.75,99.0,113.9000015258789,1021283,2020-12-21
2020-12-28,108.73600769042969,116.30000305175781,125.0,110.55000305175781,110.94999694824219,2909674,2020-12-28
2021-01-04,107.42704772949219,114.9000015258789,118.5,113.94999694824219,117.44999694824219,1029235,2021-01-04
2021-01-11,103.03273010253906,110.19999694824219,116.0999984741211,110.0,115.30000305175781,745344,2021-01-11
2021-01-18,100.18109893798828,107.1500015258789,114.05000305175781,106.30000305175781,111.0,938472,2021-01-18
2021-01-25,95.41280364990234,102.05000305175781,108.1500015258789,100.0,107.44999694824219,390711,2021-01-25
2021-02-01,99.01240539550781,105.9000015258789,111.0,101.3499984741211,102.9000015258789,867127,2021-02-01
2021-02-08,98.87215423583984,105.75,109.44999694824219,103.5,106.69999694824219,591874,2021-02-08
2021-02-15,107.6140365600586,115.0999984741211,130.0,102.25,107.0,8484518,2021-02-15
2021-02-22,105.46363830566406,112.80000305175781,122.0,111.1500015258789,116.3499984741211,2075050,2021-02-22
2021-03-01,101.49005126953125,108.55000305175781,116.0,106.80000305175781,114.25,1727661,2021-03-01
2021-03-08,104.48191833496094,111.75,116.0,107.5,110.75,1193907,2021-03-08
2021-03-15,96.53475189208984,103.25,114.19999694824219,97.80000305175781,113.5999984741211,1271428,2021-03-15
2021-03-22,92.74816131591797,99.19999694824219,107.3499984741211,98.6500015258789,105.25,675429,2021-03-22
2021-03-29,99.24613952636719,106.1500015258789,108.4000015258789,98.80000305175781,99.19999694824219,1134101,2021-03-29
2021-04-05,97.79695129394531,104.5999984741211,109.6500015258789,101.55000305175781,105.0,882249,2021-04-05
2021-04-12,96.02051544189453,102.69999694824219,103.5,98.94999694824219,102.5,463469,2021-04-12
2021-04-19,92.4676742553711,98.9000015258789,101.80000305175781,97.6500015258789,98.5999984741211,466430,2021-04-19
2021-04-26,93.26239013671875,99.75,104.0,98.5999984741211,99.75,517257,2021-04-26
2021-05-03,97.18921661376953,103.94999694824219,106.44999694824219,98.69999694824219,99.0,936660,2021-05-03
2021-05-10,97.18921661376953,103.94999694824219,113.0,101.19999694824219,105.0,1599940,2021-05-10
2021-05-17,102.0042724609375,109.0999984741211,112.4000015258789,104.5,107.0,1411704,2021-05-17
2021-05-24,105.60387420654297,112.94999694824219,121.5,107.3499984741211,110.1500015258789,4295908,2021-05-24
2021-05-31,103.87419128417969,111.0999984741211,113.5999984741211,105.19999694824219,113.0,1699384,2021-05-31
2021-06-07,113.59779357910156,121.5,124.25,106.0,111.44999694824219,6777282,2021-06-07
2021-06-14,117.85187530517578,126.05000305175781,137.5,118.5,121.5,15643621,2021-06-14
2021-06-21,131.12832641601562,140.25,143.5500030517578,122.5,124.0,11378995,2021-06-21
2021-06-28,130.6140899658203,139.6999969482422,147.39999389648438,135.89999389648438,141.60000610351562,8008381,2021-06-28
2021-07-05,152.58567810058594,163.1999969482422,166.0,137.5500030517578,140.5,15659155,2021-07-05
2021-07-12,152.58567810058594,163.1999969482422,168.64999389648438,157.60000610351562,162.8000030517578,11458581,2021-07-12
2021-07-19,146.88241577148438,157.10000610351562,165.60000610351562,151.0500030517578,162.1999969482422,4098335,2021-07-19
2021-07-26,148.47186279296875,158.8000030517578,166.39999389648438,147.1999969482422,157.10000610351562,4317336,2021-07-26
2021-08-02,138.0002899169922,147.60000610351562,160.6999969482422,142.85000610351562,159.10000610351562,2458295,2021-08-02
2021-08-09,127.99618530273438,136.89999389648438,148.14999389648438,123.94999694824219,148.14999389648438,2783081,2021-08-09
2021-08-16,120.23602294921875,128.60000610351562,139.89999389648438,127.6500015258789,138.8000030517578,1267054,2021-08-16
2021-08-23,123.49236297607422,130.35000610351562,133.1999969482422,120.0,130.0,1410677,2021-08-23
2021-08-30,125.00818634033203,131.9499969482422,136.0,129.5500030517578,131.3000030517578,1132357,2021-08-30
2021-09-06,130.02935791015625,137.25,144.39999389648438,129.8000030517578,132.8000030517578,3467381,2021-09-06
2021-09-13,126.52401733398438,133.5500030517578,144.8000030517578,131.8000030517578,136.75,1912987,2021-09-13
2021-09-20,141.35067749023438,149.1999969482422,157.75,130.75,131.25,3780255,2021-09-20
2021-09-27,146.89291381835938,155.0500030517578,160.85000610351562,143.10000610351562,150.3000030517578,3012530,2021-09-27
2021-10-04,139.4558868408203,147.1999969482422,160.0,146.39999389648438,155.85000610351562,1580552,2021-10-04
2021-10-11,138.41375732421875,146.10000610351562,153.0,145.39999389648438,146.60000610351562,1003268,2021-10-11
2021-10-18,135.80844116210938,143.35000610351562,149.9499969482422,136.60000610351562,147.3000030517578,1376977,2021-10-18
2021-10-25,129.88726806640625,137.10000610351562,144.9499969482422,136.25,144.5,1098518,2021-10-25
2021-11-01,143.15072631835938,151.10000610351562,155.64999389648438,137.64999389648438,138.1999969482422,2303709,2021-11-01
2021-11-08,139.4085235595703,147.14999389648438,160.0,146.39999389648438,152.0,1561952,2021-11-08
2021-11-15,134.43472290039062,141.89999389648438,150.0,139.0,148.25,550531,2021-11-15
2021-11-22,124.29763793945312,131.1999969482422,141.85000610351562,128.64999389648438,141.6999969482422,869090,2021-11-22
2021-11-29,125.1976547241211,132.14999389648438,135.4499969482422,125.44999694824219,131.1999969482422,546299,2021-11-29
2021-12-06,148.6929473876953,156.9499969482422,161.85000610351562,130.0500030517578,133.14999389648438,3298841,2021-12-06
2021-12-13,135.09791564941406,142.60000610351562,158.14999389648438,141.10000610351562,157.89999389648438,1222344,2021-12-13
2021-12-20,148.17189025878906,156.39999389648438,165.6999969482422,133.25,141.89999389648438,6067967,2021-12-20
2021-12-27,169.29869079589844,178.6999969482422,187.3000030517578,156.75,157.39999389648438,16071351,2021-12-27
2022-01-03,160.7248077392578,169.64999389648438,194.6999969482422,168.35000610351562,180.39999389648438,6978130,2022-01-03
2022-01-10,169.53555297851562,178.9499969482422,185.5,169.10000610351562,170.9499969482422,4768502,2022-01-10
