Date,Adj Close_MCLOUD.NS,Close_MCLOUD.NS,High_MCLOUD.NS,Low_MCLOUD.NS,Open_MCLOUD.NS,Volume_MCLOUD.NS,Date
2025-02-03,75.9000015258789,75.9000015258789,80.0,75.0,77.9000015258789,241713,2025-02-03
2025-02-10,71.44999694824219,71.44999694824219,77.98999786376953,68.18000030517578,77.98999786376953,1359116,2025-02-10
2025-02-17,68.02999877929688,68.02999877929688,72.7699966430664,52.810001373291016,71.01000213623047,5511406,2025-02-17
2025-02-24,54.38999938964844,54.38999938964844,68.0,53.380001068115234,67.0,3964790,2025-02-24
2025-03-03,54.040000915527344,54.040000915527344,57.5,52.04999923706055,54.689998626708984,1992548,2025-03-03
2025-03-10,49.400001525878906,49.400001525878906,55.400001525878906,48.900001525878906,54.58000183105469,2397109,2025-03-10
2025-03-17,48.5099983215332,48.5099983215332,51.4900016784668,42.4900016784668,49.0,2237920,2025-03-17
2025-03-24,61.849998474121094,61.849998474121094,69.5,48.29999923706055,48.900001525878906,16265991,2025-03-24
2025-03-31,59.59000015258789,59.59000015258789,65.0,57.5099983215332,61.849998474121094,1482989,2025-03-31
2025-04-07,59.06999969482422,59.06999969482422,62.25,54.099998474121094,55.0,2034693,2025-04-07
2025-04-14,71.33999633789062,71.33999633789062,74.05000305175781,59.400001525878906,59.400001525878906,5418224,2025-04-14
2025-04-21,68.0199966430664,68.0199966430664,75.48999786376953,65.0,70.76000213623047,2953921,2025-04-21
2025-04-28,69.11000061035156,69.11000061035156,72.0,65.63999938964844,67.98999786376953,1808761,2025-04-28
2025-05-05,66.7699966430664,66.7699966430664,70.9000015258789,64.08000183105469,68.5999984741211,2502594,2025-05-05
2025-05-12,75.4000015258789,75.4000015258789,79.4000015258789,67.41000366210938,69.0,4285378,2025-05-12
2025-05-19,80.33000183105469,80.33000183105469,83.8499984741211,72.5,75.48999786376953,6874229,2025-05-19
2025-05-26,76.88999938964844,76.88999938964844,83.8499984741211,76.12999725341797,81.0,4078363,2025-05-26
2025-06-02,79.54000091552734,79.54000091552734,84.5,75.19999694824219,76.5,5296587,2025-06-02
2025-06-09,80.1500015258789,80.1500015258789,83.0,78.0,79.79000091552734,5225403,2025-06-09
2025-06-16,75.63999938964844,75.63999938964844,81.55000305175781,72.19999694824219,80.19999694824219,5366875,2025-06-16
2025-06-23,75.2699966430664,75.2699966430664,76.41000366210938,71.6500015258789,74.5,6269503,2025-06-23
2025-06-30,74.12000274658203,74.12000274658203,76.91000366210938,70.75,75.5,8045882,2025-06-30
2025-07-07,77.9000015258789,77.9000015258789,79.55000305175781,73.30000305175781,73.76000213623047,9689011,2025-07-07
2025-07-14,81.48999786376953,81.48999786376953,83.75,76.0999984741211,78.5,12375385,2025-07-14
